TransactionKey,Transaction Date,Customer Code,Product Key,Number Of Units
54658,03-Jan-2018,Z100639,7,2
54896,03-Jan-2018,Z100215,3,10
57005,03-Jan-2018,Z100855,10,1
58488,03-Jan-2018,Z100154,9,4
59122,03-Jan-2018,Z100884,1,2
60558,03-Jan-2018,Z100253,3,4
61578,03-Jan-2018,Z100620,9,1
63263,03-Jan-2018,Z100876,3,1
63519,03-Jan-2018,Z100178,1,4
63883,03-Jan-2018,Z100714,7,2
65139,03-Jan-2018,Z100842,3,5
66189,03-Jan-2018,Z100999,2,4
66351,03-Jan-2018,Z100960,7,1
66494,03-Jan-2018,Z100968,7,2
67284,03-Jan-2018,Z100817,13,3
68917,03-Jan-2018,Z100360,13,4
69055,03-Jan-2018,Z100861,12,4
69722,03-Jan-2018,Z100375,9,1
71086,03-Jan-2018,Z100718,9,5
74460,03-Jan-2018,Z100366,13,1
74914,03-Jan-2018,Z100966,9,5
76057,03-Jan-2018,Z100656,7,1
77278,03-Jan-2018,Z100437,7,4
77414,03-Jan-2018,Z100149,6,4
77997,03-Jan-2018,Z100319,4,2
78227,03-Jan-2018,Z100535,8,4
79318,03-Jan-2018,Z100011,11,10
79879,03-Jan-2018,Z100174,13,2
80213,03-Jan-2018,Z100465,5,1
81911,03-Jan-2018,Z100703,3,4
82169,03-Jan-2018,Z100549,10,10
83055,03-Jan-2018,Z100359,8,1
83225,03-Jan-2018,Z100857,11,1
83362,03-Jan-2018,Z100271,5,1
83769,03-Jan-2018,Z100231,6,10
86142,03-Jan-2018,Z100438,10,5
88529,03-Jan-2018,Z100741,8,3
89881,03-Jan-2018,Z100504,9,2
89935,03-Jan-2018,Z100504,1,3
90651,03-Jan-2018,Z100826,5,10
91251,03-Jan-2018,Z100660,9,1
92040,03-Jan-2018,Z100862,9,1
92328,03-Jan-2018,Z100414,9,3
93369,03-Jan-2018,Z100105,2,4
94381,03-Jan-2018,Z100154,10,4
95058,03-Jan-2018,Z100915,9,1
95062,03-Jan-2018,Z100675,7,3
97967,03-Jan-2018,Z100519,3,1
99369,03-Jan-2018,Z100623,10,2
2070,04-Jan-2018,Z100074,1,1
4128,04-Jan-2018,Z100880,10,1
4892,04-Jan-2018,Z100180,10,3
5301,04-Jan-2018,Z100818,6,1
6057,04-Jan-2018,Z100349,3,5
6452,04-Jan-2018,Z100854,5,1
8318,04-Jan-2018,Z100424,9,2
9416,04-Jan-2018,Z100129,3,1
9448,04-Jan-2018,Z100692,16,1
9925,04-Jan-2018,Z100526,9,3
10544,04-Jan-2018,Z100090,12,2
11160,04-Jan-2018,Z100708,3,3
12378,04-Jan-2018,Z100598,13,4
12698,04-Jan-2018,Z100645,10,2
12896,04-Jan-2018,Z100238,9,2
13280,04-Jan-2018,Z100147,12,2
19397,04-Jan-2018,Z100975,7,5
19687,04-Jan-2018,Z100482,7,3
22560,04-Jan-2018,Z100540,15,1
24549,04-Jan-2018,Z100257,8,4
24951,04-Jan-2018,Z100731,2,4
26611,04-Jan-2018,Z100829,6,4
27766,04-Jan-2018,Z100406,9,1
30752,04-Jan-2018,Z100832,3,3
32450,04-Jan-2018,Z100355,4,1
32760,04-Jan-2018,Z100882,11,1
35209,04-Jan-2018,Z100984,13,2
40441,04-Jan-2018,Z100381,13,1
40882,04-Jan-2018,Z100071,10,1
41529,04-Jan-2018,Z100178,3,3
41585,04-Jan-2018,Z100853,16,10
42024,04-Jan-2018,Z100565,13,2
44438,04-Jan-2018,Z100644,10,2
45777,04-Jan-2018,Z100317,13,1
45867,04-Jan-2018,Z100759,7,2
46256,04-Jan-2018,Z100520,10,1
46500,04-Jan-2018,Z100800,11,1
47388,04-Jan-2018,Z100262,1,1
48290,04-Jan-2018,Z100065,2,5
50787,04-Jan-2018,Z100060,1,2
51701,04-Jan-2018,Z100860,13,1
53740,04-Jan-2018,Z100982,1,2
59411,04-Jan-2018,Z100386,1,2
59803,04-Jan-2018,Z100984,8,3
60256,04-Jan-2018,Z100739,10,5
61081,04-Jan-2018,Z100701,5,1
61649,04-Jan-2018,Z100827,14,1
63403,04-Jan-2018,Z100369,6,4
64618,04-Jan-2018,Z100503,8,1
67184,04-Jan-2018,Z100030,14,10
67470,04-Jan-2018,Z100187,11,1
67584,04-Jan-2018,Z100453,6,4
68189,04-Jan-2018,Z100752,10,2
71346,04-Jan-2018,Z100137,14,1
72320,04-Jan-2018,Z100561,14,5
74890,04-Jan-2018,Z100285,9,4
75038,04-Jan-2018,Z100139,8,4
77947,04-Jan-2018,Z100724,8,10
79556,04-Jan-2018,Z100585,2,10
81319,04-Jan-2018,Z100216,7,1
82759,04-Jan-2018,Z100504,3,1
84519,04-Jan-2018,Z100325,10,3
86997,04-Jan-2018,Z100833,13,5
88481,04-Jan-2018,Z100245,9,1
91159,04-Jan-2018,Z100499,5,3
96031,04-Jan-2018,Z100678,16,1
97849,04-Jan-2018,Z100831,16,1
98784,04-Jan-2018,Z100370,3,4
2371,05-Jan-2018,Z100086,5,2
2879,05-Jan-2018,Z100471,8,1
5033,05-Jan-2018,Z100459,9,10
6586,05-Jan-2018,Z100687,5,1
6695,05-Jan-2018,Z100211,10,4
6925,05-Jan-2018,Z100984,7,1
8975,05-Jan-2018,Z100742,7,1
9896,05-Jan-2018,Z100758,9,10
9943,05-Jan-2018,Z100775,12,3
10013,05-Jan-2018,Z100951,2,2
11454,05-Jan-2018,Z100595,6,4
12316,05-Jan-2018,Z100570,2,1
14048,05-Jan-2018,Z100052,2,1
14212,05-Jan-2018,Z100854,8,1
15056,05-Jan-2018,Z100929,5,10
15447,05-Jan-2018,Z100556,3,2
16119,05-Jan-2018,Z100319,15,2
22412,05-Jan-2018,Z100344,3,5
22948,05-Jan-2018,Z100992,15,3
23868,05-Jan-2018,Z100853,9,2
24639,05-Jan-2018,Z100527,14,5
26240,05-Jan-2018,Z100571,11,3
27606,05-Jan-2018,Z100774,5,1
28176,05-Jan-2018,Z100590,14,4
31263,05-Jan-2018,Z100025,8,5
31680,05-Jan-2018,Z100754,5,4
33084,05-Jan-2018,Z100820,3,1
33516,05-Jan-2018,Z100114,1,1
33733,05-Jan-2018,Z100391,10,3
35146,05-Jan-2018,Z100998,7,2
36690,05-Jan-2018,Z100123,8,4
39784,05-Jan-2018,Z100810,8,10
41124,05-Jan-2018,Z100452,2,4
45039,05-Jan-2018,Z100762,3,1
45205,05-Jan-2018,Z100408,8,1
45796,05-Jan-2018,Z100306,8,4
45846,05-Jan-2018,Z100054,9,2
47742,05-Jan-2018,Z100432,9,2
48293,05-Jan-2018,Z100466,6,1
50247,05-Jan-2018,Z100935,13,1
51417,05-Jan-2018,Z100749,7,1
53206,05-Jan-2018,Z100734,2,2
54252,05-Jan-2018,Z100375,3,2
55354,05-Jan-2018,Z100290,5,1
55666,05-Jan-2018,Z100897,14,2
57277,05-Jan-2018,Z100645,15,1
57474,05-Jan-2018,Z100489,8,2
59253,05-Jan-2018,Z100510,11,1
59894,05-Jan-2018,Z100857,8,1
64010,05-Jan-2018,Z100007,7,5
64538,05-Jan-2018,Z100717,13,1
65501,05-Jan-2018,Z100104,9,5
66322,05-Jan-2018,Z100947,7,1
66960,05-Jan-2018,Z100347,3,1
67129,05-Jan-2018,Z100384,11,2
68853,05-Jan-2018,Z100819,7,2
69522,05-Jan-2018,Z100227,15,2
70209,05-Jan-2018,Z100368,13,4
70669,05-Jan-2018,Z100634,5,3
73357,05-Jan-2018,Z100011,9,5
75853,05-Jan-2018,Z100819,11,2
78094,05-Jan-2018,Z100629,6,4
78196,05-Jan-2018,Z100380,4,1
79280,05-Jan-2018,Z100039,3,3
80388,05-Jan-2018,Z100966,8,3
83794,05-Jan-2018,Z100602,10,1
84835,05-Jan-2018,Z100142,1,1
86260,05-Jan-2018,Z100384,13,5
90229,05-Jan-2018,Z100445,9,2
91333,05-Jan-2018,Z100284,13,10
94198,05-Jan-2018,Z100904,15,4
98084,05-Jan-2018,Z100590,3,10
98664,05-Jan-2018,Z100827,7,2
3112,06-Jan-2018,Z100284,7,3
3706,06-Jan-2018,Z100086,11,10
4681,06-Jan-2018,Z100432,3,5
6278,06-Jan-2018,Z100967,6,2
6627,06-Jan-2018,Z100007,11,2
8051,06-Jan-2018,Z100878,7,5
8116,06-Jan-2018,Z100707,6,2
8460,06-Jan-2018,Z100176,9,1
8547,06-Jan-2018,Z100282,1,2
10332,06-Jan-2018,Z100012,7,10
18020,06-Jan-2018,Z100208,14,1
18066,06-Jan-2018,Z100142,5,2
20473,06-Jan-2018,Z100644,14,1
21670,06-Jan-2018,Z100738,9,2
21883,06-Jan-2018,Z100780,10,1
22273,06-Jan-2018,Z100083,5,1
22639,06-Jan-2018,Z100800,12,1
23898,06-Jan-2018,Z100649,8,2
25843,06-Jan-2018,Z100954,5,2
26718,06-Jan-2018,Z100977,7,2
26915,06-Jan-2018,Z100790,1,2
28033,06-Jan-2018,Z100613,3,2
29887,06-Jan-2018,Z100307,10,4
30385,06-Jan-2018,Z100845,12,5
32673,06-Jan-2018,Z100886,7,1
34094,06-Jan-2018,Z100711,8,5
36147,06-Jan-2018,Z100504,13,3
38014,06-Jan-2018,Z100889,7,5
42475,06-Jan-2018,Z100521,9,1
43672,06-Jan-2018,Z100087,5,1
44091,06-Jan-2018,Z100770,13,2
44282,06-Jan-2018,Z100039,9,10
46196,06-Jan-2018,Z100958,2,1
46572,06-Jan-2018,Z100812,9,1
47345,06-Jan-2018,Z100663,8,2
53306,06-Jan-2018,Z100314,5,1
53547,06-Jan-2018,Z100580,14,10
54026,06-Jan-2018,Z100711,15,2
61169,06-Jan-2018,Z100911,1,1
67156,06-Jan-2018,Z100818,1,1
67339,06-Jan-2018,Z100974,13,3
68210,06-Jan-2018,Z100867,10,1
68322,06-Jan-2018,Z100944,8,1
71088,06-Jan-2018,Z100807,12,1
71107,06-Jan-2018,Z100204,11,1
72591,06-Jan-2018,Z100998,1,1
73694,06-Jan-2018,Z100641,2,4
86171,06-Jan-2018,Z100391,5,3
86529,06-Jan-2018,Z100683,10,4
88196,06-Jan-2018,Z100303,3,1
88903,06-Jan-2018,Z100416,6,1
89145,06-Jan-2018,Z100402,10,2
89166,06-Jan-2018,Z100740,12,2
89195,06-Jan-2018,Z100845,1,1
90939,06-Jan-2018,Z100893,9,1
91541,06-Jan-2018,Z100011,6,4
92972,06-Jan-2018,Z100300,9,5
94149,06-Jan-2018,Z100189,10,2
95754,06-Jan-2018,Z100953,5,3
96144,06-Jan-2018,Z100489,1,1
97003,06-Jan-2018,Z100536,14,4
99563,06-Jan-2018,Z100262,11,3
623,07-Jan-2018,Z100599,11,1
668,07-Jan-2018,Z100830,16,4
1000,07-Jan-2018,Z100054,3,1
2579,07-Jan-2018,Z100735,13,1
3781,07-Jan-2018,Z100865,11,4
5751,07-Jan-2018,Z100359,9,5
8236,07-Jan-2018,Z100811,9,4
9517,07-Jan-2018,Z100403,4,2
11295,07-Jan-2018,Z100432,3,3
11659,07-Jan-2018,Z100257,13,1
15301,07-Jan-2018,Z100798,10,5
18139,07-Jan-2018,Z100359,3,1
18339,07-Jan-2018,Z100316,10,5
19041,07-Jan-2018,Z100012,3,1
19225,07-Jan-2018,Z100358,9,5
22799,07-Jan-2018,Z100945,15,1
23299,07-Jan-2018,Z100251,9,2
23659,07-Jan-2018,Z100113,13,2
24685,07-Jan-2018,Z100891,13,2
25256,07-Jan-2018,Z100449,12,3
29650,07-Jan-2018,Z100757,3,2
32021,07-Jan-2018,Z100941,8,5
33271,07-Jan-2018,Z100784,11,1
33374,07-Jan-2018,Z100009,10,4
35892,07-Jan-2018,Z100616,2,4
36133,07-Jan-2018,Z100223,8,1
37556,07-Jan-2018,Z100486,1,2
39270,07-Jan-2018,Z100564,1,3
41604,07-Jan-2018,Z100349,2,1
41915,07-Jan-2018,Z100165,9,2
43017,07-Jan-2018,Z100381,9,1
44148,07-Jan-2018,Z100718,7,3
45760,07-Jan-2018,Z100367,9,5
46220,07-Jan-2018,Z100932,9,1
46598,07-Jan-2018,Z100959,10,5
47862,07-Jan-2018,Z100292,3,4
48392,07-Jan-2018,Z100528,15,1
50419,07-Jan-2018,Z100739,10,1
50809,07-Jan-2018,Z100579,6,3
52048,07-Jan-2018,Z100883,10,3
52262,07-Jan-2018,Z100915,8,5
53423,07-Jan-2018,Z100263,2,3
59748,07-Jan-2018,Z100571,15,1
62608,07-Jan-2018,Z100327,3,2
63242,07-Jan-2018,Z100335,13,1
63915,07-Jan-2018,Z100090,10,4
65098,07-Jan-2018,Z100349,3,1
65274,07-Jan-2018,Z100091,2,2
66452,07-Jan-2018,Z100371,2,1
67198,07-Jan-2018,Z100410,8,4
67240,07-Jan-2018,Z100857,4,4
68036,07-Jan-2018,Z100678,16,1
68951,07-Jan-2018,Z100414,4,1
69108,07-Jan-2018,Z100684,9,1
69873,07-Jan-2018,Z100869,13,1
70692,07-Jan-2018,Z100397,15,1
71120,07-Jan-2018,Z100204,2,10
71912,07-Jan-2018,Z100541,9,1
72606,07-Jan-2018,Z100403,8,1
72628,07-Jan-2018,Z100286,5,2
72779,07-Jan-2018,Z100799,6,1
73970,07-Jan-2018,Z100180,8,1
74180,07-Jan-2018,Z100169,11,1
75843,07-Jan-2018,Z100550,10,10
81701,07-Jan-2018,Z100497,9,4
86031,07-Jan-2018,Z100413,7,3
86837,07-Jan-2018,Z100224,12,1
88192,07-Jan-2018,Z100034,9,1
89279,07-Jan-2018,Z100493,8,1
90971,07-Jan-2018,Z100990,7,1
92690,07-Jan-2018,Z100533,13,10
95751,07-Jan-2018,Z100386,9,4
97319,07-Jan-2018,Z100165,11,2
97460,07-Jan-2018,Z100104,8,2
99251,07-Jan-2018,Z100404,11,1
99445,07-Jan-2018,Z100658,6,1
99789,07-Jan-2018,Z100270,7,2
423,08-Jan-2018,Z100169,4,1
1640,08-Jan-2018,Z100903,4,2
1932,08-Jan-2018,Z100731,2,1
2407,08-Jan-2018,Z100255,11,3
5283,08-Jan-2018,Z100305,8,3
8209,08-Jan-2018,Z100871,7,3
8214,08-Jan-2018,Z100274,3,1
11019,08-Jan-2018,Z100678,16,5
11363,08-Jan-2018,Z100311,13,1
12071,08-Jan-2018,Z100247,7,1
12530,08-Jan-2018,Z100419,9,3
13160,08-Jan-2018,Z100590,10,2
16429,08-Jan-2018,Z100402,4,3
17494,08-Jan-2018,Z100583,13,2
17669,08-Jan-2018,Z100060,10,2
20666,08-Jan-2018,Z100087,3,1
23807,08-Jan-2018,Z100944,10,4
24282,08-Jan-2018,Z100268,10,2
26113,08-Jan-2018,Z100347,12,3
26835,08-Jan-2018,Z100052,9,5
28134,08-Jan-2018,Z100890,9,5
28199,08-Jan-2018,Z100772,5,1
30397,08-Jan-2018,Z100850,3,2
31492,08-Jan-2018,Z100629,10,4
32459,08-Jan-2018,Z100528,10,2
33166,08-Jan-2018,Z100890,10,5
33258,08-Jan-2018,Z100333,12,2
33491,08-Jan-2018,Z100549,9,1
35590,08-Jan-2018,Z100661,4,1
35614,08-Jan-2018,Z100715,3,4
37301,08-Jan-2018,Z100068,13,3
38637,08-Jan-2018,Z100705,12,1
39771,08-Jan-2018,Z100282,9,5
40016,08-Jan-2018,Z100053,8,3
40311,08-Jan-2018,Z100717,13,5
42036,08-Jan-2018,Z100516,10,2
42564,08-Jan-2018,Z100166,9,1
43983,08-Jan-2018,Z100154,5,2
49813,08-Jan-2018,Z100977,8,5
52590,08-Jan-2018,Z100069,9,2
57158,08-Jan-2018,Z100206,8,1
59283,08-Jan-2018,Z100209,1,3
59310,08-Jan-2018,Z100844,10,1
59386,08-Jan-2018,Z100261,6,5
60421,08-Jan-2018,Z100788,9,1
61863,08-Jan-2018,Z100676,9,5
63962,08-Jan-2018,Z100413,6,1
64123,08-Jan-2018,Z100045,7,2
65965,08-Jan-2018,Z100999,10,1
66775,08-Jan-2018,Z100782,9,10
67137,08-Jan-2018,Z100465,4,5
67321,08-Jan-2018,Z100705,3,2
69711,08-Jan-2018,Z100764,9,2
70542,08-Jan-2018,Z100429,4,2
70806,08-Jan-2018,Z100668,11,3
75790,08-Jan-2018,Z100180,9,4
76401,08-Jan-2018,Z100634,11,1
77187,08-Jan-2018,Z100004,4,3
78145,08-Jan-2018,Z100884,15,1
78692,08-Jan-2018,Z100286,8,1
79934,08-Jan-2018,Z100253,7,1
80690,08-Jan-2018,Z100818,3,3
81463,08-Jan-2018,Z100862,8,1
83141,08-Jan-2018,Z100364,10,10
83516,08-Jan-2018,Z100318,8,3
87036,08-Jan-2018,Z100915,11,2
88272,08-Jan-2018,Z100581,7,2
89721,08-Jan-2018,Z100761,4,4
90491,08-Jan-2018,Z100941,8,2
91327,08-Jan-2018,Z100178,9,2
92301,08-Jan-2018,Z100934,1,3
92545,08-Jan-2018,Z100563,7,1
94464,08-Jan-2018,Z100034,9,3
94963,08-Jan-2018,Z100087,10,5
95805,08-Jan-2018,Z100162,2,1
97842,08-Jan-2018,Z100049,9,2
99611,08-Jan-2018,Z100828,1,3
1333,09-Jan-2018,Z100336,7,1
2521,09-Jan-2018,Z100040,1,1
2968,09-Jan-2018,Z100012,5,2
3446,09-Jan-2018,Z100457,8,2
7300,09-Jan-2018,Z100805,7,1
9146,09-Jan-2018,Z100752,9,5
9470,09-Jan-2018,Z100922,10,2
9809,09-Jan-2018,Z100418,9,1
11408,09-Jan-2018,Z100732,11,5
11519,09-Jan-2018,Z100752,8,1
11839,09-Jan-2018,Z100061,10,3
14043,09-Jan-2018,Z100102,3,5
14308,09-Jan-2018,Z100766,10,1
14432,09-Jan-2018,Z100162,9,1
14528,09-Jan-2018,Z100283,9,1
15984,09-Jan-2018,Z100516,8,1
17069,09-Jan-2018,Z100891,9,2
17309,09-Jan-2018,Z100197,3,2
19720,09-Jan-2018,Z100567,9,2
19909,09-Jan-2018,Z100371,8,1
20307,09-Jan-2018,Z100913,9,4
26257,09-Jan-2018,Z100858,2,5
26916,09-Jan-2018,Z100373,14,10
28818,09-Jan-2018,Z100245,7,5
30934,09-Jan-2018,Z100350,2,4
31380,09-Jan-2018,Z100520,1,4
32726,09-Jan-2018,Z100866,8,1
33040,09-Jan-2018,Z100590,10,2
34461,09-Jan-2018,Z100163,13,3
36185,09-Jan-2018,Z100992,2,4
38997,09-Jan-2018,Z100014,10,1
40851,09-Jan-2018,Z100167,8,2
41400,09-Jan-2018,Z100985,8,1
44672,09-Jan-2018,Z100825,14,4
45004,09-Jan-2018,Z100662,7,4
45667,09-Jan-2018,Z100785,3,1
47234,09-Jan-2018,Z100884,5,1
47805,09-Jan-2018,Z100248,9,3
48395,09-Jan-2018,Z100039,7,4
49934,09-Jan-2018,Z100391,11,2
49982,09-Jan-2018,Z100993,16,5
51008,09-Jan-2018,Z100452,3,5
51533,09-Jan-2018,Z100574,7,1
54406,09-Jan-2018,Z100131,15,4
55137,09-Jan-2018,Z100818,3,3
56665,09-Jan-2018,Z100539,13,1
57721,09-Jan-2018,Z100332,6,2
58286,09-Jan-2018,Z100777,8,1
58522,09-Jan-2018,Z100256,5,4
59311,09-Jan-2018,Z100859,1,3
59901,09-Jan-2018,Z100371,13,10
61331,09-Jan-2018,Z100322,9,10
62275,09-Jan-2018,Z100249,1,4
67123,09-Jan-2018,Z100631,2,3
68551,09-Jan-2018,Z100060,14,2
69453,09-Jan-2018,Z100013,15,4
78524,09-Jan-2018,Z100396,10,2
81994,09-Jan-2018,Z100416,7,5
84890,09-Jan-2018,Z100562,9,2
85809,09-Jan-2018,Z100517,7,3
87901,09-Jan-2018,Z100952,4,2
89049,09-Jan-2018,Z100859,1,5
90663,09-Jan-2018,Z100271,5,5
91653,09-Jan-2018,Z100983,7,5
91695,09-Jan-2018,Z100010,8,2
94508,09-Jan-2018,Z100440,9,4
1047,10-Jan-2018,Z100867,6,3
3730,10-Jan-2018,Z100757,9,2
4693,10-Jan-2018,Z100563,8,2
5399,10-Jan-2018,Z100392,7,1
8488,10-Jan-2018,Z100417,3,5
8876,10-Jan-2018,Z100966,9,2
9304,10-Jan-2018,Z100324,3,1
9554,10-Jan-2018,Z100934,13,10
10096,10-Jan-2018,Z100686,5,1
11002,10-Jan-2018,Z100615,9,1
11284,10-Jan-2018,Z100688,7,5
11296,10-Jan-2018,Z100471,14,1
12596,10-Jan-2018,Z100163,2,1
13780,10-Jan-2018,Z100348,2,2
16214,10-Jan-2018,Z100712,1,2
18905,10-Jan-2018,Z100833,13,1
20157,10-Jan-2018,Z100800,7,4
