"Date","Spot exchange rate, Euro into Sterling                          XUDLERS"
"04 Nov 20","1.1095"
"03 Nov 20","1.114"
"02 Nov 20","1.1092"
"30 Oct 20","1.1104"
"29 Oct 20","1.1068"
"28 Oct 20","1.1058"
"27 Oct 20","1.1043"
"26 Oct 20","1.1019"
"23 Oct 20","1.1022"
"22 Oct 20","1.1072"
"21 Oct 20","1.1085"
"20 Oct 20","1.0955"
"19 Oct 20","1.1031"
"16 Oct 20","1.1033"
"15 Oct 20","1.1031"
"14 Oct 20","1.1091"
"13 Oct 20","1.1057"
"12 Oct 20","1.1064"
"09 Oct 20","1.0999"
"08 Oct 20","1.1004"
"07 Oct 20","1.0964"
"06 Oct 20","1.0997"
"05 Oct 20","1.1003"
"02 Oct 20","1.1039"
"01 Oct 20","1.0964"
"30 Sep 20","1.1023"
"29 Sep 20","1.0947"
"28 Sep 20","1.1029"
"25 Sep 20","1.0935"
"24 Sep 20","1.0923"
"23 Sep 20","1.0938"
"22 Sep 20","1.0868"
"21 Sep 20","1.0896"
"18 Sep 20","1.0928"
"17 Sep 20","1.0954"
"16 Sep 20","1.098"
"15 Sep 20","1.0846"
"14 Sep 20","1.0852"
"11 Sep 20","1.0805"
"10 Sep 20","1.0837"
"09 Sep 20","1.1006"
"08 Sep 20","1.1044"
"07 Sep 20","1.1142"
"04 Sep 20","1.1197"
"03 Sep 20","1.1215"
"02 Sep 20","1.1236"
"01 Sep 20","1.1248"
"28 Aug 20","1.1205"
"27 Aug 20","1.1188"
"26 Aug 20","1.1163"
"25 Aug 20","1.1095"
"24 Aug 20","1.1064"
"21 Aug 20","1.1098"
"20 Aug 20","1.1099"
"19 Aug 20","1.1081"
"18 Aug 20","1.1093"
"17 Aug 20","1.1038"
"14 Aug 20","1.1083"
"13 Aug 20","1.1061"
"12 Aug 20","1.1061"
"11 Aug 20","1.1124"
"10 Aug 20","1.1124"
"07 Aug 20","1.1071"
"06 Aug 20","1.1091"
"05 Aug 20","1.1059"
"04 Aug 20","1.1106"
"03 Aug 20","1.1104"
"31 Jul 20","1.1096"
"30 Jul 20","1.1063"
"29 Jul 20","1.1011"
"28 Jul 20","1.1038"
"27 Jul 20","1.0951"
"24 Jul 20","1.1"
"23 Jul 20","1.0992"
"22 Jul 20","1.0982"
"21 Jul 20","1.1097"
"20 Jul 20","1.1055"
"17 Jul 20","1.0974"
"16 Jul 20","1.102"
"15 Jul 20","1.1055"
"14 Jul 20","1.0993"
"13 Jul 20","1.1101"
"10 Jul 20","1.1187"
"09 Jul 20","1.117"
"08 Jul 20","1.1118"
"07 Jul 20","1.1143"
"06 Jul 20","1.1052"
"03 Jul 20","1.1092"
"02 Jul 20","1.1102"
"01 Jul 20","1.1063"
"30 Jun 20","1.1002"
"29 Jun 20","1.0908"
"26 Jun 20","1.0997"
"25 Jun 20","1.1063"
"24 Jun 20","1.1042"
"23 Jun 20","1.105"
"22 Jun 20","1.1063"
"19 Jun 20","1.1056"
"18 Jun 20","1.1069"
"17 Jun 20","1.1178"
"16 Jun 20","1.1177"
"15 Jun 20","1.1145"
"12 Jun 20","1.115"
"11 Jun 20","1.111"
"10 Jun 20","1.1237"
"09 Jun 20","1.1205"
"08 Jun 20","1.1237"
"05 Jun 20","1.1248"
"04 Jun 20","1.1112"
"03 Jun 20","1.1229"
"02 Jun 20","1.1229"
"01 Jun 20","1.1207"
"29 May 20","1.1118"
"28 May 20","1.1146"
"27 May 20","1.1131"
"26 May 20","1.1252"
"22 May 20","1.1194"
"21 May 20","1.1164"
"20 May 20","1.1162"
"19 May 20","1.119"
"18 May 20","1.123"
"15 May 20","1.1208"
"14 May 20","1.1283"
"13 May 20","1.128"
"12 May 20","1.1338"
"11 May 20","1.1416"
"07 May 20","1.14"
"06 May 20","1.1449"
"05 May 20","1.1488"
"04 May 20","1.1378"
"01 May 20","1.1399"
"30 Apr 20","1.1515"
"29 Apr 20","1.1459"
"28 Apr 20","1.1476"
"27 Apr 20","1.1447"
"24 Apr 20","1.1409"
"23 Apr 20","1.1438"
"22 Apr 20","1.1385"
"21 Apr 20","1.1302"
"20 Apr 20","1.1463"
"17 Apr 20","1.1483"
"16 Apr 20","1.1473"
"15 Apr 20","1.1463"
"14 Apr 20","1.148"
"09 Apr 20","1.1401"
"08 Apr 20","1.1396"
"07 Apr 20","1.1306"
"06 Apr 20","1.1364"
"03 Apr 20","1.1352"
"02 Apr 20","1.1392"
"01 Apr 20","1.1374"
"31 Mar 20","1.1306"
"30 Mar 20","1.1258"
"27 Mar 20","1.1176"
"26 Mar 20","1.1009"
"25 Mar 20","1.0859"
"24 Mar 20","1.0915"
"23 Mar 20","1.0681"
"20 Mar 20","1.0991"
"19 Mar 20","1.0896"
"18 Mar 20","1.0858"
"17 Mar 20","1.0953"
"16 Mar 20","1.1024"
"13 Mar 20","1.1207"
"12 Mar 20","1.1317"
"11 Mar 20","1.1424"
"10 Mar 20","1.1402"
"09 Mar 20","1.1479"
"06 Mar 20","1.152"
"05 Mar 20","1.155"
"04 Mar 20","1.1511"
"03 Mar 20","1.1465"
"02 Mar 20","1.1454"
"28 Feb 20","1.163"
"27 Feb 20","1.172"
"26 Feb 20","1.1888"
"25 Feb 20","1.1979"
"24 Feb 20","1.1905"
"21 Feb 20","1.1942"
"20 Feb 20","1.1924"
"19 Feb 20","1.2001"
"18 Feb 20","1.2046"
"17 Feb 20","1.2009"
"14 Feb 20","1.2001"
"13 Feb 20","1.2036"
"12 Feb 20","1.1909"
"11 Feb 20","1.186"
"10 Feb 20","1.183"
"07 Feb 20","1.1804"
"06 Feb 20","1.1779"
"05 Feb 20","1.1801"
"04 Feb 20","1.18"
"03 Feb 20","1.177"
"31 Jan 20","1.1897"
"30 Jan 20","1.187"
"29 Jan 20","1.182"
"28 Jan 20","1.1803"
"27 Jan 20","1.1855"
"24 Jan 20","1.1852"
"23 Jan 20","1.1876"
"22 Jan 20","1.1864"
"21 Jan 20","1.1766"
"20 Jan 20","1.1726"
"17 Jan 20","1.1743"
"16 Jan 20","1.1729"
"15 Jan 20","1.1677"
"14 Jan 20","1.1698"
"13 Jan 20","1.1658"
"10 Jan 20","1.1754"
"09 Jan 20","1.1754"
"08 Jan 20","1.1781"
"07 Jan 20","1.1778"
"06 Jan 20","1.1761"
"03 Jan 20","1.171"
"02 Jan 20","1.1775"
"31 Dec 19","1.1765"
"30 Dec 19","1.1709"
"27 Dec 19","1.1729"
"24 Dec 19","1.1692"
"23 Dec 19","1.1659"
"20 Dec 19","1.1771"
"19 Dec 19","1.1722"
"18 Dec 19","1.175"
"17 Dec 19","1.1781"
"16 Dec 19","1.1973"
"13 Dec 19","1.1981"
"12 Dec 19","1.1801"
"11 Dec 19","1.1887"
"10 Dec 19","1.1878"
"09 Dec 19","1.1885"
"06 Dec 19","1.1861"
"05 Dec 19","1.1859"
"04 Dec 19","1.1822"
"03 Dec 19","1.1724"
"02 Dec 19","1.1672"
"29 Nov 19","1.173"
"28 Nov 19","1.1724"
"27 Nov 19","1.1706"
"26 Nov 19","1.1658"
"25 Nov 19","1.1721"
"22 Nov 19","1.1632"
"21 Nov 19","1.1669"
"20 Nov 19","1.1667"
"19 Nov 19","1.1671"
"18 Nov 19","1.1701"
"15 Nov 19","1.1673"
"14 Nov 19","1.1686"
"13 Nov 19","1.166"
"12 Nov 19","1.1659"
"11 Nov 19","1.1666"
"08 Nov 19","1.1609"
"07 Nov 19","1.1608"
"06 Nov 19","1.1625"
"05 Nov 19","1.1619"
"04 Nov 19","1.158"
"01 Nov 19","1.1592"
"31 Oct 19","1.1598"
"30 Oct 19","1.1572"
"29 Oct 19","1.1607"
"28 Oct 19","1.1591"
"25 Oct 19","1.1571"
"24 Oct 19","1.1571"
"23 Oct 19","1.159"
"22 Oct 19","1.1596"
"21 Oct 19","1.1648"
"18 Oct 19","1.158"
"17 Oct 19","1.1552"
"16 Oct 19","1.1585"
"15 Oct 19","1.1579"
"14 Oct 19","1.1416"
"11 Oct 19","1.1491"
"10 Oct 19","1.1159"
"09 Oct 19","1.1126"
"08 Oct 19","1.1148"
"07 Oct 19","1.1206"
"04 Oct 19","1.1198"
"03 Oct 19","1.1292"
"02 Oct 19","1.124"
"01 Oct 19","1.1197"
"30 Sep 19","1.1302"
"27 Sep 19","1.1244"
"26 Sep 19","1.1274"
"25 Sep 19","1.1295"
"24 Sep 19","1.1347"
"23 Sep 19","1.1305"
"20 Sep 19","1.1352"
"19 Sep 19","1.1295"
"18 Sep 19","1.1288"
"17 Sep 19","1.1298"
"16 Sep 19","1.1294"
"13 Sep 19","1.1243"
"12 Sep 19","1.1178"
"11 Sep 19","1.1224"
"10 Sep 19","1.1189"
"09 Sep 19","1.1163"
"06 Sep 19","1.1145"
"05 Sep 19","1.1161"
"04 Sep 19","1.1054"
"03 Sep 19","1.1034"
"02 Sep 19","1.0996"
"30 Aug 19","1.1061"
"29 Aug 19","1.1027"
"28 Aug 19","1.1035"
"27 Aug 19","1.1067"
"23 Aug 19","1.105"
"22 Aug 19","1.1059"
"21 Aug 19","1.0935"
"20 Aug 19","1.0941"
"19 Aug 19","1.0936"
"16 Aug 19","1.0936"
"15 Aug 19","1.0905"
"14 Aug 19","1.0825"
"13 Aug 19","1.0788"
"12 Aug 19","1.077"
"09 Aug 19","1.0781"
"08 Aug 19","1.0833"
"07 Aug 19","1.0836"
"06 Aug 19","1.088"
"05 Aug 19","1.0856"
"02 Aug 19","1.0916"
"01 Aug 19","1.0989"
"31 Jul 19","1.0999"
"30 Jul 19","1.0909"
"29 Jul 19","1.0988"
"26 Jul 19","1.1133"
"25 Jul 19","1.1196"
"24 Jul 19","1.1217"
"23 Jul 19","1.1156"
"22 Jul 19","1.1137"
"19 Jul 19","1.1141"
"18 Jul 19","1.1128"
"17 Jul 19","1.1071"
"16 Jul 19","1.1065"
"15 Jul 19","1.1114"
"12 Jul 19","1.1162"
"11 Jul 19","1.1146"
"10 Jul 19","1.1106"
"09 Jul 19","1.1124"
"08 Jul 19","1.1159"
"05 Jul 19","1.1143"
"04 Jul 19","1.1147"
"03 Jul 19","1.1136"
"02 Jul 19","1.1151"
"01 Jul 19","1.1174"
"28 Jun 19","1.1176"
"27 Jun 19","1.115"
"26 Jun 19","1.1144"
"25 Jun 19","1.1176"
"24 Jun 19","1.1167"
"21 Jun 19","1.1214"
"20 Jun 19","1.1251"
"19 Jun 19","1.1264"
"18 Jun 19","1.1212"
"17 Jun 19","1.1188"
"14 Jun 19","1.1232"
"13 Jun 19","1.1253"
"12 Jun 19","1.124"
"11 Jun 19","1.1241"
"10 Jun 19","1.1213"
"07 Jun 19","1.1253"
"06 Jun 19","1.1269"
"05 Jun 19","1.1305"
"04 Jun 19","1.1285"
"03 Jun 19","1.1277"
"31 May 19","1.1309"
"30 May 19","1.1314"
"29 May 19","1.1335"
"28 May 19","1.1343"
"24 May 19","1.1326"
"23 May 19","1.1362"
"22 May 19","1.1347"
"21 May 19","1.1436"
"20 May 19","1.1405"
"17 May 19","1.1409"
"16 May 19","1.1444"
"15 May 19","1.148"
"14 May 19","1.1522"
"13 May 19","1.155"
"10 May 19","1.1591"
"09 May 19","1.1595"
"08 May 19","1.1608"
"07 May 19","1.1662"
"03 May 19","1.1723"
"02 May 19","1.1655"
"01 May 19","1.164"
"30 Apr 19","1.1632"
"29 Apr 19","1.1574"
"26 Apr 19","1.1586"
"25 Apr 19","1.1582"
"24 Apr 19","1.1565"
"23 Apr 19","1.1544"
"18 Apr 19","1.1569"
"17 Apr 19","1.1541"
"16 Apr 19","1.1553"
"15 Apr 19","1.1598"
"12 Apr 19","1.158"
"11 Apr 19","1.1608"
"10 Apr 19","1.1635"
"09 Apr 19","1.1572"
"08 Apr 19","1.1585"
"05 Apr 19","1.1593"
"04 Apr 19","1.1665"
"03 Apr 19","1.1715"
"02 Apr 19","1.1644"
"01 Apr 19","1.1712"
"29 Mar 19","1.1605"
"28 Mar 19","1.1648"
"27 Mar 19","1.1725"
"26 Mar 19","1.1714"
"25 Mar 19","1.1655"
"22 Mar 19","1.1718"
"21 Mar 19","1.1507"
"20 Mar 19","1.1619"
"19 Mar 19","1.169"
"18 Mar 19","1.166"
"15 Mar 19","1.1723"
"14 Mar 19","1.175"
"13 Mar 19","1.1697"
"12 Mar 19","1.1616"
"11 Mar 19","1.1666"
"08 Mar 19","1.1574"
"07 Mar 19","1.1675"
"06 Mar 19","1.1619"
"05 Mar 19","1.1598"
"04 Mar 19","1.1633"
"01 Mar 19","1.163"
"28 Feb 19","1.168"
"27 Feb 19","1.1718"
"26 Feb 19","1.1655"
"25 Feb 19","1.1516"
"22 Feb 19","1.1514"
"21 Feb 19","1.1518"
"20 Feb 19","1.151"
"19 Feb 19","1.1497"
"18 Feb 19","1.1434"
"15 Feb 19","1.1406"
"14 Feb 19","1.1332"
"13 Feb 19","1.1411"
"12 Feb 19","1.1402"
"11 Feb 19","1.1409"
"08 Feb 19","1.1427"
"07 Feb 19","1.1427"
"06 Feb 19","1.1394"
"05 Feb 19","1.1343"
"04 Feb 19","1.1449"
"01 Feb 19","1.1417"
"31 Jan 19","1.146"
"30 Jan 19","1.1441"
"29 Jan 19","1.1519"
"28 Jan 19","1.1504"
"25 Jan 19","1.1552"
"24 Jan 19","1.1489"
"23 Jan 19","1.1482"
"22 Jan 19","1.1409"
"21 Jan 19","1.1345"
"18 Jan 19","1.1355"
"17 Jan 19","1.1343"
"16 Jan 19","1.1287"
"15 Jan 19","1.1199"
"14 Jan 19","1.126"
"11 Jan 19","1.1168"
"10 Jan 19","1.1091"
"09 Jan 19","1.1071"
"08 Jan 19","1.1126"
"07 Jan 19","1.114"
"04 Jan 19","1.1152"
"03 Jan 19","1.106"
"02 Jan 19","1.1104"
"31 Dec 18","1.1149"
"28 Dec 18","1.1094"
"27 Dec 18","1.1084"
"24 Dec 18","1.1099"
"21 Dec 18","1.1112"
"20 Dec 18","1.1068"
"19 Dec 18","1.107"
"18 Dec 18","1.1116"
"17 Dec 18","1.1124"
"14 Dec 18","1.1117"
"13 Dec 18","1.1116"
"12 Dec 18","1.1137"
"11 Dec 18","1.1064"
"10 Dec 18","1.1023"
"07 Dec 18","1.1201"
"06 Dec 18","1.1225"
"05 Dec 18","1.1231"
"04 Dec 18","1.1211"
"03 Dec 18","1.1224"
"30 Nov 18","1.1266"
"29 Nov 18","1.1221"
"28 Nov 18","1.131"
"27 Nov 18","1.1281"
"26 Nov 18","1.131"
"23 Nov 18","1.1285"
"22 Nov 18","1.1283"
"21 Nov 18","1.1218"
"20 Nov 18","1.1238"
"19 Nov 18","1.1234"
"16 Nov 18","1.1268"
"15 Nov 18","1.1294"
"14 Nov 18","1.15"
"13 Nov 18","1.1523"
"12 Nov 18","1.1435"
"09 Nov 18","1.1476"
"08 Nov 18","1.149"
"07 Nov 18","1.1452"
"06 Nov 18","1.1457"
"05 Nov 18","1.1419"
"02 Nov 18","1.1396"
"01 Nov 18","1.1384"
"31 Oct 18","1.1277"
"30 Oct 18","1.1203"
"29 Oct 18","1.1243"
"26 Oct 18","1.1276"
"25 Oct 18","1.1261"
"24 Oct 18","1.1329"
"23 Oct 18","1.1324"
"22 Oct 18","1.1311"
"19 Oct 18","1.1346"
"18 Oct 18","1.1377"
"17 Oct 18","1.1392"
"16 Oct 18","1.1408"
"15 Oct 18","1.1344"
"12 Oct 18","1.1385"
"11 Oct 18","1.1429"
"10 Oct 18","1.1443"
"09 Oct 18","1.1413"
"08 Oct 18","1.1392"
"05 Oct 18","1.1358"
"04 Oct 18","1.1306"
"03 Oct 18","1.1271"
"02 Oct 18","1.1232"
"01 Oct 18","1.126"
"28 Sep 18","1.1228"
"27 Sep 18","1.1233"
"26 Sep 18","1.1222"
"25 Sep 18","1.1168"
"24 Sep 18","1.1145"
"21 Sep 18","1.114"
"20 Sep 18","1.1278"
"19 Sep 18","1.1272"
"18 Sep 18","1.1244"
"17 Sep 18","1.1249"
"14 Sep 18","1.1207"
"13 Sep 18","1.1216"
"12 Sep 18","1.1203"
"11 Sep 18","1.1222"
"10 Sep 18","1.1219"
"07 Sep 18","1.1181"
"06 Sep 18","1.1131"
"05 Sep 18","1.1147"
"04 Sep 18","1.1105"
"03 Sep 18","1.1081"
"31 Aug 18","1.1169"
"30 Aug 18","1.1154"
"29 Aug 18","1.1118"
"28 Aug 18","1.1"
"24 Aug 18","1.1058"
"23 Aug 18","1.1088"
"22 Aug 18","1.113"
"21 Aug 18","1.117"
"20 Aug 18","1.1161"
"17 Aug 18","1.1167"
"16 Aug 18","1.1169"
"15 Aug 18","1.1199"
"14 Aug 18","1.1214"
"13 Aug 18","1.1189"
"10 Aug 18","1.1174"
"09 Aug 18","1.112"
"08 Aug 18","1.1105"
"07 Aug 18","1.1175"
"06 Aug 18","1.1194"
"03 Aug 18","1.1233"
"02 Aug 18","1.1223"
"01 Aug 18","1.1241"
"31 Jul 18","1.121"
"30 Jul 18","1.1224"
"27 Jul 18","1.1265"
"26 Jul 18","1.128"
"25 Jul 18","1.1262"
"24 Jul 18","1.1239"
"23 Jul 18","1.1203"
"20 Jul 18","1.1192"
"19 Jul 18","1.1197"
"18 Jul 18","1.1207"
"17 Jul 18","1.1265"
"16 Jul 18","1.13"
"13 Jul 18","1.1315"
"12 Jul 18","1.1316"
"11 Jul 18","1.1305"
"10 Jul 18","1.1317"
"09 Jul 18","1.1276"
"06 Jul 18","1.1293"
"05 Jul 18","1.1299"
"04 Jul 18","1.1345"
"03 Jul 18","1.131"
"02 Jul 18","1.1308"
"29 Jun 18","1.1308"
"28 Jun 18","1.131"
"27 Jun 18","1.1339"
"26 Jun 18","1.1342"
"25 Jun 18","1.1353"
"22 Jun 18","1.1404"
"21 Jun 18","1.1422"
"20 Jun 18","1.1379"
"19 Jun 18","1.1389"
"18 Jun 18","1.1403"
"15 Jun 18","1.1436"
"14 Jun 18","1.1443"
"13 Jun 18","1.1354"
"12 Jun 18","1.1328"
"11 Jun 18","1.1344"
"08 Jun 18","1.1387"
"07 Jun 18","1.135"
"06 Jun 18","1.1398"
"05 Jun 18","1.1434"
"04 Jun 18","1.1397"
"01 Jun 18","1.1429"
"31 May 18","1.14"
"30 May 18","1.1433"
"29 May 18","1.1476"
"25 May 18","1.1424"
"24 May 18","1.1408"
"23 May 18","1.1399"
"22 May 18","1.1398"
"21 May 18","1.1413"
"18 May 18","1.145"
"17 May 18","1.1454"
"16 May 18","1.1439"
"15 May 18","1.1378"
"14 May 18","1.1359"
"11 May 18","1.1346"
"10 May 18","1.1337"
"09 May 18","1.1452"
"08 May 18","1.1404"
"04 May 18","1.1331"
"03 May 18","1.1332"
"02 May 18","1.1374"
"01 May 18","1.1337"
"30 Apr 18","1.1402"
"27 Apr 18","1.1399"
"26 Apr 18","1.1503"
"25 Apr 18","1.1447"
"24 Apr 18","1.1432"
"23 Apr 18","1.1415"
"20 Apr 18","1.1422"
"19 Apr 18","1.1502"
"18 Apr 18","1.1501"
"17 Apr 18","1.1591"
"16 Apr 18","1.1582"
"13 Apr 18","1.1556"
"12 Apr 18","1.1553"
"11 Apr 18","1.1472"
"10 Apr 18","1.1476"
"09 Apr 18","1.1475"
"06 Apr 18","1.1485"
"05 Apr 18","1.1447"
"04 Apr 18","1.1452"
"03 Apr 18","1.1437"
"29 Mar 18","1.141"
"28 Mar 18","1.1415"
"27 Mar 18","1.1413"
"26 Mar 18","1.1431"
"23 Mar 18","1.1448"
"22 Mar 18","1.1451"
"21 Mar 18","1.1463"
"20 Mar 18","1.1418"
"19 Mar 18","1.1379"
"16 Mar 18","1.1334"
"15 Mar 18","1.1321"
"14 Mar 18","1.1281"
"13 Mar 18","1.1282"
"12 Mar 18","1.1283"
"09 Mar 18","1.1257"
"08 Mar 18","1.1218"
"07 Mar 18","1.1203"
"06 Mar 18","1.1198"
"05 Mar 18","1.1233"
"02 Mar 18","1.1185"
"01 Mar 18","1.1269"
"28 Feb 18","1.1299"
"27 Feb 18","1.1341"
"26 Feb 18","1.1344"
"23 Feb 18","1.1362"
"22 Feb 18","1.1313"
"21 Feb 18","1.1347"
"20 Feb 18","1.1347"
"19 Feb 18","1.1288"
"16 Feb 18","1.1279"
"15 Feb 18","1.1265"
"14 Feb 18","1.1256"
"13 Feb 18","1.1231"
"12 Feb 18","1.1246"
"09 Feb 18","1.127"
"08 Feb 18","1.1422"
"07 Feb 18","1.1293"
"06 Feb 18","1.1266"
"05 Feb 18","1.1285"
"02 Feb 18","1.1357"
"01 Feb 18","1.1417"
"31 Jan 18","1.1416"
"30 Jan 18","1.1371"
"29 Jan 18","1.1381"
"26 Jan 18","1.1408"
"25 Jan 18","1.1437"
"24 Jan 18","1.1487"
"23 Jan 18","1.1404"
"22 Jan 18","1.14"
"19 Jan 18","1.1328"
"18 Jan 18","1.1342"
"17 Jan 18","1.13"
"16 Jan 18","1.1264"
"15 Jan 18","1.1258"
"12 Jan 18","1.1269"
"11 Jan 18","1.1233"
"10 Jan 18","1.1293"
"09 Jan 18","1.1337"
"08 Jan 18","1.1339"
"05 Jan 18","1.1269"
"04 Jan 18","1.1224"
"03 Jan 18","1.124"
"02 Jan 18","1.1274"
"29 Dec 17","1.127"
"28 Dec 17","1.1256"
"27 Dec 17","1.1265"
"22 Dec 17","1.1295"
"21 Dec 17","1.1259"
"20 Dec 17","1.1281"
"19 Dec 17","1.1303"
"18 Dec 17","1.1343"
"15 Dec 17","1.1321"
"14 Dec 17","1.1398"
"13 Dec 17","1.1365"
"12 Dec 17","1.1358"
"11 Dec 17","1.1328"
"08 Dec 17","1.1382"
"07 Dec 17","1.138"
"06 Dec 17","1.1352"
"05 Dec 17","1.1372"
"04 Dec 17","1.1375"
"01 Dec 17","1.137"
"30 Nov 17","1.1348"
"29 Nov 17","1.1319"
"28 Nov 17","1.1147"
"27 Nov 17","1.1192"
"24 Nov 17","1.1186"
"23 Nov 17","1.1228"
"22 Nov 17","1.1269"
"21 Nov 17","1.1283"
"20 Nov 17","1.1289"
"17 Nov 17","1.1209"
"16 Nov 17","1.1209"
"15 Nov 17","1.1154"
"14 Nov 17","1.1159"
"13 Nov 17","1.124"
"10 Nov 17","1.1337"
"09 Nov 17","1.1285"
"08 Nov 17","1.1307"
"07 Nov 17","1.1353"
"06 Nov 17","1.1325"
"03 Nov 17","1.1248"
"02 Nov 17","1.1195"
"01 Nov 17","1.1412"
"31 Oct 17","1.14"
"30 Oct 17","1.1349"
"27 Oct 17","1.1322"
"26 Oct 17","1.1254"
"25 Oct 17","1.1221"
"24 Oct 17","1.1154"
"23 Oct 17","1.1226"
"20 Oct 17","1.119"
"19 Oct 17","1.114"
"18 Oct 17","1.1184"
"17 Oct 17","1.1207"
"16 Oct 17","1.1259"
"13 Oct 17","1.1241"
"12 Oct 17","1.1114"
"11 Oct 17","1.1135"
"10 Oct 17","1.1185"
"09 Oct 17","1.1188"
"06 Oct 17","1.1128"
"05 Oct 17","1.1216"
"04 Oct 17","1.129"
"03 Oct 17","1.1269"
"02 Oct 17","1.1313"
"29 Sep 17","1.1349"
"28 Sep 17","1.1408"
"27 Sep 17","1.141"
"26 Sep 17","1.1402"
"25 Sep 17","1.1365"
"22 Sep 17","1.1303"
"21 Sep 17","1.1359"
"20 Sep 17","1.1311"
"19 Sep 17","1.1291"
"18 Sep 17","1.1339"
"15 Sep 17","1.1365"
"14 Sep 17","1.1244"
"13 Sep 17","1.1102"
"12 Sep 17","1.1095"
"11 Sep 17","1.1001"
"08 Sep 17","1.097"
"07 Sep 17","1.0918"
"06 Sep 17","1.0947"
"05 Sep 17","1.0931"
"04 Sep 17","1.0877"
"01 Sep 17","1.0923"
"31 Aug 17","1.0837"
"30 Aug 17","1.0846"
"29 Aug 17","1.0771"
"25 Aug 17","1.0847"
"24 Aug 17","1.0841"
"23 Aug 17","1.0829"
"22 Aug 17","1.091"
"21 Aug 17","1.0922"
"18 Aug 17","1.0943"
"17 Aug 17","1.0976"
"16 Aug 17","1.0996"
"15 Aug 17","1.0968"
"14 Aug 17","1.1022"
"11 Aug 17","1.1005"
"10 Aug 17","1.1056"
"09 Aug 17","1.1063"
"08 Aug 17","1.104"
"07 Aug 17","1.104"
"04 Aug 17","1.1096"
"03 Aug 17","1.1065"
"02 Aug 17","1.1152"
"01 Aug 17","1.1202"
"31 Jul 17","1.1182"
"28 Jul 17","1.1168"
"27 Jul 17","1.1219"
"26 Jul 17","1.1226"
"25 Jul 17","1.1191"
"24 Jul 17","1.1206"
"21 Jul 17","1.1145"
"20 Jul 17","1.1164"
"19 Jul 17","1.1324"
"18 Jul 17","1.1241"
"17 Jul 17","1.139"
"14 Jul 17","1.1434"
"13 Jul 17","1.1342"
"12 Jul 17","1.1287"
"11 Jul 17","1.1247"
"10 Jul 17","1.1293"
"07 Jul 17","1.1306"
"06 Jul 17","1.1355"
"05 Jul 17","1.1409"
