Order ID,Order Date,Ship Date,Ship Mode
CA-2014-103219,2014-11-09 00:00:00,2014-11-13 00:00:00,Standard Class
CA-2014-103310,2014-05-10 00:00:00,2014-05-15 00:00:00,Standard Class
CA-2014-103317,2014-07-05 00:00:00,2014-07-08 00:00:00,First Class
CA-2014-103331,2014-08-26 00:00:00,2014-09-01 00:00:00,Standard Class
CA-2014-103366,2014-01-15 00:00:00,2014-01-17 00:00:00,First Class
CA-2014-103373,2014-05-18 00:00:00,2014-05-24 00:00:00,Standard Class
CA-2014-103401,2014-11-21 00:00:00,2014-11-26 00:00:00,Standard Class
CA-2014-103429,2014-05-30 00:00:00,2014-06-01 00:00:00,First Class
CA-2014-103492,2014-10-10 00:00:00,2014-10-15 00:00:00,Standard Class
CA-2014-103527,2014-09-09 00:00:00,2014-09-14 00:00:00,Second Class
CA-2014-103590,2014-11-30 00:00:00,2014-12-04 00:00:00,Standard Class
CA-2014-103660,2014-08-25 00:00:00,2014-08-30 00:00:00,Standard Class
CA-2014-103702,2014-09-12 00:00:00,2014-09-17 00:00:00,Standard Class
CA-2014-103744,2014-02-23 00:00:00,2014-02-27 00:00:00,Standard Class
CA-2014-103800,2014-01-03 00:00:00,2014-01-07 00:00:00,Standard Class
CA-2014-103807,2014-12-02 00:00:00,2014-12-09 00:00:00,Standard Class
CA-2014-103849,2014-05-11 00:00:00,2014-05-16 00:00:00,Standard Class
CA-2014-103940,2014-09-17 00:00:00,2014-09-21 00:00:00,Standard Class
CA-2014-103989,2014-03-19 00:00:00,2014-03-21 00:00:00,First Class
CA-2014-104178,2014-08-25 00:00:00,2014-08-29 00:00:00,Standard Class
CA-2014-104269,2014-03-01 00:00:00,2014-03-06 00:00:00,Second Class
CA-2014-104283,2014-06-27 00:00:00,2014-07-01 00:00:00,Standard Class
CA-2014-104402,2014-06-17 00:00:00,2014-06-23 00:00:00,Standard Class
CA-2014-104472,2014-06-02 00:00:00,2014-06-07 00:00:00,Standard Class
CA-2014-104563,2014-03-07 00:00:00,2014-03-12 00:00:00,Standard Class
CA-2014-104738,2014-12-30 00:00:00,2015-01-01 00:00:00,Second Class
CA-2014-104773,2014-12-08 00:00:00,2014-12-13 00:00:00,Standard Class
CA-2014-104780,2014-05-21 00:00:00,2014-05-25 00:00:00,Standard Class
CA-2014-104808,2014-02-04 00:00:00,2014-02-08 00:00:00,Second Class
CA-2014-104829,2014-11-18 00:00:00,2014-11-21 00:00:00,Second Class
CA-2014-104976,2014-12-09 00:00:00,2014-12-16 00:00:00,Standard Class
CA-2014-105165,2014-09-07 00:00:00,2014-09-10 00:00:00,First Class
CA-2014-105172,2014-04-04 00:00:00,2014-04-09 00:00:00,Standard Class
CA-2014-105249,2014-11-28 00:00:00,2014-11-28 00:00:00,Same Day
CA-2014-105270,2014-11-11 00:00:00,2014-11-18 00:00:00,Standard Class
CA-2014-105340,2014-11-22 00:00:00,2014-11-25 00:00:00,First Class
CA-2014-105417,2014-01-07 00:00:00,2014-01-12 00:00:00,Standard Class
CA-2014-105648,2014-03-03 00:00:00,2014-03-07 00:00:00,Standard Class
CA-2014-105872,2014-05-30 00:00:00,2014-06-06 00:00:00,Standard Class
CA-2014-105893,2014-11-11 00:00:00,2014-11-18 00:00:00,Standard Class
CA-2014-105984,2014-11-24 00:00:00,2014-11-24 00:00:00,Same Day
CA-2014-106054,2014-01-06 00:00:00,2014-01-07 00:00:00,First Class
CA-2014-106229,2014-06-07 00:00:00,2014-06-11 00:00:00,Second Class
CA-2014-106264,2014-12-26 00:00:00,2014-12-30 00:00:00,Standard Class
CA-2014-106376,2014-12-05 00:00:00,2014-12-10 00:00:00,Standard Class
CA-2014-106439,2014-10-31 00:00:00,2014-11-04 00:00:00,Standard Class
CA-2014-106572,2014-09-05 00:00:00,2014-09-10 00:00:00,Standard Class
CA-2014-106719,2014-08-24 00:00:00,2014-08-24 00:00:00,Same Day
CA-2014-106726,2014-12-06 00:00:00,2014-12-08 00:00:00,First Class
CA-2014-106803,2014-12-29 00:00:00,2015-01-02 00:00:00,Standard Class
CA-2014-106810,2014-05-14 00:00:00,2014-05-20 00:00:00,Standard Class
CA-2014-106971,2014-09-02 00:00:00,2014-09-08 00:00:00,Standard Class
CA-2014-107139,2014-07-05 00:00:00,2014-07-11 00:00:00,Standard Class
CA-2014-107153,2014-09-28 00:00:00,2014-10-03 00:00:00,Standard Class
CA-2014-107181,2014-02-04 00:00:00,2014-02-08 00:00:00,Standard Class
CA-2014-107398,2014-08-25 00:00:00,2014-08-30 00:00:00,Standard Class
CA-2014-107454,2014-11-02 00:00:00,2014-11-06 00:00:00,Standard Class
CA-2014-107524,2014-03-02 00:00:00,2014-03-08 00:00:00,Standard Class
CA-2014-107573,2014-12-12 00:00:00,2014-12-17 00:00:00,Standard Class
CA-2014-107594,2014-07-02 00:00:00,2014-07-06 00:00:00,Standard Class
CA-2014-107706,2014-02-14 00:00:00,2014-02-19 00:00:00,Second Class
CA-2014-107755,2014-02-07 00:00:00,2014-02-12 00:00:00,Standard Class
CA-2014-107769,2014-10-28 00:00:00,2014-11-01 00:00:00,Standard Class
CA-2014-107811,2014-04-29 00:00:00,2014-05-03 00:00:00,Standard Class
CA-2014-107818,2014-09-08 00:00:00,2014-09-14 00:00:00,Standard Class
CA-2014-107916,2014-08-24 00:00:00,2014-08-26 00:00:00,First Class
CA-2014-108147,2014-06-08 00:00:00,2014-06-13 00:00:00,Standard Class
CA-2014-108182,2014-02-06 00:00:00,2014-02-10 00:00:00,Second Class
CA-2014-108189,2014-10-02 00:00:00,2014-10-05 00:00:00,First Class
CA-2014-108273,2014-12-16 00:00:00,2014-12-21 00:00:00,Standard Class
CA-2014-108609,2014-10-31 00:00:00,2014-11-02 00:00:00,Second Class
CA-2014-108707,2014-10-24 00:00:00,2014-10-29 00:00:00,Standard Class
CA-2014-108861,2014-05-28 00:00:00,2014-06-01 00:00:00,Standard Class
CA-2014-108903,2014-10-03 00:00:00,2014-10-03 00:00:00,Same Day
CA-2014-109043,2014-08-15 00:00:00,2014-08-17 00:00:00,First Class
CA-2014-109127,2014-12-21 00:00:00,2014-12-25 00:00:00,Standard Class
CA-2014-109134,2014-11-05 00:00:00,2014-11-10 00:00:00,Standard Class
CA-2014-109218,2014-06-30 00:00:00,2014-07-03 00:00:00,Second Class
CA-2014-109232,2014-01-13 00:00:00,2014-01-16 00:00:00,Second Class
CA-2014-109302,2014-08-12 00:00:00,2014-08-16 00:00:00,Standard Class
CA-2014-109491,2014-02-20 00:00:00,2014-02-26 00:00:00,Standard Class
CA-2014-109680,2014-10-06 00:00:00,2014-10-09 00:00:00,First Class
CA-2014-109855,2014-09-01 00:00:00,2014-09-05 00:00:00,Standard Class
CA-2014-109890,2014-07-21 00:00:00,2014-07-27 00:00:00,Standard Class
CA-2014-109897,2014-08-12 00:00:00,2014-08-16 00:00:00,Standard Class
CA-2014-109904,2014-07-14 00:00:00,2014-07-17 00:00:00,Second Class
CA-2014-109918,2014-09-07 00:00:00,2014-09-12 00:00:00,Second Class
CA-2014-109932,2014-12-09 00:00:00,2014-12-11 00:00:00,First Class
CA-2014-110030,2014-12-06 00:00:00,2014-12-08 00:00:00,Second Class
CA-2014-110065,2014-08-05 00:00:00,2014-08-11 00:00:00,Standard Class
CA-2014-110072,2014-10-22 00:00:00,2014-10-28 00:00:00,Standard Class
CA-2014-110100,2014-04-25 00:00:00,2014-04-29 00:00:00,Standard Class
CA-2014-110184,2014-07-12 00:00:00,2014-07-16 00:00:00,Standard Class
CA-2014-110219,2014-05-05 00:00:00,2014-05-08 00:00:00,First Class
CA-2014-110352,2014-11-23 00:00:00,2014-11-29 00:00:00,Standard Class
CA-2014-110408,2014-10-18 00:00:00,2014-10-20 00:00:00,Second Class
CA-2014-110422,2014-01-21 00:00:00,2014-01-23 00:00:00,Second Class
CA-2014-110527,2014-08-09 00:00:00,2014-08-16 00:00:00,Standard Class
CA-2014-110555,2014-04-11 00:00:00,2014-04-18 00:00:00,Standard Class
CA-2014-110611,2014-10-06 00:00:00,2014-10-13 00:00:00,Standard Class
CA-2014-110639,2014-08-23 00:00:00,2014-08-23 00:00:00,Same Day
CA-2014-110786,2014-12-29 00:00:00,2015-01-02 00:00:00,Standard Class
CA-2014-110849,2014-04-18 00:00:00,2014-04-23 00:00:00,Standard Class
CA-2014-111003,2014-06-01 00:00:00,2014-06-06 00:00:00,Standard Class
CA-2014-111059,2014-02-03 00:00:00,2014-02-06 00:00:00,Second Class
CA-2014-111150,2014-12-31 00:00:00,2015-01-04 00:00:00,Standard Class
CA-2014-111157,2014-03-02 00:00:00,2014-03-06 00:00:00,Standard Class
CA-2014-111192,2014-07-30 00:00:00,2014-08-05 00:00:00,Standard Class
CA-2014-111360,2014-11-24 00:00:00,2014-11-30 00:00:00,Standard Class
CA-2014-111451,2014-12-26 00:00:00,2014-12-28 00:00:00,First Class
CA-2014-111500,2014-08-17 00:00:00,2014-08-21 00:00:00,Standard Class
CA-2014-111773,2014-06-29 00:00:00,2014-07-03 00:00:00,Standard Class
CA-2014-111857,2014-04-23 00:00:00,2014-04-26 00:00:00,Second Class
CA-2014-111871,2014-03-18 00:00:00,2014-03-21 00:00:00,Second Class
CA-2014-111899,2014-05-04 00:00:00,2014-05-05 00:00:00,First Class
CA-2014-111934,2014-05-05 00:00:00,2014-05-07 00:00:00,First Class
CA-2014-111962,2014-09-29 00:00:00,2014-10-04 00:00:00,Standard Class
CA-2014-112158,2014-12-02 00:00:00,2014-12-04 00:00:00,First Class
CA-2014-112291,2014-04-03 00:00:00,2014-04-08 00:00:00,Standard Class
CA-2014-112326,2014-01-04 00:00:00,2014-01-08 00:00:00,Standard Class
CA-2014-112403,2014-03-31 00:00:00,2014-03-31 00:00:00,Same Day
CA-2014-112718,2014-12-16 00:00:00,2014-12-21 00:00:00,Standard Class
CA-2014-112837,2014-09-11 00:00:00,2014-09-16 00:00:00,Standard Class
CA-2014-112851,2014-09-17 00:00:00,2014-09-21 00:00:00,Standard Class
CA-2014-113047,2014-10-24 00:00:00,2014-10-24 00:00:00,Same Day
CA-2014-113166,2014-12-24 00:00:00,2014-12-26 00:00:00,First Class
CA-2014-113257,2014-12-16 00:00:00,2014-12-18 00:00:00,Second Class
CA-2014-113271,2014-07-09 00:00:00,2014-07-14 00:00:00,Standard Class
CA-2014-113320,2014-12-12 00:00:00,2014-12-15 00:00:00,Second Class
CA-2014-113362,2014-09-14 00:00:00,2014-09-19 00:00:00,Standard Class
CA-2014-113383,2014-09-10 00:00:00,2014-09-13 00:00:00,First Class
CA-2014-113579,2014-12-13 00:00:00,2014-12-15 00:00:00,Second Class
CA-2014-113768,2014-05-13 00:00:00,2014-05-19 00:00:00,Standard Class
CA-2014-113859,2014-09-13 00:00:00,2014-09-17 00:00:00,Standard Class
CA-2014-113880,2014-03-01 00:00:00,2014-03-05 00:00:00,Standard Class
CA-2014-113887,2014-04-05 00:00:00,2014-04-07 00:00:00,First Class
CA-2014-113929,2014-06-16 00:00:00,2014-06-21 00:00:00,Standard Class
CA-2014-113964,2014-09-23 00:00:00,2014-09-30 00:00:00,Standard Class
CA-2014-114125,2014-07-09 00:00:00,2014-07-13 00:00:00,Standard Class
CA-2014-114181,2014-05-10 00:00:00,2014-05-14 00:00:00,Second Class
CA-2014-114195,2014-11-01 00:00:00,2014-11-03 00:00:00,First Class
CA-2014-114251,2014-11-05 00:00:00,2014-11-10 00:00:00,Standard Class
CA-2014-114314,2014-10-11 00:00:00,2014-10-15 00:00:00,Standard Class
CA-2014-114321,2014-08-20 00:00:00,2014-08-25 00:00:00,Standard Class
CA-2014-114335,2014-09-28 00:00:00,2014-10-03 00:00:00,Standard Class
CA-2014-114433,2014-05-13 00:00:00,2014-05-17 00:00:00,Standard Class
CA-2014-114510,2014-03-14 00:00:00,2014-03-19 00:00:00,Standard Class
CA-2014-114517,2014-12-23 00:00:00,2014-12-27 00:00:00,Standard Class
CA-2014-114643,2014-06-13 00:00:00,2014-06-17 00:00:00,Standard Class
CA-2014-114790,2014-03-11 00:00:00,2014-03-13 00:00:00,Second Class
CA-2014-115049,2014-09-26 00:00:00,2014-10-01 00:00:00,Standard Class
CA-2014-115056,2014-05-02 00:00:00,2014-05-02 00:00:00,Same Day
CA-2014-115084,2014-10-18 00:00:00,2014-10-22 00:00:00,Standard Class
CA-2014-115133,2014-09-26 00:00:00,2014-09-30 00:00:00,Standard Class
CA-2014-115161,2014-01-31 00:00:00,2014-02-02 00:00:00,First Class
CA-2014-115259,2014-08-25 00:00:00,2014-08-27 00:00:00,Second Class
CA-2014-115336,2014-11-18 00:00:00,2014-11-25 00:00:00,Standard Class
CA-2014-115357,2014-08-06 00:00:00,2014-08-11 00:00:00,Second Class
CA-2014-115791,2014-01-16 00:00:00,2014-01-18 00:00:00,Second Class
CA-2014-115812,2014-06-09 00:00:00,2014-06-14 00:00:00,Standard Class
CA-2014-115889,2014-11-02 00:00:00,2014-11-06 00:00:00,Standard Class
CA-2014-115973,2014-11-24 00:00:00,2014-11-26 00:00:00,First Class
CA-2014-115980,2014-07-15 00:00:00,2014-07-19 00:00:00,Standard Class
CA-2014-116190,2014-07-26 00:00:00,2014-08-01 00:00:00,Standard Class
CA-2014-116239,2014-03-04 00:00:00,2014-03-04 00:00:00,Same Day
CA-2014-116246,2014-09-12 00:00:00,2014-09-17 00:00:00,Second Class
CA-2014-116407,2014-11-15 00:00:00,2014-11-21 00:00:00,Standard Class
CA-2014-116568,2014-12-14 00:00:00,2014-12-20 00:00:00,Standard Class
CA-2014-116666,2014-05-08 00:00:00,2014-05-10 00:00:00,First Class
CA-2014-116673,2014-12-15 00:00:00,2014-12-19 00:00:00,Second Class
CA-2014-116757,2014-06-30 00:00:00,2014-07-04 00:00:00,Standard Class
CA-2014-116785,2014-04-26 00:00:00,2014-04-30 00:00:00,Standard Class
CA-2014-116834,2014-10-11 00:00:00,2014-10-16 00:00:00,Standard Class
CA-2014-116904,2014-09-23 00:00:00,2014-09-28 00:00:00,Standard Class
CA-2014-116932,2014-07-21 00:00:00,2014-07-25 00:00:00,Standard Class
CA-2014-117016,2014-03-04 00:00:00,2014-03-09 00:00:00,Standard Class
CA-2014-117317,2014-10-19 00:00:00,2014-10-19 00:00:00,Same Day
CA-2014-117345,2014-08-01 00:00:00,2014-08-05 00:00:00,Standard Class
CA-2014-117429,2014-10-07 00:00:00,2014-10-13 00:00:00,Standard Class
CA-2014-117464,2014-07-22 00:00:00,2014-07-24 00:00:00,Second Class
CA-2014-117478,2014-09-21 00:00:00,2014-09-24 00:00:00,First Class
CA-2014-117639,2014-05-21 00:00:00,2014-05-25 00:00:00,Standard Class
CA-2014-117709,2014-05-04 00:00:00,2014-05-08 00:00:00,Standard Class
CA-2014-117765,2014-09-07 00:00:00,2014-09-13 00:00:00,Standard Class
CA-2014-118192,2014-01-13 00:00:00,2014-01-18 00:00:00,Standard Class
CA-2014-118276,2014-12-29 00:00:00,2015-01-02 00:00:00,Standard Class
CA-2014-118304,2014-04-29 00:00:00,2014-05-04 00:00:00,Standard Class
CA-2014-118339,2014-03-17 00:00:00,2014-03-24 00:00:00,Standard Class
CA-2014-118962,2014-08-05 00:00:00,2014-08-09 00:00:00,Standard Class
CA-2014-118976,2014-04-28 00:00:00,2014-05-03 00:00:00,Standard Class
CA-2014-119032,2014-11-27 00:00:00,2014-12-03 00:00:00,Standard Class
CA-2014-119144,2014-11-16 00:00:00,2014-11-18 00:00:00,First Class
CA-2014-119151,2014-11-25 00:00:00,2014-11-29 00:00:00,Second Class
CA-2014-119172,2014-05-11 00:00:00,2014-05-15 00:00:00,Standard Class
CA-2014-119375,2014-11-17 00:00:00,2014-11-22 00:00:00,Standard Class
CA-2014-119466,2014-12-15 00:00:00,2014-12-21 00:00:00,Standard Class
CA-2014-119529,2014-11-03 00:00:00,2014-11-05 00:00:00,Second Class
CA-2014-119977,2014-10-08 00:00:00,2014-10-13 00:00:00,Second Class
CA-2014-120096,2014-07-04 00:00:00,2014-07-07 00:00:00,First Class
CA-2014-120243,2014-12-27 00:00:00,2014-12-30 00:00:00,Second Class
CA-2014-120278,2014-11-07 00:00:00,2014-11-12 00:00:00,Standard Class
CA-2014-120411,2014-09-20 00:00:00,2014-09-23 00:00:00,First Class
CA-2014-120432,2014-08-24 00:00:00,2014-08-26 00:00:00,Second Class
CA-2014-120474,2014-12-01 00:00:00,2014-12-03 00:00:00,First Class
CA-2014-120544,2014-11-23 00:00:00,2014-11-27 00:00:00,Standard Class
CA-2014-120670,2014-11-02 00:00:00,2014-11-06 00:00:00,Standard Class
CA-2014-120768,2014-12-19 00:00:00,2014-12-21 00:00:00,Second Class
CA-2014-120775,2014-10-03 00:00:00,2014-10-07 00:00:00,Standard Class
CA-2014-120838,2014-03-23 00:00:00,2014-03-26 00:00:00,Second Class
CA-2014-120852,2014-12-20 00:00:00,2014-12-25 00:00:00,Standard Class
CA-2014-120887,2014-09-27 00:00:00,2014-10-03 00:00:00,Standard Class
CA-2014-120950,2014-11-06 00:00:00,2014-11-11 00:00:00,Standard Class
CA-2014-121006,2014-11-10 00:00:00,2014-11-16 00:00:00,Standard Class
CA-2014-121167,2014-11-28 00:00:00,2014-11-30 00:00:00,Second Class
CA-2014-121286,2014-11-04 00:00:00,2014-11-08 00:00:00,Second Class
CA-2014-121573,2014-11-03 00:00:00,2014-11-07 00:00:00,Standard Class
CA-2014-121629,2014-11-28 00:00:00,2014-12-02 00:00:00,Standard Class
CA-2014-121664,2014-05-06 00:00:00,2014-05-10 00:00:00,Standard Class
CA-2014-121727,2014-08-19 00:00:00,2014-08-24 00:00:00,Standard Class
CA-2014-121762,2014-02-14 00:00:00,2014-02-18 00:00:00,Standard Class
CA-2014-121769,2014-04-08 00:00:00,2014-04-12 00:00:00,Standard Class
CA-2014-122070,2014-04-22 00:00:00,2014-04-24 00:00:00,Second Class
CA-2014-122217,2014-11-24 00:00:00,2014-11-29 00:00:00,Standard Class
CA-2014-122336,2014-04-13 00:00:00,2014-04-17 00:00:00,Second Class
CA-2014-122567,2014-02-16 00:00:00,2014-02-21 00:00:00,Standard Class
CA-2014-122588,2014-11-25 00:00:00,2014-11-27 00:00:00,Second Class
CA-2014-122609,2014-11-12 00:00:00,2014-11-18 00:00:00,Standard Class
CA-2014-122679,2014-07-22 00:00:00,2014-07-28 00:00:00,Standard Class
CA-2014-122749,2014-12-03 00:00:00,2014-12-09 00:00:00,Standard Class
CA-2014-122882,2014-09-07 00:00:00,2014-09-13 00:00:00,Standard Class
CA-2014-122931,2014-09-29 00:00:00,2014-10-03 00:00:00,Standard Class
CA-2014-123064,2014-06-30 00:00:00,2014-07-02 00:00:00,First Class
CA-2014-123127,2014-09-08 00:00:00,2014-09-12 00:00:00,Standard Class
CA-2014-123225,2014-07-11 00:00:00,2014-07-14 00:00:00,First Class
CA-2014-123253,2014-08-22 00:00:00,2014-08-25 00:00:00,Second Class
CA-2014-123260,2014-08-26 00:00:00,2014-08-30 00:00:00,Standard Class
CA-2014-123295,2014-07-18 00:00:00,2014-07-18 00:00:00,Same Day
CA-2014-123316,2014-10-13 00:00:00,2014-10-17 00:00:00,Standard Class
CA-2014-123323,2014-11-07 00:00:00,2014-11-12 00:00:00,Standard Class
CA-2014-123344,2014-09-24 00:00:00,2014-09-29 00:00:00,Standard Class
CA-2014-123400,2014-02-02 00:00:00,2014-02-09 00:00:00,Standard Class
CA-2014-123477,2014-01-18 00:00:00,2014-01-21 00:00:00,Second Class
CA-2014-123498,2014-11-07 00:00:00,2014-11-09 00:00:00,First Class
CA-2014-123855,2014-06-18 00:00:00,2014-06-23 00:00:00,Standard Class
CA-2014-123925,2014-12-17 00:00:00,2014-12-19 00:00:00,Second Class
CA-2014-124023,2014-04-07 00:00:00,2014-04-10 00:00:00,First Class
CA-2014-124079,2014-12-13 00:00:00,2014-12-17 00:00:00,Standard Class
CA-2014-124247,2014-12-16 00:00:00,2014-12-21 00:00:00,Standard Class
CA-2014-124394,2014-10-17 00:00:00,2014-10-22 00:00:00,Second Class
CA-2014-124429,2014-05-27 00:00:00,2014-05-27 00:00:00,Same Day
CA-2014-124464,2014-07-14 00:00:00,2014-07-20 00:00:00,Standard Class
CA-2014-124478,2014-08-08 00:00:00,2014-08-12 00:00:00,Standard Class
CA-2014-124513,2014-09-21 00:00:00,2014-09-25 00:00:00,Standard Class
CA-2014-124618,2014-05-02 00:00:00,2014-05-04 00:00:00,Second Class
CA-2014-124646,2014-06-22 00:00:00,2014-06-24 00:00:00,First Class
CA-2014-124688,2014-08-27 00:00:00,2014-08-29 00:00:00,First Class
CA-2014-124702,2014-11-18 00:00:00,2014-11-25 00:00:00,Standard Class
CA-2014-124709,2014-07-27 00:00:00,2014-07-29 00:00:00,Second Class
CA-2014-124723,2014-08-05 00:00:00,2014-08-12 00:00:00,Standard Class
CA-2014-124730,2014-11-26 00:00:00,2014-11-26 00:00:00,Same Day
CA-2014-124737,2014-08-23 00:00:00,2014-08-27 00:00:00,Standard Class
CA-2014-124807,2014-07-12 00:00:00,2014-07-15 00:00:00,Second Class
CA-2014-124856,2014-09-29 00:00:00,2014-10-03 00:00:00,Second Class
CA-2014-125136,2014-09-28 00:00:00,2014-10-03 00:00:00,Standard Class
CA-2014-125150,2014-05-16 00:00:00,2014-05-23 00:00:00,Standard Class
CA-2014-125171,2014-09-03 00:00:00,2014-09-03 00:00:00,Same Day
CA-2014-125514,2014-09-21 00:00:00,2014-09-22 00:00:00,First Class
CA-2014-125542,2014-12-05 00:00:00,2014-12-07 00:00:00,First Class
CA-2014-125556,2014-11-14 00:00:00,2014-11-16 00:00:00,Second Class
CA-2014-125612,2014-08-03 00:00:00,2014-08-08 00:00:00,Standard Class
CA-2014-125682,2014-11-22 00:00:00,2014-11-25 00:00:00,First Class
CA-2014-125731,2014-09-10 00:00:00,2014-09-16 00:00:00,Standard Class
CA-2014-125759,2014-02-08 00:00:00,2014-02-09 00:00:00,First Class
CA-2014-125829,2014-11-04 00:00:00,2014-11-11 00:00:00,Standard Class
CA-2014-125997,2014-09-20 00:00:00,2014-09-23 00:00:00,First Class
CA-2014-126032,2014-06-23 00:00:00,2014-06-28 00:00:00,Standard Class
CA-2014-126193,2014-09-07 00:00:00,2014-09-14 00:00:00,Standard Class
CA-2014-126200,2014-08-25 00:00:00,2014-08-29 00:00:00,Standard Class
CA-2014-126277,2014-09-13 00:00:00,2014-09-18 00:00:00,Second Class
CA-2014-126333,2014-12-23 00:00:00,2014-12-28 00:00:00,Standard Class
CA-2014-126361,2014-08-04 00:00:00,2014-08-09 00:00:00,Second Class
CA-2014-126403,2014-09-09 00:00:00,2014-09-12 00:00:00,Second Class
CA-2014-126480,2014-09-20 00:00:00,2014-09-24 00:00:00,Standard Class
CA-2014-126522,2014-09-01 00:00:00,2014-09-05 00:00:00,Second Class
CA-2014-126683,2014-09-29 00:00:00,2014-10-01 00:00:00,Second Class
CA-2014-126760,2014-07-26 00:00:00,2014-08-02 00:00:00,Standard Class
CA-2014-126802,2014-12-29 00:00:00,2015-01-05 00:00:00,Standard Class
CA-2014-126907,2014-11-01 00:00:00,2014-11-08 00:00:00,Standard Class
CA-2014-126963,2014-06-15 00:00:00,2014-06-15 00:00:00,Same Day
CA-2014-127012,2014-08-11 00:00:00,2014-08-15 00:00:00,Standard Class
CA-2014-127131,2014-11-24 00:00:00,2014-11-30 00:00:00,Standard Class
CA-2014-127159,2014-05-12 00:00:00,2014-05-15 00:00:00,First Class
CA-2014-127166,2014-05-21 00:00:00,2014-05-23 00:00:00,Second Class
CA-2014-127187,2014-12-04 00:00:00,2014-12-08 00:00:00,Standard Class
CA-2014-127299,2014-09-19 00:00:00,2014-09-24 00:00:00,Standard Class
CA-2014-127383,2014-12-31 00:00:00,2015-01-05 00:00:00,Standard Class
CA-2014-127446,2014-11-25 00:00:00,2014-11-30 00:00:00,Standard Class
CA-2014-127488,2014-09-22 00:00:00,2014-09-24 00:00:00,Second Class
CA-2014-127523,2014-05-11 00:00:00,2014-05-18 00:00:00,Standard Class
CA-2014-127558,2014-11-15 00:00:00,2014-11-18 00:00:00,First Class
CA-2014-127586,2014-09-26 00:00:00,2014-09-30 00:00:00,Standard Class
CA-2014-127614,2014-02-11 00:00:00,2014-02-15 00:00:00,Standard Class
