Postal Code,City,State,Region,Country
32137,Palm Coast,Florida,South,United States
32174,Ormond Beach,Florida,South,United States
32216,Jacksonville,Florida,South,United States
32303,Tallahassee,Florida,South,United States
32503,Pensacola,Florida,South,United States
32712,Apopka,Florida,South,United States
32725,Deltona,Florida,South,United States
32771,Sanford,Florida,South,United States
32839,Orlando,Florida,South,United States
32935,Melbourne,Florida,South,United States
33012,Hialeah,Florida,South,United States
33021,Hollywood,Florida,South,United States
33023,Miramar,Florida,South,United States
33024,Pembroke Pines,Florida,South,United States
33030,Homestead,Florida,South,United States
33063,Margate,Florida,South,United States
33065,Coral Springs,Florida,South,United States
33068,Pompano Beach,Florida,South,United States
33134,Coral Gables,Florida,South,United States
33142,Miami,Florida,South,United States
33161,North Miami,Florida,South,United States
33178,Miami,Florida,South,United States
33180,Miami,Florida,South,United States
33311,Fort Lauderdale,Florida,South,United States
33317,Plantation,Florida,South,United States
33319,Tamarac,Florida,South,United States
33407,West Palm Beach,Florida,South,United States
33433,Boca Raton,Florida,South,United States
33437,Boynton Beach,Florida,South,United States
33445,Delray Beach,Florida,South,United States
33458,Jupiter,Florida,South,United States
33614,Tampa,Florida,South,United States
33710,Saint Petersburg,Florida,South,United States
33801,Lakeland,Florida,South,United States
34741,Kissimmee,Florida,South,United States
34952,Port Saint Lucie,Florida,South,United States
35244,Hoover,Alabama,South,United States
35401,Tuscaloosa,Alabama,South,United States
35601,Decatur,Alabama,South,United States
35630,Florence,Alabama,South,United States
35810,Huntsville,Alabama,South,United States
36116,Montgomery,Alabama,South,United States
36608,Mobile,Alabama,South,United States
36830,Auburn,Alabama,South,United States
37042,Clarksville,Tennessee,South,United States
37064,Franklin,Tennessee,South,United States
37075,Hendersonville,Tennessee,South,United States
37087,Lebanon,Tennessee,South,United States
37130,Murfreesboro,Tennessee,South,United States
37167,Smyrna,Tennessee,South,United States
37211,Nashville,Tennessee,South,United States
37421,Chattanooga,Tennessee,South,United States
37604,Johnson City,Tennessee,South,United States
37620,Bristol,Tennessee,South,United States
37918,Knoxville,Tennessee,South,United States
38109,Memphis,Tennessee,South,United States
38134,Bartlett,Tennessee,South,United States
38301,Jackson,Tennessee,South,United States
38401,Columbia,Tennessee,South,United States
38671,Southaven,Mississippi,South,United States
39212,Jackson,Mississippi,South,United States
39401,Hattiesburg,Mississippi,South,United States
39503,Gulfport,Mississippi,South,United States
40214,Louisville,Kentucky,South,United States
40324,Georgetown,Kentucky,South,United States
40475,Richmond,Kentucky,South,United States
41042,Florence,Kentucky,South,United States
42071,Murray,Kentucky,South,United States
42104,Bowling Green,Kentucky,South,United States
42301,Owensboro,Kentucky,South,United States
42420,Henderson,Kentucky,South,United States
43017,Dublin,Ohio,East,United States
43055,Newark,Ohio,East,United States
43123,Grove City,Ohio,East,United States
43130,Lancaster,Ohio,East,United States
43229,Columbus,Ohio,East,United States
43302,Marion,Ohio,East,United States
43402,Bowling Green,Ohio,East,United States
43615,Toledo,Ohio,East,United States
44035,Elyria,Ohio,East,United States
44052,Lorain,Ohio,East,United States
44060,Mentor,Ohio,East,United States
44105,Cleveland,Ohio,East,United States
44107,Lakewood,Ohio,East,United States
44134,Parma,Ohio,East,United States
44221,Cuyahoga Falls,Ohio,East,United States
44240,Kent,Ohio,East,United States
44256,Medina,Ohio,East,United States
44312,Akron,Ohio,East,United States
45011,Hamilton,Ohio,East,United States
45014,Fairfield,Ohio,East,United States
45040,Mason,Ohio,East,United States
45231,Cincinnati,Ohio,East,United States
45373,Troy,Ohio,East,United States
45503,Springfield,Ohio,East,United States
46060,Noblesville,Indiana,Central,United States
46142,Greenwood,Indiana,Central,United States
46203,Indianapolis,Indiana,Central,United States
46226,Lawrence,Indiana,Central,United States
46350,La Porte,Indiana,Central,United States
46368,Portage,Indiana,Central,United States
46514,Elkhart,Indiana,Central,United States
46544,Mishawaka,Indiana,Central,United States
46614,South Bend,Indiana,Central,United States
47150,New Albany,Indiana,Central,United States
47201,Columbus,Indiana,Central,United States
47362,New Castle,Indiana,Central,United States
47374,Richmond,Indiana,Central,United States
47401,Bloomington,Indiana,Central,United States
47905,Lafayette,Indiana,Central,United States
48066,Roseville,Michigan,Central,United States
48073,Royal Oak,Michigan,Central,United States
48104,Ann Arbor,Michigan,Central,United States
48126,Dearborn,Michigan,Central,United States
48127,Dearborn Heights,Michigan,Central,United States
48146,Lincoln Park,Michigan,Central,United States
48180,Taylor,Michigan,Central,United States
48183,Trenton,Michigan,Central,United States
48185,Westland,Michigan,Central,United States
48187,Canton,Michigan,Central,United States
48205,Detroit,Michigan,Central,United States
48227,Detroit,Michigan,Central,United States
48234,Detroit,Michigan,Central,United States
48237,Oak Park,Michigan,Central,United States
48307,Rochester Hills,Michigan,Central,United States
48310,Sterling Heights,Michigan,Central,United States
48601,Saginaw,Michigan,Central,United States
48640,Midland,Michigan,Central,United States
48858,Mount Pleasant,Michigan,Central,United States
48911,Lansing,Michigan,Central,United States
49201,Jackson,Michigan,Central,United States
49423,Holland,Michigan,Central,United States
49505,Grand Rapids,Michigan,Central,United States
50315,Des Moines,Iowa,Central,United States
50322,Urbandale,Iowa,Central,United States
50701,Waterloo,Iowa,Central,United States
52001,Dubuque,Iowa,Central,United States
52240,Iowa City,Iowa,Central,United States
52302,Marion,Iowa,Central,United States
52402,Cedar Rapids,Iowa,Central,United States
52601,Burlington,Iowa,Central,United States
53081,Sheboygan,Wisconsin,Central,United States
53132,Franklin,Wisconsin,Central,United States
53142,Kenosha,Wisconsin,Central,United States
53186,Waukesha,Wisconsin,Central,United States
53209,Milwaukee,Wisconsin,Central,United States
53214,West Allis,Wisconsin,Central,United States
53711,Madison,Wisconsin,Central,United States
54302,Green Bay,Wisconsin,Central,United States
54401,Wausau,Wisconsin,Central,United States
54601,La Crosse,Wisconsin,Central,United States
54703,Eau Claire,Wisconsin,Central,United States
54880,Superior,Wisconsin,Central,United States
54915,Appleton,Wisconsin,Central,United States
55016,Cottage Grove,Minnesota,Central,United States
55044,Lakeville,Minnesota,Central,United States
55106,Saint Paul,Minnesota,Central,United States
55113,Roseville,Minnesota,Central,United States
55122,Eagan,Minnesota,Central,United States
55124,Apple Valley,Minnesota,Central,United States
55125,Woodbury,Minnesota,Central,United States
55369,Maple Grove,Minnesota,Central,United States
55407,Minneapolis,Minnesota,Central,United States
55433,Coon Rapids,Minnesota,Central,United States
55901,Rochester,Minnesota,Central,United States
56301,Saint Cloud,Minnesota,Central,United States
56560,Moorhead,Minnesota,Central,United States
57103,Sioux Falls,South Dakota,Central,United States
57401,Aberdeen,South Dakota,Central,United States
57701,Rapid City,South Dakota,Central,United States
58103,Fargo,North Dakota,Central,United States
59102,Billings,Montana,West,United States
59405,Great Falls,Montana,West,United States
59601,Helena,Montana,West,United States
59715,Bozeman,Montana,West,United States
59801,Missoula,Montana,West,United States
60004,Arlington Heights,Illinois,Central,United States
60016,Des Plaines,Illinois,Central,United States
60025,Glenview,Illinois,Central,United States
60035,Highland Park,Illinois,Central,United States
60067,Palatine,Illinois,Central,United States
60068,Park Ridge,Illinois,Central,United States
60076,Skokie,Illinois,Central,United States
60089,Buffalo Grove,Illinois,Central,United States
60090,Wheeling,Illinois,Central,United States
60098,Woodstock,Illinois,Central,United States
60126,Elmhurst,Illinois,Central,United States
60174,Saint Charles,Illinois,Central,United States
60188,Carol Stream,Illinois,Central,United States
60201,Evanston,Illinois,Central,United States
60302,Oak Park,Illinois,Central,United States
60423,Frankfort,Illinois,Central,United States
60440,Bolingbrook,Illinois,Central,United States
60441,Romeoville,Illinois,Central,United States
60462,Orland Park,Illinois,Central,United States
60477,Tinley Park,Illinois,Central,United States
60505,Aurora,Illinois,Central,United States
60540,Naperville,Illinois,Central,United States
60543,Oswego,Illinois,Central,United States
60610,Chicago,Illinois,Central,United States
60623,Chicago,Illinois,Central,United States
60653,Chicago,Illinois,Central,United States
61032,Freeport,Illinois,Central,United States
61107,Rockford,Illinois,Central,United States
61604,Peoria,Illinois,Central,United States
61701,Bloomington,Illinois,Central,United States
61761,Normal,Illinois,Central,United States
61821,Champaign,Illinois,Central,United States
61832,Danville,Illinois,Central,United States
62301,Quincy,Illinois,Central,United States
62521,Decatur,Illinois,Central,United States
63116,Saint Louis,Missouri,Central,United States
63122,Kirkwood,Missouri,Central,United States
63301,Saint Charles,Missouri,Central,United States
63376,Saint Peters,Missouri,Central,United States
64055,Independence,Missouri,Central,United States
64118,Gladstone,Missouri,Central,United States
65109,Jefferson City,Missouri,Central,United States
65203,Columbia,Missouri,Central,United States
65807,Springfield,Missouri,Central,United States
66062,Olathe,Kansas,Central,United States
66212,Overland Park,Kansas,Central,United States
66502,Manhattan,Kansas,Central,United States
67212,Wichita,Kansas,Central,United States
67846,Garden City,Kansas,Central,United States
68025,Fremont,Nebraska,Central,United States
68104,Omaha,Nebraska,Central,United States
68701,Norfolk,Nebraska,Central,United States
68801,Grand Island,Nebraska,Central,United States
70065,Kenner,Louisiana,South,United States
70506,Lafayette,Louisiana,South,United States
70601,Lake Charles,Louisiana,South,United States
71111,Bossier City,Louisiana,South,United States
71203,Monroe,Louisiana,South,United States
71603,Pine Bluff,Arkansas,South,United States
71854,Texarkana,Arkansas,South,United States
71901,Hot Springs,Arkansas,South,United States
72032,Conway,Arkansas,South,United States
72209,Little Rock,Arkansas,South,United States
72401,Jonesboro,Arkansas,South,United States
72701,Fayetteville,Arkansas,South,United States
72756,Rogers,Arkansas,South,United States
72762,Springdale,Arkansas,South,United States
73034,Edmond,Oklahoma,Central,United States
73071,Norman,Oklahoma,Central,United States
73120,Oklahoma City,Oklahoma,Central,United States
73505,Lawton,Oklahoma,Central,United States
74012,Broken Arrow,Oklahoma,Central,United States
74133,Tulsa,Oklahoma,Central,United States
74403,Muskogee,Oklahoma,Central,United States
75002,Allen,Texas,Central,United States
75007,Carrollton,Texas,Central,United States
75019,Coppell,Texas,Central,United States
75023,Plano,Texas,Central,United States
75034,Frisco,Texas,Central,United States
75043,Garland,Texas,Central,United States
75051,Grand Prairie,Texas,Central,United States
75056,The Colony,Texas,Central,United States
75061,Irving,Texas,Central,United States
75080,Richardson,Texas,Central,United States
75081,Dallas,Texas,Central,United States
75104,Cedar Hill,Texas,Central,United States
75150,Mesquite,Texas,Central,United States
75217,Dallas,Texas,Central,United States
75220,Dallas,Texas,Central,United States
75701,Tyler,Texas,Central,United States
76017,Arlington,Texas,Central,United States
76021,Bedford,Texas,Central,United States
76051,Grapevine,Texas,Central,United States
76063,Mansfield,Texas,Central,United States
76106,Fort Worth,Texas,Central,United States
76117,Haltom City,Texas,Central,United States
76248,Keller,Texas,Central,United States
76706,Waco,Texas,Central,United States
76903,San Angelo,Texas,Central,United States
77036,Houston,Texas,Central,United States
77041,Houston,Texas,Central,United States
77070,Houston,Texas,Central,United States
77095,Houston,Texas,Central,United States
77301,Conroe,Texas,Central,United States
77340,Huntsville,Texas,Central,United States
77489,Missouri City,Texas,Central,United States
77506,Pasadena,Texas,Central,United States
77520,Baytown,Texas,Central,United States
77536,Deer Park,Texas,Central,United States
77571,La Porte,Texas,Central,United States
77573,League City,Texas,Central,United States
77581,Pearland,Texas,Central,United States
77590,Texas City,Texas,Central,United States
77642,Port Arthur,Texas,Central,United States
77705,Beaumont,Texas,Central,United States
77803,Bryan,Texas,Central,United States
77840,College Station,Texas,Central,United States
78041,Laredo,Texas,Central,United States
78207,San Antonio,Texas,Central,United States
78415,Corpus Christi,Texas,Central,United States
78501,Mcallen,Texas,Central,United States
78521,Brownsville,Texas,Central,United States
78539,Edinburg,Texas,Central,United States
78550,Harlingen,Texas,Central,United States
78577,Pharr,Texas,Central,United States
78664,Round Rock,Texas,Central,United States
78666,San Marcos,Texas,Central,United States
78745,Austin,Texas,Central,United States
79109,Amarillo,Texas,Central,United States
79424,Lubbock,Texas,Central,United States
79605,Abilene,Texas,Central,United States
79762,Odessa,Texas,Central,United States
79907,El Paso,Texas,Central,United States
80004,Arvada,Colorado,West,United States
80013,Aurora,Colorado,West,United States
80020,Broomfield,Colorado,West,United States
80022,Commerce City,Colorado,West,United States
80027,Louisville,Colorado,West,United States
80112,Englewood,Colorado,West,United States
80122,Littleton,Colorado,West,United States
80134,Parker,Colorado,West,United States
80219,Denver,Colorado,West,United States
80229,Thornton,Colorado,West,United States
80501,Longmont,Colorado,West,United States
80525,Fort Collins,Colorado,West,United States
80538,Loveland,Colorado,West,United States
80634,Greeley,Colorado,West,United States
80906,Colorado Springs,Colorado,West,United States
81001,Pueblo,Colorado,West,United States
82001,Cheyenne,Wyoming,West,United States
83201,Pocatello,Idaho,West,United States
83301,Twin Falls,Idaho,West,United States
83501,Lewiston,Idaho,West,United States
83605,Caldwell,Idaho,West,United States
83642,Meridian,Idaho,West,United States
83704,Boise,Idaho,West,United States
84020,Draper,Utah,West,United States
84041,Layton,Utah,West,United States
84043,Lehi,Utah,West,United States
84057,Orem,Utah,West,United States
84062,Pleasant Grove,Utah,West,United States
84084,West Jordan,Utah,West,United States
84106,Salt Lake City,Utah,West,United States
84107,Murray,Utah,West,United States
84321,Logan,Utah,West,United States
84604,Provo,Utah,West,United States
85023,Phoenix,Arizona,West,United States
85204,Mesa,Arizona,West,United States
85224,Chandler,Arizona,West,United States
85234,Gilbert,Arizona,West,United States
85254,Scottsdale,Arizona,West,United States
85281,Tempe,Arizona,West,United States
85301,Glendale,Arizona,West,United States
85323,Avondale,Arizona,West,United States
85345,Peoria,Arizona,West,United States
85364,Yuma,Arizona,West,United States
85635,Sierra Vista,Arizona,West,United States
85705,Tucson,Arizona,West,United States
86442,Bullhead City,Arizona,West,United States
87105,Albuquerque,New Mexico,West,United States
87124,Rio Rancho,New Mexico,West,United States
87401,Farmington,New Mexico,West,United States
87505,Santa Fe,New Mexico,West,United States
88001,Las Cruces,New Mexico,West,United States
88101,Clovis,New Mexico,West,United States
88220,Carlsbad,New Mexico,West,United States
89015,Henderson,Nevada,West,United States
89031,North Las Vegas,Nevada,West,United States
89115,Las Vegas,Nevada,West,United States
89431,Sparks,Nevada,West,United States
89502,Reno,Nevada,West,United States
90004,Los Angeles,California,West,United States
90008,Los Angeles,California,West,United States
90032,Los Angeles,California,West,United States
90036,Los Angeles,California,West,United States
90045,Los Angeles,California,West,United States
90049,Los Angeles,California,West,United States
90278,Redondo Beach,California,West,United States
90301,Inglewood,California,West,United States
90503,Torrance,California,West,United States
90604,Whittier,California,West,United States
90640,Montebello,California,West,United States
90660,Pico Rivera,California,West,United States
90712,Lakewood,California,West,United States
90805,Long Beach,California,West,United States
91104,Pasadena,California,West,United States
91360,Thousand Oaks,California,West,United States
91505,Burbank,California,West,United States
91730,Rancho Cucamonga,California,West,United States
91761,Ontario,California,West,United States
91767,Pomona,California,West,United States
91776,San Gabriel,California,West,United States
91911,Chula Vista,California,West,United States
91941,La Mesa,California,West,United States
92020,El Cajon,California,West,United States
92024,San Diego,California,West,United States
92025,Escondido,California,West,United States
92037,San Diego,California,West,United States
92054,Oceanside,California,West,United States
92105,San Diego,California,West,United States
92236,Coachella,California,West,United States
92253,La Quinta,California,West,United States
92307,Apple Valley,California,West,United States
92345,Hesperia,California,West,United States
92374,Redlands,California,West,United States
92399,Yucaipa,California,West,United States
92404,San Bernardino,California,West,United States
92503,Riverside,California,West,United States
92530,Lake Elsinore,California,West,United States
92553,Moreno Valley,California,West,United States
92563,Murrieta,California,West,United States
92592,Temecula,California,West,United States
92627,Costa Mesa,California,West,United States
92630,Lake Forest,California,West,United States
92646,Huntington Beach,California,West,United States
92672,San Clemente,California,West,United States
92677,Laguna Niguel,California,West,United States
92683,Westminster,California,West,United States
92691,Mission Viejo,California,West,United States
92704,Santa Ana,California,West,United States
92804,Anaheim,California,West,United States
93010,Camarillo,California,West,United States
93030,Oxnard,California,West,United States
93101,Santa Barbara,California,West,United States
93277,Visalia,California,West,United States
93309,Bakersfield,California,West,United States
93405,San Luis Obispo,California,West,United States
93454,Santa Maria,California,West,United States
93534,Lancaster,California,West,United States
93727,Fresno,California,West,United States
93905,Salinas,California,West,United States
94061,Redwood City,California,West,United States
94086,Sunnyvale,California,West,United States
94109,San Francisco,California,West,United States
94110,San Francisco,California,West,United States
94122,San Francisco,California,West,United States
94403,San Mateo,California,West,United States
94509,Antioch,California,West,United States
94513,Brentwood,California,West,United States
94521,Concord,California,West,United States
94526,Danville,California,West,United States
94533,Fairfield,California,West,United States
94568,Dublin,California,West,United States
94591,Vallejo,California,West,United States
94601,Oakland,California,West,United States
95037,Morgan Hill,California,West,United States
95051,Santa Clara,California,West,United States
95123,San Jose,California,West,United States
95207,Stockton,California,West,United States
95240,Lodi,California,West,United States
95336,Manteca,California,West,United States
95351,Modesto,California,West,United States
95610,Citrus Heights,California,West,United States
95616,Davis,California,West,United States
95661,Roseville,California,West,United States
95687,Vacaville,California,West,United States
95695,Woodland,California,West,United States
95823,Sacramento,California,West,United States
95928,Chico,California,West,United States
96003,Redding,California,West,United States
97030,Gresham,Oregon,West,United States
97123,Hillsboro,Oregon,West,United States
97206,Portland,Oregon,West,United States
97224,Tigard,Oregon,West,United States
97301,Salem,Oregon,West,United States
97405,Eugene,Oregon,West,United States
97477,Springfield,Oregon,West,United States
97504,Medford,Oregon,West,United States
97756,Redmond,Oregon,West,United States
98002,Auburn,Washington,West,United States
98006,Bellevue,Washington,West,United States
98026,Edmonds,Washington,West,United States
98031,Kent,Washington,West,United States
98042,Covington,Washington,West,United States
98052,Redmond,Washington,West,United States
98059,Renton,Washington,West,United States
98103,Seattle,Washington,West,United States
98105,Seattle,Washington,West,United States
98115,Seattle,Washington,West,United States
98198,Des Moines,Washington,West,United States
98208,Everett,Washington,West,United States
98226,Bellingham,Washington,West,United States
98270,Marysville,Washington,West,United States
98502,Olympia,Washington,West,United States
98632,Longview,Washington,West,United States
98661,Vancouver,Washington,West,United States
99207,Spokane,Washington,West,United States
99301,Pasco,Washington,West,United States
