Segment,Country, Product ,Date,Quantity,Unit Cost,Sale Price,COGS,Discount, Discount Band 
Government,Canada,Carretera,19/10/2020,2851,3,7,14255,798.28, Low 
Government,Canada,Montana,27/10/2020,2851,5,7,14255,798.28, Low 
Midmarket,UK,Paseo,20/10/2020,671,10,15,6710,402.6, Low 
Midmarket,Spain,Paseo,18/10/2020,1514,10,15,15140,908.4, Low 
Government,Canada,Velo,25/09/2020,2646,120,20,26460,2116.8, Low 
Government,UK,VTT,23/09/2020,349,250,350,90740,4886, Low 
Midmarket,Spain,VTT,09/10/2020,1514,250,15,15140,908.4, Low 
Midmarket,UK,Amarilla,24/10/2020,671,260,15,6710,402.6, Low 
Government,Canada,Amarilla,25/12/2020,1778,260,350,462280,24892, Low 
Government,Germany,Montana,10/10/2020,1159,5,7,5795,405.65, Medium 
Government,Canada,Paseo,19/09/2020,2349,10,7,11745,822.15, Medium 
Government,Germany,Amarilla,05/10/2020,1159,260,7,5795,405.65, Medium 
Government,Germany,Carretera,05/11/2020,1016,3,7,5080,355.6, Medium 
Government,Spain,Montana,16/09/2020,720,5,350,187200,12600, Medium 
Small Business,Spain,Montana,21/12/2020,1100,5,300,275000,16500, Medium 
Government,Canada,Paseo,15/10/2020,1228,10,350,319280,21490, Medium 
Government,Canada,Paseo,03/10/2020,1389,10,20,13890,1389, Medium 
Enterprise,France,Paseo,22/10/2020,704,10,125,84480,4400, Medium 
Government,Canada,Paseo,27/12/2020,1802,10,20,18020,1802, Medium 
Government,France,Paseo,22/12/2020,2136,10,7,10680,747.6, Medium 
Midmarket,Germany,Paseo,31/12/2020,2116,10,15,21160,1587, Medium 
Enterprise,France,Velo,13/10/2020,704,120,125,84480,4400, Medium 
Government,France,Velo,31/12/2020,1033,120,20,10330,1033, Medium 
Government,Canada,VTT,11/10/2020,1389,250,20,13890,1389, Medium 
Government,UK,VTT,27/11/2020,1265,250,20,12650,1265, Medium 
Government,Germany,VTT,08/11/2020,2297,250,20,22970,2297, Medium 
Government,Canada,Amarilla,18/10/2020,1228,260,350,319280,21490, Medium 
Channel Partners,Canada,Carretera,14/10/2020,2299,3,12,6897,1655.28, Medium 
Government,UK,Carretera,19/11/2020,263,3,7,1315,110.46, Medium 
Enterprise,Germany,Carretera,29/12/2020,887,3,125,106440,6652.5, Medium 
Government,France,Montana,23/10/2020,1403,5,7,7015,589.26, Medium 
Channel Partners,Canada,Paseo,09/10/2020,2299,10,12,6897,1655.28, Medium 
Government,UK,Paseo,27/10/2020,727,10,350,189020,15267, Medium 
Small Business,France,Velo,10/10/2020,1221,120,300,305250,21978, Medium 
Government,France,Velo,13/10/2020,2076,120,350,539760,43596, Medium 
Small Business,France,VTT,24/10/2020,1221,250,300,305250,21978, Medium 
Government,Spain,VTT,13/11/2020,1123,250,20,11230,1347.6, Medium 
Small Business,Canada,VTT,12/12/2020,2436,250,300,609000,43848, Medium 
Government,UK,Amarilla,10/10/2020,727,260,350,189020,15267, Medium 
Government,France,Amarilla,21/10/2020,1403,260,7,7015,589.26, Medium 
Government,France,Amarilla,23/10/2020,2076,260,350,539760,43596, Medium 
Government,France,Montana,15/10/2020,1757,5,20,17570,2108.4, Medium 
Government,France,Paseo,14/10/2020,1757,10,20,17570,2108.4, Medium 
Government,Spain,Carretera,02/09/2020,1834,3,20,18340,2567.6, Medium 
Government,France,Paseo,11/09/2020,1031,10,7,5155,505.19, Medium 
Channel Partners,Germany,VTT,23/09/2020,2215,250,12,6645,1860.6, Medium 
Enterprise,Germany,Montana,10/11/2020,2500,5,125,300000,21875, Medium 
Midmarket,UK,Paseo,10/09/2020,2931,10,15,29310,3077.55, Medium 
Small Business,Germany,Paseo,27/09/2020,1123,10,300,280750,23583, Medium 
Small Business,Canada,Paseo,12/11/2020,1404,10,300,351000,29484, Medium 
Channel Partners,Spain,Paseo,12/11/2020,2763,10,12,8289,2320.92, Medium 
Government,Germany,Paseo,24/12/2020,2125,10,7,10625,1041.25, Medium 
Government,UK,Velo,03/12/2020,1421,120,20,14210,1989.4, Medium 
Government,Germany,Velo,26/12/2020,588,120,20,5880,823.2, Medium 
Enterprise,Germany,Amarilla,15/09/2020,994,260,125,119280,8697.5, Medium 
Small Business,Canada,Montana,12/09/2020,1283,5,300,320750,30792, Medium 
Government,Germany,Paseo,06/09/2020,2409,10,7,12045,1349.04, Medium 
Government,Germany,Paseo,07/11/2020,2146,10,350,557960,60088, Medium 
Government,Spain,Paseo,31/12/2020,1946,10,7,9730,1089.76, Medium 
Small Business,France,Velo,08/11/2020,386,120,300,96500,9264, Medium 
Small Business,UK,VTT,13/12/2020,808,250,300,202000,19392, Medium 
Channel Partners,Spain,Amarilla,03/12/2020,1375,260,12,4125,1320, Medium 
Channel Partners,Spain,Carretera,06/10/2020,367,3,12,1101,396.36, Medium 
Small Business,France,Montana,24/09/2020,322,5,300,80500,8694, Medium 
Enterprise,France,Montana,30/11/2020,1857,5,125,222840,20891.25, Medium 
Government,Canada,Montana,14/12/2020,1611,5,7,8055,1014.93, Medium 
Small Business,Germany,Montana,15/12/2020,334,5,300,83500,9018, Medium 
Channel Partners,Spain,Paseo,02/10/2020,367,10,12,1101,396.36, Medium 
Channel Partners,Germany,Paseo,19/11/2020,1775,10,12,5325,1917, Medium 
Channel Partners,France,VTT,29/09/2020,2234,250,12,6702,2412.72, Medium 
Midmarket,Germany,Amarilla,24/11/2020,970,260,15,9700,1309.5, Medium 
Government,France,VTT,27/11/2020,2682,250,20,26820,4827.6, Medium 
Channel Partners,France,Amarilla,22/12/2020,306,260,12,918,330.48, Medium 
Channel Partners,UK,Carretera,28/10/2020,386,3,12,1158,463.2, High 
Channel Partners,UK,Paseo,28/10/2020,386,10,12,1158,463.2, High 
Enterprise,France,Carretera,16/12/2020,1482,3,125,177840,18525, High 
Enterprise,UK,Montana,23/11/2020,1804,5,125,216480,22550, High 
Midmarket,France,Paseo,22/10/2020,2167,10,15,21670,3250.5, High 
Small Business,UK,Velo,10/10/2020,2294,120,300,573500,68820, High 
Enterprise,Canada,Velo,10/12/2020,1916,120,125,229920,23950, High 
Small Business,UK,VTT,14/10/2020,2294,250,300,573500,68820, High 
Midmarket,France,VTT,14/10/2020,2167,250,15,21670,3250.5, High 
Government,Germany,VTT,27/12/2020,1870,250,350,486200,65450, High 
Channel Partners,France,Carretera,10/10/2020,1198,3,12,3594,1581.36, High 
Channel Partners,France,Paseo,05/10/2020,1198,10,12,3594,1581.36, High 
Channel Partners,Spain,VTT,09/09/2020,1005,250,12,3015,1326.6, High 
Midmarket,Canada,Carretera,12/11/2020,1560,3,15,15600,2574, High 
Government,Spain,Carretera,22/11/2020,2706,3,7,13530,2083.62, High 
Government,Germany,Montana,14/10/2020,2992,5,20,29920,6582.4, High 
Government,Germany,Paseo,15/10/2020,2992,10,20,29920,6582.4, High 
Government,France,Velo,02/09/2020,2805,120,20,28050,6171, High 
Midmarket,Spain,Velo,01/09/2020,655,120,15,6550,1080.75, High 
Government,Spain,Velo,22/10/2020,344,120,350,89440,13244, High 
Government,Canada,VTT,30/11/2020,2935,250,20,29350,6457, High 
Enterprise,Spain,Amarilla,19/09/2020,947,260,125,113640,13021.25, High 
Government,Spain,Amarilla,17/10/2020,344,260,350,89440,13244, High 
Government,UK,Paseo,13/09/2020,380,10,7,1900,292.6, High 
Enterprise,Canada,Carretera,15/09/2020,2416,3,125,289920,36240, High 
Government,Spain,Montana,31/10/2020,1715,5,20,17150,4116, High 
Small Business,France,Montana,26/12/2020,1186,5,300,296500,42696, High 
Government,Spain,Paseo,03/10/2020,1715,10,20,17150,4116, High 
Midmarket,Spain,Paseo,30/12/2020,380,10,15,3800,684, High 
Government,Canada,VTT,20/09/2020,623,250,350,161980,26166, High 
Midmarket,UK,Amarilla,09/11/2020,2548,260,15,25480,4586.4, High 
Channel Partners,Canada,Amarilla,02/09/2020,2761,260,12,8283,3975.84, High 
Government,Germany,Carretera,29/09/2020,442,3,20,4420,1149.2, High 
Midmarket,Germany,Velo,01/09/2020,660,120,15,6600,1287, High 
Small Business,Spain,Velo,29/11/2020,2605,120,300,651250,101595, High 
Channel Partners,Germany,Amarilla,11/12/2020,1770,260,12,5310,2761.2, High 
Government,UK,Carretera,20/10/2020,2996,3,7,14980,2936.08, High 
Government,UK,Montana,24/10/2020,2996,5,7,14980,2936.08, High 
Channel Partners,UK,Amarilla,26/12/2020,2015,260,12,6045,3385.2, High 
Enterprise,France,Carretera,23/09/2020,1023,3,125,122760,17902.5, High 
Enterprise,Spain,Carretera,06/12/2020,2821,3,125,338520,49367.5, High 
Government,Spain,Montana,23/10/2020,1727,5,7,8635,1692.46, High 
Midmarket,Canada,Paseo,04/09/2020,2470,10,15,24700,5187, High 
Midmarket,Canada,Paseo,23/10/2020,1743,10,15,17430,3660.3, High 
Channel Partners,Canada,Paseo,02/11/2020,2222,10,12,6666,3732.96, High 
Government,France,Paseo,28/11/2020,1922,10,350,499720,94178, High 
Small Business,Canada,Velo,08/10/2020,269,120,300,67250,11298, High 
Small Business,Germany,Velo,27/11/2020,2536,120,300,634000,106512, High 
Small Business,Canada,VTT,03/10/2020,269,250,300,67250,11298, High 
Government,France,VTT,17/12/2020,1281,250,350,333060,62769, High 
Midmarket,Canada,Amarilla,26/10/2020,1743,260,15,17430,3660.3, High 
Government,Spain,Amarilla,19/10/2020,1727,260,7,8635,1692.46, High 
Midmarket,Spain,Amarilla,06/11/2020,1870,260,15,18700,3927, High 
Government,UK,Paseo,26/10/2020,267,10,20,2670,801, High 
Government,UK,Paseo,22/11/2020,2007,10,350,521820,105367.5, High 
Government,Spain,Paseo,21/11/2020,2151,10,350,559260,112927.5, High 
Small Business,UK,Velo,06/11/2020,2574,120,300,643500,115830, High 
Enterprise,UK,Velo,25/12/2020,2438,120,125,292560,45712.5, High 
Government,UK,VTT,08/10/2020,267,250,20,2670,801, High 
Enterprise,Canada,VTT,01/11/2020,2954,250,125,354480,55387.5, High 
Government,Canada,Carretera,12/01/2021,1618.5,3,20,16185,0, None 
Government,Germany,Carretera,09/01/2021,1321,3,20,13210,0, None 
Midmarket,France,Carretera,20/06/2021,2178,3,15,21780,0, None 
Midmarket,Germany,Carretera,17/06/2021,888,3,15,8880,0, None 
Midmarket,Spain,Carretera,16/06/2021,2470,3,15,24700,0, None 
Government,Germany,Carretera,16/12/2021,1513,3,350,393380,0, None 
Midmarket,Germany,Montana,02/03/2021,921,5,15,9210,0, None 
Channel Partners,Canada,Montana,18/06/2021,2518,5,12,7554,0, None 
Government,France,Montana,13/06/2021,1899,5,20,18990,0, None 
Channel Partners,Germany,Montana,03/06/2021,1545,5,12,4635,0, None 
Midmarket,Spain,Montana,25/06/2021,2470,5,15,24700,0, None 
Enterprise,Canada,Montana,24/07/2021,2665.5,5,125,319860,0, None 
Small Business,Spain,Montana,01/08/2021,958,5,300,239500,0, None 
Government,Germany,Montana,15/09/2021,2146,5,7,10730,0, None 
Midmarket,UK,Montana,04/12/2021,615,5,15,6150,0, None 
Government,Canada,Paseo,21/02/2021,292,10,20,2920,0, None 
Midmarket,Spain,Paseo,22/02/2021,974,10,15,9740,0, None 
Channel Partners,Canada,Paseo,18/06/2021,2518,10,12,7554,0, None 
Government,Germany,Paseo,07/06/2021,1006,10,350,261560,0, None 
Channel Partners,Germany,Paseo,30/07/2021,367,10,12,1101,0, None 
Government,Spain,Paseo,13/08/2021,883,10,7,4415,0, None 
Midmarket,Spain,Paseo,04/09/2021,2472,10,15,24720,0, None 
Government,UK,Paseo,27/10/2021,1143,10,7,5715,0, None 
Government,Canada,Paseo,12/12/2021,1817,10,20,18170,0, None 
Government,Germany,Paseo,12/12/2021,1513,10,350,393380,0, None 
Government,Spain,Velo,08/01/2021,1493,120,7,7465,0, None 
Enterprise,France,Velo,23/02/2021,1804,120,125,216480,0, None 
Channel Partners,Germany,Velo,30/03/2021,2161,120,12,6483,0, None 
Government,Germany,Velo,01/06/2021,1006,120,350,261560,0, None 
Channel Partners,Germany,Velo,03/06/2021,1545,120,12,4635,0, None 
Enterprise,UK,Velo,14/08/2021,2821,120,125,338520,0, None 
Small Business,Canada,VTT,14/02/2021,2001,250,300,500250,0, None 
Channel Partners,Germany,VTT,22/04/2021,2838,250,12,8514,0, None 
Midmarket,France,VTT,06/06/2021,2178,250,15,21780,0, None 
Midmarket,Germany,VTT,03/06/2021,888,250,15,8880,0, None 
Small Business,France,VTT,19/09/2021,2151,250,300,537750,0, None 
Government,Canada,VTT,27/12/2021,1817,250,20,18170,0, None 
Government,France,Amarilla,15/02/2021,2750,260,350,715000,0, None 
Channel Partners,UK,Amarilla,17/04/2021,1953,260,12,5859,0, None 
Enterprise,Germany,Amarilla,12/04/2021,4219.5,260,125,506340,0, None 
Government,France,Amarilla,06/06/2021,1899,260,20,18990,0, None 
Government,Germany,Amarilla,20/07/2021,1686,260,7,8430,0, None 
Channel Partners,UK,Amarilla,21/08/2021,2141,260,12,6423,0, None 
Government,UK,Amarilla,27/10/2021,1143,260,7,5715,0, None 
Midmarket,UK,Amarilla,07/12/2021,615,260,15,6150,0, None 
Government,France,Paseo,26/01/2021,3945,10,7,19725,276.15, Low 
Midmarket,France,Paseo,22/02/2021,2296,10,15,22960,344.4, Low 
Government,France,Paseo,28/05/2021,1030,10,7,5150,72.1, Low 
Government,France,Velo,16/11/2021,639,120,7,3195,44.73, Low 
Government,Canada,VTT,31/03/2021,1326,250,7,6630,92.82, Low 
Channel Partners,UK,Carretera,05/02/2021,1858,3,12,5574,222.96, Low 
Government,Spain,Carretera,13/03/2021,1210,3,350,314600,4235, Low 
Government,UK,Carretera,20/07/2021,2529,3,7,12645,177.03, Low 
Channel Partners,Canada,Carretera,09/09/2021,1445,3,12,4335,173.4, Low 
Channel Partners,France,Carretera,22/09/2021,2671,3,12,8013,320.52, Low 
Government,Spain,Carretera,28/10/2021,1397,3,350,363220,4889.5, Low 
Government,France,Carretera,27/12/2021,2155,3,350,560300,7542.5, Low 
Midmarket,Spain,Montana,13/03/2021,2214,5,15,22140,332.1, Low 
Small Business,UK,Montana,27/04/2021,2301,5,300,575250,6903, Low 
Government,France,Montana,17/07/2021,1375.5,5,20,13755,275.1, Low 
Government,Canada,Montana,30/08/2021,1830,5,7,9150,128.1, Low 
Midmarket,UK,Paseo,27/02/2021,1514,10,15,15140,227.1, Low 
Government,UK,Paseo,03/04/2021,4492.5,10,7,22462.5,314.48, Low 
Enterprise,UK,Paseo,10/06/2021,727,10,125,87240,908.75, Low 
Enterprise,France,Paseo,26/06/2021,787,10,125,94440,983.75, Low 
Enterprise,Spain,Paseo,25/07/2021,1823,10,125,218760,2278.75, Low 
Midmarket,Germany,Paseo,21/09/2021,747,10,15,7470,112.05, Low 
Small Business,UK,Paseo,14/11/2021,2905,10,300,726250,8715, Low 
Government,France,Paseo,01/12/2021,2155,10,350,560300,7542.5, Low 
Government,France,Velo,10/04/2021,3864,120,20,38640,772.8, Low 
Government,Spain,Velo,07/05/2021,362,120,7,1810,25.34, Low 
Enterprise,Canada,Velo,16/08/2021,923,120,125,110760,1153.75, Low 
Government,Germany,VTT,27/03/2021,263,250,7,1315,18.41, Low 
Government,Canada,VTT,29/04/2021,943.5,250,350,245310,3302.25, Low 
Enterprise,UK,VTT,13/06/2021,727,250,125,87240,908.75, Low 
Enterprise,France,VTT,25/06/2021,787,250,125,94440,983.75, Low 
Small Business,Germany,VTT,09/09/2021,986,250,300,246500,2958, Low 
Government,Spain,VTT,26/10/2021,1397,250,350,363220,4889.5, Low 
Enterprise,France,VTT,12/11/2021,1744,250,125,209280,2180, Low 
Enterprise,Canada,Carretera,25/04/2021,742.5,3,125,89100,1856.25, Low 
Channel Partners,Canada,Carretera,22/10/2021,1295,3,12,3885,310.8, Low 
Government,Canada,Carretera,20/12/2021,2852,3,350,741520,19964, Low 
Channel Partners,UK,Montana,15/06/2021,1142,5,12,3426,274.08, Low 
Government,UK,Montana,31/10/2021,1566,5,20,15660,626.4, Low 
Channel Partners,Spain,Montana,09/11/2021,690,5,12,2070,165.6, Low 
Midmarket,Canada,Paseo,05/02/2021,2363,10,15,23630,708.9, Low 
Small Business,France,Paseo,06/05/2021,918,10,300,229500,5508, Low 
Small Business,Germany,Paseo,22/05/2021,1728,10,300,432000,10368, Low 
Channel Partners,UK,Paseo,19/06/2021,1142,10,12,3426,274.08, Low 
Enterprise,Spain,Paseo,17/06/2021,662,10,125,79440,1655, Low 
Channel Partners,Canada,Paseo,25/10/2021,1295,10,12,3885,310.8, Low 
Small Business,Canada,Paseo,01/12/2021,1916,10,300,479000,11496, Low 
Government,Canada,Paseo,18/12/2021,2852,10,350,741520,19964, Low 
Enterprise,Canada,Paseo,16/12/2021,2729,10,125,327480,6822.5, Low 
Channel Partners,France,Paseo,24/12/2021,1055,10,12,3165,253.2, Low 
Channel Partners,Spain,Paseo,23/12/2021,1084,10,12,3252,260.16, Low 
Government,UK,Velo,07/10/2021,1566,120,20,15660,626.4, Low 
Government,Germany,Velo,06/10/2021,2877,120,350,748020,20139, Low 
Channel Partners,France,Velo,27/12/2021,1055,120,12,3165,253.2, Low 
Channel Partners,Spain,Velo,12/12/2021,1084,120,12,3252,260.16, Low 
Enterprise,Spain,VTT,29/06/2021,662,250,125,79440,1655, Low 
Government,Germany,VTT,21/10/2021,2877,250,350,748020,20139, Low 
Enterprise,Canada,VTT,20/12/2021,2729,250,125,327480,6822.5, Low 
Small Business,Germany,Amarilla,27/03/2021,259,260,300,64750,1554, Low 
Small Business,Spain,Amarilla,04/03/2021,1101,260,300,275250,6606, Low 
Enterprise,Germany,Amarilla,11/05/2021,2276,260,125,273120,5690, Low 
Government,UK,Amarilla,22/11/2021,1236,260,20,12360,494.4, Low 
Government,France,Amarilla,03/11/2021,941,260,20,9410,376.4, Low 
Small Business,Canada,Amarilla,15/12/2021,1916,260,300,479000,11496, Low 
Enterprise,France,Carretera,19/04/2021,4243.5,3,125,509220,15913.13, Low 
Government,Germany,Carretera,17/04/2021,2580,3,20,25800,1548, Low 
Small Business,Germany,Carretera,06/06/2021,689,3,300,172250,6201, Low 
Channel Partners,UK,Carretera,15/09/2021,1947,3,12,5841,700.92, Low 
Government,Germany,Montana,07/02/2021,1958,5,7,9790,411.18, Low 
Channel Partners,France,Montana,18/06/2021,1901,5,12,5703,684.36, Low 
Government,France,Montana,14/09/2021,544,5,7,2720,114.24, Low 
Enterprise,France,Montana,24/12/2021,1287,5,125,154440,4826.25, Low 
Enterprise,Germany,Montana,27/12/2021,1706,5,125,204720,6397.5, Low 
Small Business,France,Paseo,10/01/2021,2434.5,10,300,608625,21910.5, Low 
Enterprise,Canada,Paseo,03/03/2021,1774,10,125,212880,6652.5, Low 
Channel Partners,France,Paseo,16/06/2021,1901,10,12,5703,684.36, Low 
Small Business,Germany,Paseo,21/06/2021,689,10,300,172250,6201, Low 
Enterprise,Germany,Paseo,20/06/2021,1570,10,125,188400,5887.5, Low 
Channel Partners,UK,Paseo,04/07/2021,1369.5,10,12,4108.5,493.02, Low 
Enterprise,Canada,Paseo,15/10/2021,2009,10,125,241080,7533.75, Low 
Enterprise,France,Paseo,17/12/2021,1287,10,125,154440,4826.25, Low 
Enterprise,Germany,Paseo,08/12/2021,1706,10,125,204720,6397.5, Low 
Enterprise,Canada,Velo,04/10/2021,2009,120,125,241080,7533.75, Low 
Small Business,UK,VTT,17/02/2021,2844,250,300,711000,25596, Low 
Channel Partners,Spain,VTT,10/04/2021,1916,250,12,5748,689.76, Low 
Enterprise,Germany,VTT,13/06/2021,1570,250,125,188400,5887.5, Low 
Small Business,Canada,VTT,30/08/2021,1874,250,300,468500,16866, Low 
Government,Spain,VTT,21/08/2021,1642,250,350,426920,17241, Low 
Government,Canada,Carretera,03/05/2021,831,3,20,8310,498.6, Low 
Government,Canada,Velo,25/04/2021,3850.5,120,20,38505,2310.3, Low 
Channel Partners,Germany,VTT,30/01/2021,2479,250,12,7437,892.44, Low 
Midmarket,Spain,Montana,02/10/2021,2031,5,15,20310,1218.6, Low 
Midmarket,Spain,Paseo,28/10/2021,2031,10,15,20310,1218.6, Low 
Small Business,Germany,Carretera,06/10/2021,2021,3,300,505250,24252, Low 
Government,UK,Carretera,02/12/2021,274,3,350,71240,3836, Low 
Midmarket,Canada,Montana,03/03/2021,1967,5,15,19670,1180.2, Low 
Small Business,Germany,Montana,25/08/2021,1859,5,300,464750,22308, Low 
Small Business,Germany,Montana,09/10/2021,2021,5,300,505250,24252, Low 
Enterprise,Spain,Montana,30/12/2021,1138,5,125,136560,5690, Low 
Government,Canada,Paseo,01/01/2021,4251,10,7,21255,1190.28, Low 
Enterprise,Germany,Paseo,01/03/2021,795,10,125,95400,3975, Low 
Small Business,Germany,Paseo,18/04/2021,1414.5,10,300,353625,16974, Low 
Small Business,UK,Paseo,18/05/2021,2918,10,300,729500,35016, Low 
Government,UK,Paseo,07/07/2021,3450,10,350,897000,48300, Low 
Enterprise,France,Paseo,20/07/2021,2988,10,125,358560,14940, Low 
Midmarket,Canada,Paseo,29/09/2021,218,10,15,2180,130.8, Low 
Government,Canada,Paseo,20/09/2021,2074,10,20,20740,1659.2, Low 
Government,UK,Paseo,12/09/2021,1056,10,20,10560,844.8, Low 
Government,UK,Paseo,10/12/2021,274,10,350,71240,3836, Low 
Enterprise,Spain,Paseo,08/12/2021,1138,10,125,136560,5690, Low 
Channel Partners,UK,Velo,16/03/2021,1465,120,12,4395,703.2, Low 
Government,France,Velo,17/10/2021,2177,120,350,566020,30478, Low 
Channel Partners,France,VTT,04/05/2021,866,250,12,2598,415.68, Low 
Government,France,VTT,13/10/2021,2177,250,350,566020,30478, Low 
Government,Spain,Amarilla,22/02/2021,1865,260,350,484900,26110, Low 
Enterprise,Spain,Amarilla,06/04/2021,1074,260,125,128880,5370, Low 
Government,Germany,Amarilla,13/09/2021,1907,260,350,495820,26698, Low 
Government,Germany,Paseo,24/01/2021,1372,10,7,6860,480.2, Medium 
Government,Spain,Paseo,10/10/2021,2689,10,7,13445,941.15, Medium 
Channel Partners,Canada,Paseo,07/12/2021,2431,10,12,7293,1458.6, Medium 
Channel Partners,Canada,Velo,03/12/2021,2431,120,12,7293,1458.6, Medium 
Government,Spain,VTT,21/10/2021,2689,250,7,13445,941.15, Medium 
Government,Spain,Amarilla,29/07/2021,1683,260,7,8415,589.05, Medium 
Channel Partners,Spain,Amarilla,22/08/2021,1123,260,12,3369,673.8, Medium 
Channel Partners,France,Carretera,22/02/2021,1865,3,12,5595,1119, Medium 
Channel Partners,Germany,Carretera,11/02/2021,1116,3,12,3348,669.6, Medium 
Government,France,Carretera,31/05/2021,1563,3,20,15630,1563, Medium 
Small Business,UK,Carretera,04/06/2021,991,3,300,247750,14865, Medium 
Midmarket,Spain,Carretera,06/11/2021,2791,3,15,27910,2093.25, Medium 
Government,UK,Carretera,20/12/2021,570,3,7,2850,199.5, Medium 
Government,France,Carretera,31/12/2021,2487,3,7,12435,870.45, Medium 
Government,France,Montana,22/01/2021,1384.5,5,350,359970,24228.75, Medium 
Enterprise,UK,Montana,07/07/2021,3627,5,125,435240,22668.75, Medium 
Channel Partners,Germany,Montana,11/11/2021,2342,5,12,7026,1405.2, Medium 
Government,France,Paseo,14/02/2021,1303,10,20,13030,1303, Medium 
Enterprise,UK,Paseo,29/03/2021,2992,10,125,359040,18700, Medium 
Enterprise,France,Paseo,12/03/2021,2385,10,125,286200,14906.25, Medium 
Small Business,Spain,Paseo,09/04/2021,1607,10,300,401750,24105, Medium 
Government,UK,Paseo,29/05/2021,2327,10,7,11635,814.45, Medium 
Small Business,UK,Paseo,30/06/2021,991,10,300,247750,14865, Medium 
Government,UK,Paseo,13/06/2021,602,10,350,156520,10535, Medium 
Midmarket,France,Paseo,30/09/2021,2620,10,15,26200,1965, Medium 
Enterprise,UK,Paseo,19/10/2021,861,10,125,103320,5381.25, Medium 
Government,UK,Paseo,31/12/2021,2663,10,20,26630,2663, Medium 
Midmarket,UK,Velo,20/01/2021,555,120,15,5550,416.25, Medium 
Midmarket,Spain,Velo,15/01/2021,2861,120,15,28610,2145.75, Medium 
Enterprise,Germany,Velo,14/02/2021,807,120,125,96840,5043.75, Medium 
Government,UK,Velo,19/06/2021,602,120,350,156520,10535, Medium 
Government,UK,Velo,12/08/2021,2832,120,20,28320,2832, Medium 
Government,France,Velo,03/08/2021,1579,120,20,15790,1579, Medium 
Enterprise,UK,Velo,17/10/2021,861,120,125,103320,5381.25, Medium 
Small Business,Germany,Velo,21/12/2021,1250,120,300,312500,18750, Medium 
Government,UK,VTT,07/12/2021,2663,250,20,26630,2663, Medium 
