Date,DateKey,MonthKey,Month,Quarter,Year,Year-Quarter,Year-Month,Year-MonthKey,WeekDayKey,WeekDay,Day Of Month
26-May-2018,20180526,5,May,Q2,2018,2018-Q2,2018-May,2018-05,7,Sat,26
27-May-2018,20180527,5,May,Q2,2018,2018-Q2,2018-May,2018-05,1,Sun,27
28-May-2018,20180528,5,May,Q2,2018,2018-Q2,2018-May,2018-05,2,Mon,28
29-May-2018,20180529,5,May,Q2,2018,2018-Q2,2018-May,2018-05,3,Tue,29
30-May-2018,20180530,5,May,Q2,2018,2018-Q2,2018-May,2018-05,4,Wed,30
31-May-2018,20180531,5,May,Q2,2018,2018-Q2,2018-May,2018-05,5,Thu,31
01-Jun-2018,20180601,6,Jun,Q2,2018,2018-Q2,2018-Jun,2018-06,6,Fri,1
02-Jun-2018,20180602,6,Jun,Q2,2018,2018-Q2,2018-Jun,2018-06,7,Sat,2
03-Jun-2018,20180603,6,Jun,Q2,2018,2018-Q2,2018-Jun,2018-06,1,Sun,3
04-Jun-2018,20180604,6,Jun,Q2,2018,2018-Q2,2018-Jun,2018-06,2,Mon,4
05-Jun-2018,20180605,6,Jun,Q2,2018,2018-Q2,2018-Jun,2018-06,3,Tue,5
06-Jun-2018,20180606,6,Jun,Q2,2018,2018-Q2,2018-Jun,2018-06,4,Wed,6
07-Jun-2018,20180607,6,Jun,Q2,2018,2018-Q2,2018-Jun,2018-06,5,Thu,7
08-Jun-2018,20180608,6,Jun,Q2,2018,2018-Q2,2018-Jun,2018-06,6,Fri,8
09-Jun-2018,20180609,6,Jun,Q2,2018,2018-Q2,2018-Jun,2018-06,7,Sat,9
10-Jun-2018,20180610,6,Jun,Q2,2018,2018-Q2,2018-Jun,2018-06,1,Sun,10
11-Jun-2018,20180611,6,Jun,Q2,2018,2018-Q2,2018-Jun,2018-06,2,Mon,11
12-Jun-2018,20180612,6,Jun,Q2,2018,2018-Q2,2018-Jun,2018-06,3,Tue,12
13-Jun-2018,20180613,6,Jun,Q2,2018,2018-Q2,2018-Jun,2018-06,4,Wed,13
14-Jun-2018,20180614,6,Jun,Q2,2018,2018-Q2,2018-Jun,2018-06,5,Thu,14
15-Jun-2018,20180615,6,Jun,Q2,2018,2018-Q2,2018-Jun,2018-06,6,Fri,15
16-Jun-2018,20180616,6,Jun,Q2,2018,2018-Q2,2018-Jun,2018-06,7,Sat,16
17-Jun-2018,20180617,6,Jun,Q2,2018,2018-Q2,2018-Jun,2018-06,1,Sun,17
18-Jun-2018,20180618,6,Jun,Q2,2018,2018-Q2,2018-Jun,2018-06,2,Mon,18
19-Jun-2018,20180619,6,Jun,Q2,2018,2018-Q2,2018-Jun,2018-06,3,Tue,19
20-Jun-2018,20180620,6,Jun,Q2,2018,2018-Q2,2018-Jun,2018-06,4,Wed,20
21-Jun-2018,20180621,6,Jun,Q2,2018,2018-Q2,2018-Jun,2018-06,5,Thu,21
22-Jun-2018,20180622,6,Jun,Q2,2018,2018-Q2,2018-Jun,2018-06,6,Fri,22
23-Jun-2018,20180623,6,Jun,Q2,2018,2018-Q2,2018-Jun,2018-06,7,Sat,23
24-Jun-2018,20180624,6,Jun,Q2,2018,2018-Q2,2018-Jun,2018-06,1,Sun,24
25-Jun-2018,20180625,6,Jun,Q2,2018,2018-Q2,2018-Jun,2018-06,2,Mon,25
26-Jun-2018,20180626,6,Jun,Q2,2018,2018-Q2,2018-Jun,2018-06,3,Tue,26
27-Jun-2018,20180627,6,Jun,Q2,2018,2018-Q2,2018-Jun,2018-06,4,Wed,27
28-Jun-2018,20180628,6,Jun,Q2,2018,2018-Q2,2018-Jun,2018-06,5,Thu,28
29-Jun-2018,20180629,6,Jun,Q2,2018,2018-Q2,2018-Jun,2018-06,6,Fri,29
30-Jun-2018,20180630,6,Jun,Q2,2018,2018-Q2,2018-Jun,2018-06,7,Sat,30
01-Jul-2018,20180701,7,Jul,Q3,2018,2018-Q3,2018-Jul,2018-07,1,Sun,1
02-Jul-2018,20180702,7,Jul,Q3,2018,2018-Q3,2018-Jul,2018-07,2,Mon,2
03-Jul-2018,20180703,7,Jul,Q3,2018,2018-Q3,2018-Jul,2018-07,3,Tue,3
04-Jul-2018,20180704,7,Jul,Q3,2018,2018-Q3,2018-Jul,2018-07,4,Wed,4
05-Jul-2018,20180705,7,Jul,Q3,2018,2018-Q3,2018-Jul,2018-07,5,Thu,5
06-Jul-2018,20180706,7,Jul,Q3,2018,2018-Q3,2018-Jul,2018-07,6,Fri,6
07-Jul-2018,20180707,7,Jul,Q3,2018,2018-Q3,2018-Jul,2018-07,7,Sat,7
08-Jul-2018,20180708,7,Jul,Q3,2018,2018-Q3,2018-Jul,2018-07,1,Sun,8
09-Jul-2018,20180709,7,Jul,Q3,2018,2018-Q3,2018-Jul,2018-07,2,Mon,9
10-Jul-2018,20180710,7,Jul,Q3,2018,2018-Q3,2018-Jul,2018-07,3,Tue,10
11-Jul-2018,20180711,7,Jul,Q3,2018,2018-Q3,2018-Jul,2018-07,4,Wed,11
12-Jul-2018,20180712,7,Jul,Q3,2018,2018-Q3,2018-Jul,2018-07,5,Thu,12
13-Jul-2018,20180713,7,Jul,Q3,2018,2018-Q3,2018-Jul,2018-07,6,Fri,13
14-Jul-2018,20180714,7,Jul,Q3,2018,2018-Q3,2018-Jul,2018-07,7,Sat,14
15-Jul-2018,20180715,7,Jul,Q3,2018,2018-Q3,2018-Jul,2018-07,1,Sun,15
16-Jul-2018,20180716,7,Jul,Q3,2018,2018-Q3,2018-Jul,2018-07,2,Mon,16
17-Jul-2018,20180717,7,Jul,Q3,2018,2018-Q3,2018-Jul,2018-07,3,Tue,17
18-Jul-2018,20180718,7,Jul,Q3,2018,2018-Q3,2018-Jul,2018-07,4,Wed,18
19-Jul-2018,20180719,7,Jul,Q3,2018,2018-Q3,2018-Jul,2018-07,5,Thu,19
20-Jul-2018,20180720,7,Jul,Q3,2018,2018-Q3,2018-Jul,2018-07,6,Fri,20
21-Jul-2018,20180721,7,Jul,Q3,2018,2018-Q3,2018-Jul,2018-07,7,Sat,21
22-Jul-2018,20180722,7,Jul,Q3,2018,2018-Q3,2018-Jul,2018-07,1,Sun,22
23-Jul-2018,20180723,7,Jul,Q3,2018,2018-Q3,2018-Jul,2018-07,2,Mon,23
24-Jul-2018,20180724,7,Jul,Q3,2018,2018-Q3,2018-Jul,2018-07,3,Tue,24
25-Jul-2018,20180725,7,Jul,Q3,2018,2018-Q3,2018-Jul,2018-07,4,Wed,25
26-Jul-2018,20180726,7,Jul,Q3,2018,2018-Q3,2018-Jul,2018-07,5,Thu,26
27-Jul-2018,20180727,7,Jul,Q3,2018,2018-Q3,2018-Jul,2018-07,6,Fri,27
28-Jul-2018,20180728,7,Jul,Q3,2018,2018-Q3,2018-Jul,2018-07,7,Sat,28
29-Jul-2018,20180729,7,Jul,Q3,2018,2018-Q3,2018-Jul,2018-07,1,Sun,29
30-Jul-2018,20180730,7,Jul,Q3,2018,2018-Q3,2018-Jul,2018-07,2,Mon,30
31-Jul-2018,20180731,7,Jul,Q3,2018,2018-Q3,2018-Jul,2018-07,3,Tue,31
01-Aug-2018,20180801,8,Aug,Q3,2018,2018-Q3,2018-Aug,2018-08,4,Wed,1
02-Aug-2018,20180802,8,Aug,Q3,2018,2018-Q3,2018-Aug,2018-08,5,Thu,2
03-Aug-2018,20180803,8,Aug,Q3,2018,2018-Q3,2018-Aug,2018-08,6,Fri,3
04-Aug-2018,20180804,8,Aug,Q3,2018,2018-Q3,2018-Aug,2018-08,7,Sat,4
05-Aug-2018,20180805,8,Aug,Q3,2018,2018-Q3,2018-Aug,2018-08,1,Sun,5
06-Aug-2018,20180806,8,Aug,Q3,2018,2018-Q3,2018-Aug,2018-08,2,Mon,6
07-Aug-2018,20180807,8,Aug,Q3,2018,2018-Q3,2018-Aug,2018-08,3,Tue,7
08-Aug-2018,20180808,8,Aug,Q3,2018,2018-Q3,2018-Aug,2018-08,4,Wed,8
09-Aug-2018,20180809,8,Aug,Q3,2018,2018-Q3,2018-Aug,2018-08,5,Thu,9
10-Aug-2018,20180810,8,Aug,Q3,2018,2018-Q3,2018-Aug,2018-08,6,Fri,10
11-Aug-2018,20180811,8,Aug,Q3,2018,2018-Q3,2018-Aug,2018-08,7,Sat,11
12-Aug-2018,20180812,8,Aug,Q3,2018,2018-Q3,2018-Aug,2018-08,1,Sun,12
13-Aug-2018,20180813,8,Aug,Q3,2018,2018-Q3,2018-Aug,2018-08,2,Mon,13
14-Aug-2018,20180814,8,Aug,Q3,2018,2018-Q3,2018-Aug,2018-08,3,Tue,14
15-Aug-2018,20180815,8,Aug,Q3,2018,2018-Q3,2018-Aug,2018-08,4,Wed,15
16-Aug-2018,20180816,8,Aug,Q3,2018,2018-Q3,2018-Aug,2018-08,5,Thu,16
17-Aug-2018,20180817,8,Aug,Q3,2018,2018-Q3,2018-Aug,2018-08,6,Fri,17
18-Aug-2018,20180818,8,Aug,Q3,2018,2018-Q3,2018-Aug,2018-08,7,Sat,18
19-Aug-2018,20180819,8,Aug,Q3,2018,2018-Q3,2018-Aug,2018-08,1,Sun,19
20-Aug-2018,20180820,8,Aug,Q3,2018,2018-Q3,2018-Aug,2018-08,2,Mon,20
21-Aug-2018,20180821,8,Aug,Q3,2018,2018-Q3,2018-Aug,2018-08,3,Tue,21
22-Aug-2018,20180822,8,Aug,Q3,2018,2018-Q3,2018-Aug,2018-08,4,Wed,22
23-Aug-2018,20180823,8,Aug,Q3,2018,2018-Q3,2018-Aug,2018-08,5,Thu,23
24-Aug-2018,20180824,8,Aug,Q3,2018,2018-Q3,2018-Aug,2018-08,6,Fri,24
25-Aug-2018,20180825,8,Aug,Q3,2018,2018-Q3,2018-Aug,2018-08,7,Sat,25
26-Aug-2018,20180826,8,Aug,Q3,2018,2018-Q3,2018-Aug,2018-08,1,Sun,26
27-Aug-2018,20180827,8,Aug,Q3,2018,2018-Q3,2018-Aug,2018-08,2,Mon,27
28-Aug-2018,20180828,8,Aug,Q3,2018,2018-Q3,2018-Aug,2018-08,3,Tue,28
29-Aug-2018,20180829,8,Aug,Q3,2018,2018-Q3,2018-Aug,2018-08,4,Wed,29
30-Aug-2018,20180830,8,Aug,Q3,2018,2018-Q3,2018-Aug,2018-08,5,Thu,30
31-Aug-2018,20180831,8,Aug,Q3,2018,2018-Q3,2018-Aug,2018-08,6,Fri,31
01-Sep-2018,20180901,9,Sep,Q3,2018,2018-Q3,2018-Sep,2018-09,7,Sat,1
02-Sep-2018,20180902,9,Sep,Q3,2018,2018-Q3,2018-Sep,2018-09,1,Sun,2
03-Sep-2018,20180903,9,Sep,Q3,2018,2018-Q3,2018-Sep,2018-09,2,Mon,3
04-Sep-2018,20180904,9,Sep,Q3,2018,2018-Q3,2018-Sep,2018-09,3,Tue,4
05-Sep-2018,20180905,9,Sep,Q3,2018,2018-Q3,2018-Sep,2018-09,4,Wed,5
06-Sep-2018,20180906,9,Sep,Q3,2018,2018-Q3,2018-Sep,2018-09,5,Thu,6
07-Sep-2018,20180907,9,Sep,Q3,2018,2018-Q3,2018-Sep,2018-09,6,Fri,7
08-Sep-2018,20180908,9,Sep,Q3,2018,2018-Q3,2018-Sep,2018-09,7,Sat,8
09-Sep-2018,20180909,9,Sep,Q3,2018,2018-Q3,2018-Sep,2018-09,1,Sun,9
10-Sep-2018,20180910,9,Sep,Q3,2018,2018-Q3,2018-Sep,2018-09,2,Mon,10
11-Sep-2018,20180911,9,Sep,Q3,2018,2018-Q3,2018-Sep,2018-09,3,Tue,11
12-Sep-2018,20180912,9,Sep,Q3,2018,2018-Q3,2018-Sep,2018-09,4,Wed,12
13-Sep-2018,20180913,9,Sep,Q3,2018,2018-Q3,2018-Sep,2018-09,5,Thu,13
14-Sep-2018,20180914,9,Sep,Q3,2018,2018-Q3,2018-Sep,2018-09,6,Fri,14
15-Sep-2018,20180915,9,Sep,Q3,2018,2018-Q3,2018-Sep,2018-09,7,Sat,15
16-Sep-2018,20180916,9,Sep,Q3,2018,2018-Q3,2018-Sep,2018-09,1,Sun,16
17-Sep-2018,20180917,9,Sep,Q3,2018,2018-Q3,2018-Sep,2018-09,2,Mon,17
18-Sep-2018,20180918,9,Sep,Q3,2018,2018-Q3,2018-Sep,2018-09,3,Tue,18
19-Sep-2018,20180919,9,Sep,Q3,2018,2018-Q3,2018-Sep,2018-09,4,Wed,19
20-Sep-2018,20180920,9,Sep,Q3,2018,2018-Q3,2018-Sep,2018-09,5,Thu,20
21-Sep-2018,20180921,9,Sep,Q3,2018,2018-Q3,2018-Sep,2018-09,6,Fri,21
22-Sep-2018,20180922,9,Sep,Q3,2018,2018-Q3,2018-Sep,2018-09,7,Sat,22
