Date,Date Key,Month Key,Month,Quarter,Year,Year Quarter,Year Month,Year Month Key,Day Of Week Key,Day Of Week,Day Of Month
28-Feb-2019,20190228,2,Feb,Q1,2019,2019 Q1,2019 Feb,201902,5,Thu,28
01-Mar-2019,20190301,3,Mar,Q1,2019,2019 Q1,2019 Mar,201903,6,Fri,1
02-Mar-2019,20190302,3,Mar,Q1,2019,2019 Q1,2019 Mar,201903,7,Sat,2
03-Mar-2019,20190303,3,Mar,Q1,2019,2019 Q1,2019 Mar,201903,1,Sun,3
04-Mar-2019,20190304,3,Mar,Q1,2019,2019 Q1,2019 Mar,201903,2,Mon,4
05-Mar-2019,20190305,3,Mar,Q1,2019,2019 Q1,2019 Mar,201903,3,Tue,5
06-Mar-2019,20190306,3,Mar,Q1,2019,2019 Q1,2019 Mar,201903,4,Wed,6
07-Mar-2019,20190307,3,Mar,Q1,2019,2019 Q1,2019 Mar,201903,5,Thu,7
08-Mar-2019,20190308,3,Mar,Q1,2019,2019 Q1,2019 Mar,201903,6,Fri,8
09-Mar-2019,20190309,3,Mar,Q1,2019,2019 Q1,2019 Mar,201903,7,Sat,9
10-Mar-2019,20190310,3,Mar,Q1,2019,2019 Q1,2019 Mar,201903,1,Sun,10
11-Mar-2019,20190311,3,Mar,Q1,2019,2019 Q1,2019 Mar,201903,2,Mon,11
12-Mar-2019,20190312,3,Mar,Q1,2019,2019 Q1,2019 Mar,201903,3,Tue,12
13-Mar-2019,20190313,3,Mar,Q1,2019,2019 Q1,2019 Mar,201903,4,Wed,13
14-Mar-2019,20190314,3,Mar,Q1,2019,2019 Q1,2019 Mar,201903,5,Thu,14
15-Mar-2019,20190315,3,Mar,Q1,2019,2019 Q1,2019 Mar,201903,6,Fri,15
16-Mar-2019,20190316,3,Mar,Q1,2019,2019 Q1,2019 Mar,201903,7,Sat,16
17-Mar-2019,20190317,3,Mar,Q1,2019,2019 Q1,2019 Mar,201903,1,Sun,17
18-Mar-2019,20190318,3,Mar,Q1,2019,2019 Q1,2019 Mar,201903,2,Mon,18
19-Mar-2019,20190319,3,Mar,Q1,2019,2019 Q1,2019 Mar,201903,3,Tue,19
20-Mar-2019,20190320,3,Mar,Q1,2019,2019 Q1,2019 Mar,201903,4,Wed,20
21-Mar-2019,20190321,3,Mar,Q1,2019,2019 Q1,2019 Mar,201903,5,Thu,21
22-Mar-2019,20190322,3,Mar,Q1,2019,2019 Q1,2019 Mar,201903,6,Fri,22
23-Mar-2019,20190323,3,Mar,Q1,2019,2019 Q1,2019 Mar,201903,7,Sat,23
24-Mar-2019,20190324,3,Mar,Q1,2019,2019 Q1,2019 Mar,201903,1,Sun,24
25-Mar-2019,20190325,3,Mar,Q1,2019,2019 Q1,2019 Mar,201903,2,Mon,25
26-Mar-2019,20190326,3,Mar,Q1,2019,2019 Q1,2019 Mar,201903,3,Tue,26
27-Mar-2019,20190327,3,Mar,Q1,2019,2019 Q1,2019 Mar,201903,4,Wed,27
28-Mar-2019,20190328,3,Mar,Q1,2019,2019 Q1,2019 Mar,201903,5,Thu,28
29-Mar-2019,20190329,3,Mar,Q1,2019,2019 Q1,2019 Mar,201903,6,Fri,29
30-Mar-2019,20190330,3,Mar,Q1,2019,2019 Q1,2019 Mar,201903,7,Sat,30
31-Mar-2019,20190331,3,Mar,Q1,2019,2019 Q1,2019 Mar,201903,1,Sun,31
01-Apr-2019,20190401,4,Apr,Q2,2019,2019 Q2,2019 Apr,201904,2,Mon,1
02-Apr-2019,20190402,4,Apr,Q2,2019,2019 Q2,2019 Apr,201904,3,Tue,2
03-Apr-2019,20190403,4,Apr,Q2,2019,2019 Q2,2019 Apr,201904,4,Wed,3
04-Apr-2019,20190404,4,Apr,Q2,2019,2019 Q2,2019 Apr,201904,5,Thu,4
05-Apr-2019,20190405,4,Apr,Q2,2019,2019 Q2,2019 Apr,201904,6,Fri,5
06-Apr-2019,20190406,4,Apr,Q2,2019,2019 Q2,2019 Apr,201904,7,Sat,6
07-Apr-2019,20190407,4,Apr,Q2,2019,2019 Q2,2019 Apr,201904,1,Sun,7
08-Apr-2019,20190408,4,Apr,Q2,2019,2019 Q2,2019 Apr,201904,2,Mon,8
09-Apr-2019,20190409,4,Apr,Q2,2019,2019 Q2,2019 Apr,201904,3,Tue,9
10-Apr-2019,20190410,4,Apr,Q2,2019,2019 Q2,2019 Apr,201904,4,Wed,10
11-Apr-2019,20190411,4,Apr,Q2,2019,2019 Q2,2019 Apr,201904,5,Thu,11
12-Apr-2019,20190412,4,Apr,Q2,2019,2019 Q2,2019 Apr,201904,6,Fri,12
13-Apr-2019,20190413,4,Apr,Q2,2019,2019 Q2,2019 Apr,201904,7,Sat,13
14-Apr-2019,20190414,4,Apr,Q2,2019,2019 Q2,2019 Apr,201904,1,Sun,14
15-Apr-2019,20190415,4,Apr,Q2,2019,2019 Q2,2019 Apr,201904,2,Mon,15
16-Apr-2019,20190416,4,Apr,Q2,2019,2019 Q2,2019 Apr,201904,3,Tue,16
17-Apr-2019,20190417,4,Apr,Q2,2019,2019 Q2,2019 Apr,201904,4,Wed,17
18-Apr-2019,20190418,4,Apr,Q2,2019,2019 Q2,2019 Apr,201904,5,Thu,18
19-Apr-2019,20190419,4,Apr,Q2,2019,2019 Q2,2019 Apr,201904,6,Fri,19
20-Apr-2019,20190420,4,Apr,Q2,2019,2019 Q2,2019 Apr,201904,7,Sat,20
21-Apr-2019,20190421,4,Apr,Q2,2019,2019 Q2,2019 Apr,201904,1,Sun,21
22-Apr-2019,20190422,4,Apr,Q2,2019,2019 Q2,2019 Apr,201904,2,Mon,22
23-Apr-2019,20190423,4,Apr,Q2,2019,2019 Q2,2019 Apr,201904,3,Tue,23
24-Apr-2019,20190424,4,Apr,Q2,2019,2019 Q2,2019 Apr,201904,4,Wed,24
25-Apr-2019,20190425,4,Apr,Q2,2019,2019 Q2,2019 Apr,201904,5,Thu,25
26-Apr-2019,20190426,4,Apr,Q2,2019,2019 Q2,2019 Apr,201904,6,Fri,26
27-Apr-2019,20190427,4,Apr,Q2,2019,2019 Q2,2019 Apr,201904,7,Sat,27
28-Apr-2019,20190428,4,Apr,Q2,2019,2019 Q2,2019 Apr,201904,1,Sun,28
29-Apr-2019,20190429,4,Apr,Q2,2019,2019 Q2,2019 Apr,201904,2,Mon,29
30-Apr-2019,20190430,4,Apr,Q2,2019,2019 Q2,2019 Apr,201904,3,Tue,30
01-May-2019,20190501,5,May,Q2,2019,2019 Q2,2019 May,201905,4,Wed,1
02-May-2019,20190502,5,May,Q2,2019,2019 Q2,2019 May,201905,5,Thu,2
03-May-2019,20190503,5,May,Q2,2019,2019 Q2,2019 May,201905,6,Fri,3
04-May-2019,20190504,5,May,Q2,2019,2019 Q2,2019 May,201905,7,Sat,4
05-May-2019,20190505,5,May,Q2,2019,2019 Q2,2019 May,201905,1,Sun,5
06-May-2019,20190506,5,May,Q2,2019,2019 Q2,2019 May,201905,2,Mon,6
07-May-2019,20190507,5,May,Q2,2019,2019 Q2,2019 May,201905,3,Tue,7
08-May-2019,20190508,5,May,Q2,2019,2019 Q2,2019 May,201905,4,Wed,8
09-May-2019,20190509,5,May,Q2,2019,2019 Q2,2019 May,201905,5,Thu,9
10-May-2019,20190510,5,May,Q2,2019,2019 Q2,2019 May,201905,6,Fri,10
11-May-2019,20190511,5,May,Q2,2019,2019 Q2,2019 May,201905,7,Sat,11
12-May-2019,20190512,5,May,Q2,2019,2019 Q2,2019 May,201905,1,Sun,12
13-May-2019,20190513,5,May,Q2,2019,2019 Q2,2019 May,201905,2,Mon,13
14-May-2019,20190514,5,May,Q2,2019,2019 Q2,2019 May,201905,3,Tue,14
15-May-2019,20190515,5,May,Q2,2019,2019 Q2,2019 May,201905,4,Wed,15
16-May-2019,20190516,5,May,Q2,2019,2019 Q2,2019 May,201905,5,Thu,16
17-May-2019,20190517,5,May,Q2,2019,2019 Q2,2019 May,201905,6,Fri,17
18-May-2019,20190518,5,May,Q2,2019,2019 Q2,2019 May,201905,7,Sat,18
19-May-2019,20190519,5,May,Q2,2019,2019 Q2,2019 May,201905,1,Sun,19
20-May-2019,20190520,5,May,Q2,2019,2019 Q2,2019 May,201905,2,Mon,20
21-May-2019,20190521,5,May,Q2,2019,2019 Q2,2019 May,201905,3,Tue,21
22-May-2019,20190522,5,May,Q2,2019,2019 Q2,2019 May,201905,4,Wed,22
23-May-2019,20190523,5,May,Q2,2019,2019 Q2,2019 May,201905,5,Thu,23
24-May-2019,20190524,5,May,Q2,2019,2019 Q2,2019 May,201905,6,Fri,24
25-May-2019,20190525,5,May,Q2,2019,2019 Q2,2019 May,201905,7,Sat,25
26-May-2019,20190526,5,May,Q2,2019,2019 Q2,2019 May,201905,1,Sun,26
27-May-2019,20190527,5,May,Q2,2019,2019 Q2,2019 May,201905,2,Mon,27
28-May-2019,20190528,5,May,Q2,2019,2019 Q2,2019 May,201905,3,Tue,28
29-May-2019,20190529,5,May,Q2,2019,2019 Q2,2019 May,201905,4,Wed,29
30-May-2019,20190530,5,May,Q2,2019,2019 Q2,2019 May,201905,5,Thu,30
31-May-2019,20190531,5,May,Q2,2019,2019 Q2,2019 May,201905,6,Fri,31
01-Jun-2019,20190601,6,Jun,Q2,2019,2019 Q2,2019 Jun,201906,7,Sat,1
02-Jun-2019,20190602,6,Jun,Q2,2019,2019 Q2,2019 Jun,201906,1,Sun,2
03-Jun-2019,20190603,6,Jun,Q2,2019,2019 Q2,2019 Jun,201906,2,Mon,3
04-Jun-2019,20190604,6,Jun,Q2,2019,2019 Q2,2019 Jun,201906,3,Tue,4
05-Jun-2019,20190605,6,Jun,Q2,2019,2019 Q2,2019 Jun,201906,4,Wed,5
06-Jun-2019,20190606,6,Jun,Q2,2019,2019 Q2,2019 Jun,201906,5,Thu,6
07-Jun-2019,20190607,6,Jun,Q2,2019,2019 Q2,2019 Jun,201906,6,Fri,7
08-Jun-2019,20190608,6,Jun,Q2,2019,2019 Q2,2019 Jun,201906,7,Sat,8
09-Jun-2019,20190609,6,Jun,Q2,2019,2019 Q2,2019 Jun,201906,1,Sun,9
10-Jun-2019,20190610,6,Jun,Q2,2019,2019 Q2,2019 Jun,201906,2,Mon,10
11-Jun-2019,20190611,6,Jun,Q2,2019,2019 Q2,2019 Jun,201906,3,Tue,11
12-Jun-2019,20190612,6,Jun,Q2,2019,2019 Q2,2019 Jun,201906,4,Wed,12
13-Jun-2019,20190613,6,Jun,Q2,2019,2019 Q2,2019 Jun,201906,5,Thu,13
14-Jun-2019,20190614,6,Jun,Q2,2019,2019 Q2,2019 Jun,201906,6,Fri,14
15-Jun-2019,20190615,6,Jun,Q2,2019,2019 Q2,2019 Jun,201906,7,Sat,15
16-Jun-2019,20190616,6,Jun,Q2,2019,2019 Q2,2019 Jun,201906,1,Sun,16
17-Jun-2019,20190617,6,Jun,Q2,2019,2019 Q2,2019 Jun,201906,2,Mon,17
18-Jun-2019,20190618,6,Jun,Q2,2019,2019 Q2,2019 Jun,201906,3,Tue,18
19-Jun-2019,20190619,6,Jun,Q2,2019,2019 Q2,2019 Jun,201906,4,Wed,19
20-Jun-2019,20190620,6,Jun,Q2,2019,2019 Q2,2019 Jun,201906,5,Thu,20
21-Jun-2019,20190621,6,Jun,Q2,2019,2019 Q2,2019 Jun,201906,6,Fri,21
22-Jun-2019,20190622,6,Jun,Q2,2019,2019 Q2,2019 Jun,201906,7,Sat,22
23-Jun-2019,20190623,6,Jun,Q2,2019,2019 Q2,2019 Jun,201906,1,Sun,23
24-Jun-2019,20190624,6,Jun,Q2,2019,2019 Q2,2019 Jun,201906,2,Mon,24
25-Jun-2019,20190625,6,Jun,Q2,2019,2019 Q2,2019 Jun,201906,3,Tue,25
26-Jun-2019,20190626,6,Jun,Q2,2019,2019 Q2,2019 Jun,201906,4,Wed,26
27-Jun-2019,20190627,6,Jun,Q2,2019,2019 Q2,2019 Jun,201906,5,Thu,27
28-Jun-2019,20190628,6,Jun,Q2,2019,2019 Q2,2019 Jun,201906,6,Fri,28
29-Jun-2019,20190629,6,Jun,Q2,2019,2019 Q2,2019 Jun,201906,7,Sat,29
30-Jun-2019,20190630,6,Jun,Q2,2019,2019 Q2,2019 Jun,201906,1,Sun,30
01-Jul-2019,20190701,7,Jul,Q3,2019,2019 Q3,2019 Jul,201907,2,Mon,1
02-Jul-2019,20190702,7,Jul,Q3,2019,2019 Q3,2019 Jul,201907,3,Tue,2
03-Jul-2019,20190703,7,Jul,Q3,2019,2019 Q3,2019 Jul,201907,4,Wed,3
04-Jul-2019,20190704,7,Jul,Q3,2019,2019 Q3,2019 Jul,201907,5,Thu,4
05-Jul-2019,20190705,7,Jul,Q3,2019,2019 Q3,2019 Jul,201907,6,Fri,5
06-Jul-2019,20190706,7,Jul,Q3,2019,2019 Q3,2019 Jul,201907,7,Sat,6
07-Jul-2019,20190707,7,Jul,Q3,2019,2019 Q3,2019 Jul,201907,1,Sun,7
08-Jul-2019,20190708,7,Jul,Q3,2019,2019 Q3,2019 Jul,201907,2,Mon,8
09-Jul-2019,20190709,7,Jul,Q3,2019,2019 Q3,2019 Jul,201907,3,Tue,9
10-Jul-2019,20190710,7,Jul,Q3,2019,2019 Q3,2019 Jul,201907,4,Wed,10
11-Jul-2019,20190711,7,Jul,Q3,2019,2019 Q3,2019 Jul,201907,5,Thu,11
12-Jul-2019,20190712,7,Jul,Q3,2019,2019 Q3,2019 Jul,201907,6,Fri,12
13-Jul-2019,20190713,7,Jul,Q3,2019,2019 Q3,2019 Jul,201907,7,Sat,13
14-Jul-2019,20190714,7,Jul,Q3,2019,2019 Q3,2019 Jul,201907,1,Sun,14
15-Jul-2019,20190715,7,Jul,Q3,2019,2019 Q3,2019 Jul,201907,2,Mon,15
16-Jul-2019,20190716,7,Jul,Q3,2019,2019 Q3,2019 Jul,201907,3,Tue,16
17-Jul-2019,20190717,7,Jul,Q3,2019,2019 Q3,2019 Jul,201907,4,Wed,17
18-Jul-2019,20190718,7,Jul,Q3,2019,2019 Q3,2019 Jul,201907,5,Thu,18
19-Jul-2019,20190719,7,Jul,Q3,2019,2019 Q3,2019 Jul,201907,6,Fri,19
20-Jul-2019,20190720,7,Jul,Q3,2019,2019 Q3,2019 Jul,201907,7,Sat,20
21-Jul-2019,20190721,7,Jul,Q3,2019,2019 Q3,2019 Jul,201907,1,Sun,21
22-Jul-2019,20190722,7,Jul,Q3,2019,2019 Q3,2019 Jul,201907,2,Mon,22
23-Jul-2019,20190723,7,Jul,Q3,2019,2019 Q3,2019 Jul,201907,3,Tue,23
24-Jul-2019,20190724,7,Jul,Q3,2019,2019 Q3,2019 Jul,201907,4,Wed,24
25-Jul-2019,20190725,7,Jul,Q3,2019,2019 Q3,2019 Jul,201907,5,Thu,25
26-Jul-2019,20190726,7,Jul,Q3,2019,2019 Q3,2019 Jul,201907,6,Fri,26
27-Jul-2019,20190727,7,Jul,Q3,2019,2019 Q3,2019 Jul,201907,7,Sat,27
28-Jul-2019,20190728,7,Jul,Q3,2019,2019 Q3,2019 Jul,201907,1,Sun,28
29-Jul-2019,20190729,7,Jul,Q3,2019,2019 Q3,2019 Jul,201907,2,Mon,29
30-Jul-2019,20190730,7,Jul,Q3,2019,2019 Q3,2019 Jul,201907,3,Tue,30
31-Jul-2019,20190731,7,Jul,Q3,2019,2019 Q3,2019 Jul,201907,4,Wed,31
01-Aug-2019,20190801,8,Aug,Q3,2019,2019 Q3,2019 Aug,201908,5,Thu,1
02-Aug-2019,20190802,8,Aug,Q3,2019,2019 Q3,2019 Aug,201908,6,Fri,2
03-Aug-2019,20190803,8,Aug,Q3,2019,2019 Q3,2019 Aug,201908,7,Sat,3
04-Aug-2019,20190804,8,Aug,Q3,2019,2019 Q3,2019 Aug,201908,1,Sun,4
05-Aug-2019,20190805,8,Aug,Q3,2019,2019 Q3,2019 Aug,201908,2,Mon,5
06-Aug-2019,20190806,8,Aug,Q3,2019,2019 Q3,2019 Aug,201908,3,Tue,6
07-Aug-2019,20190807,8,Aug,Q3,2019,2019 Q3,2019 Aug,201908,4,Wed,7
08-Aug-2019,20190808,8,Aug,Q3,2019,2019 Q3,2019 Aug,201908,5,Thu,8
09-Aug-2019,20190809,8,Aug,Q3,2019,2019 Q3,2019 Aug,201908,6,Fri,9
10-Aug-2019,20190810,8,Aug,Q3,2019,2019 Q3,2019 Aug,201908,7,Sat,10
11-Aug-2019,20190811,8,Aug,Q3,2019,2019 Q3,2019 Aug,201908,1,Sun,11
12-Aug-2019,20190812,8,Aug,Q3,2019,2019 Q3,2019 Aug,201908,2,Mon,12
13-Aug-2019,20190813,8,Aug,Q3,2019,2019 Q3,2019 Aug,201908,3,Tue,13
14-Aug-2019,20190814,8,Aug,Q3,2019,2019 Q3,2019 Aug,201908,4,Wed,14
15-Aug-2019,20190815,8,Aug,Q3,2019,2019 Q3,2019 Aug,201908,5,Thu,15
16-Aug-2019,20190816,8,Aug,Q3,2019,2019 Q3,2019 Aug,201908,6,Fri,16
17-Aug-2019,20190817,8,Aug,Q3,2019,2019 Q3,2019 Aug,201908,7,Sat,17
18-Aug-2019,20190818,8,Aug,Q3,2019,2019 Q3,2019 Aug,201908,1,Sun,18
19-Aug-2019,20190819,8,Aug,Q3,2019,2019 Q3,2019 Aug,201908,2,Mon,19
20-Aug-2019,20190820,8,Aug,Q3,2019,2019 Q3,2019 Aug,201908,3,Tue,20
21-Aug-2019,20190821,8,Aug,Q3,2019,2019 Q3,2019 Aug,201908,4,Wed,21
22-Aug-2019,20190822,8,Aug,Q3,2019,2019 Q3,2019 Aug,201908,5,Thu,22
23-Aug-2019,20190823,8,Aug,Q3,2019,2019 Q3,2019 Aug,201908,6,Fri,23
24-Aug-2019,20190824,8,Aug,Q3,2019,2019 Q3,2019 Aug,201908,7,Sat,24
25-Aug-2019,20190825,8,Aug,Q3,2019,2019 Q3,2019 Aug,201908,1,Sun,25
26-Aug-2019,20190826,8,Aug,Q3,2019,2019 Q3,2019 Aug,201908,2,Mon,26
27-Aug-2019,20190827,8,Aug,Q3,2019,2019 Q3,2019 Aug,201908,3,Tue,27
28-Aug-2019,20190828,8,Aug,Q3,2019,2019 Q3,2019 Aug,201908,4,Wed,28
29-Aug-2019,20190829,8,Aug,Q3,2019,2019 Q3,2019 Aug,201908,5,Thu,29
30-Aug-2019,20190830,8,Aug,Q3,2019,2019 Q3,2019 Aug,201908,6,Fri,30
31-Aug-2019,20190831,8,Aug,Q3,2019,2019 Q3,2019 Aug,201908,7,Sat,31
01-Sep-2019,20190901,9,Sep,Q3,2019,2019 Q3,2019 Sep,201909,1,Sun,1
02-Sep-2019,20190902,9,Sep,Q3,2019,2019 Q3,2019 Sep,201909,2,Mon,2
03-Sep-2019,20190903,9,Sep,Q3,2019,2019 Q3,2019 Sep,201909,3,Tue,3
04-Sep-2019,20190904,9,Sep,Q3,2019,2019 Q3,2019 Sep,201909,4,Wed,4
05-Sep-2019,20190905,9,Sep,Q3,2019,2019 Q3,2019 Sep,201909,5,Thu,5
06-Sep-2019,20190906,9,Sep,Q3,2019,2019 Q3,2019 Sep,201909,6,Fri,6
07-Sep-2019,20190907,9,Sep,Q3,2019,2019 Q3,2019 Sep,201909,7,Sat,7
08-Sep-2019,20190908,9,Sep,Q3,2019,2019 Q3,2019 Sep,201909,1,Sun,8
09-Sep-2019,20190909,9,Sep,Q3,2019,2019 Q3,2019 Sep,201909,2,Mon,9
10-Sep-2019,20190910,9,Sep,Q3,2019,2019 Q3,2019 Sep,201909,3,Tue,10
11-Sep-2019,20190911,9,Sep,Q3,2019,2019 Q3,2019 Sep,201909,4,Wed,11
12-Sep-2019,20190912,9,Sep,Q3,2019,2019 Q3,2019 Sep,201909,5,Thu,12
13-Sep-2019,20190913,9,Sep,Q3,2019,2019 Q3,2019 Sep,201909,6,Fri,13
14-Sep-2019,20190914,9,Sep,Q3,2019,2019 Q3,2019 Sep,201909,7,Sat,14
15-Sep-2019,20190915,9,Sep,Q3,2019,2019 Q3,2019 Sep,201909,1,Sun,15
16-Sep-2019,20190916,9,Sep,Q3,2019,2019 Q3,2019 Sep,201909,2,Mon,16
17-Sep-2019,20190917,9,Sep,Q3,2019,2019 Q3,2019 Sep,201909,3,Tue,17
18-Sep-2019,20190918,9,Sep,Q3,2019,2019 Q3,2019 Sep,201909,4,Wed,18
19-Sep-2019,20190919,9,Sep,Q3,2019,2019 Q3,2019 Sep,201909,5,Thu,19
20-Sep-2019,20190920,9,Sep,Q3,2019,2019 Q3,2019 Sep,201909,6,Fri,20
21-Sep-2019,20190921,9,Sep,Q3,2019,2019 Q3,2019 Sep,201909,7,Sat,21
22-Sep-2019,20190922,9,Sep,Q3,2019,2019 Q3,2019 Sep,201909,1,Sun,22
23-Sep-2019,20190923,9,Sep,Q3,2019,2019 Q3,2019 Sep,201909,2,Mon,23
24-Sep-2019,20190924,9,Sep,Q3,2019,2019 Q3,2019 Sep,201909,3,Tue,24
25-Sep-2019,20190925,9,Sep,Q3,2019,2019 Q3,2019 Sep,201909,4,Wed,25
26-Sep-2019,20190926,9,Sep,Q3,2019,2019 Q3,2019 Sep,201909,5,Thu,26
27-Sep-2019,20190927,9,Sep,Q3,2019,2019 Q3,2019 Sep,201909,6,Fri,27
28-Sep-2019,20190928,9,Sep,Q3,2019,2019 Q3,2019 Sep,201909,7,Sat,28
29-Sep-2019,20190929,9,Sep,Q3,2019,2019 Q3,2019 Sep,201909,1,Sun,29
30-Sep-2019,20190930,9,Sep,Q3,2019,2019 Q3,2019 Sep,201909,2,Mon,30
01-Oct-2019,20191001,10,Oct,Q4,2019,2019 Q4,2019 Oct,201910,3,Tue,1
02-Oct-2019,20191002,10,Oct,Q4,2019,2019 Q4,2019 Oct,201910,4,Wed,2
