Name,Gender,Year,Rank
Alexander,boys,1954,71
Alexander,boys,1964,77
Alexander,boys,1974,43
Alexander,boys,1984,25
Alexander,boys,1994,13
Alexander,boys,1996,14
Alexander,boys,1997,16
Alexander,boys,1998,19
Alexander,boys,1999,20
Alexander,boys,2000,21
Alexander,boys,2001,20
Alexander,boys,2002,19
Alexander,boys,2003,20
Alexander,boys,2004,20
Alexander,boys,2005,22
Alexander,boys,2006,24
Alexander,boys,2007,22
Alexander,boys,2008,19
Alexander,boys,2009,22
Alexander,boys,2010,21
Alexander,boys,2011,23
Alexander,boys,2012,27
Alexander,boys,2013,24
Alexander,boys,2014,22
Alexander,boys,2015,22
Alexander,boys,2016,21
Alexander,boys,2017,22
Alexandra,girls,1974,82
Alexandra,girls,1984,52
Alexandra,girls,1994,40
Alexandra,girls,1996,38
Alexandra,girls,1997,43
Alexandra,girls,1998,46
Alexandra,girls,1999,48
Alexandra,girls,2000,48
Alexandra,girls,2001,51
Alexandra,girls,2002,56
Alexandra,girls,2003,67
Alexandra,girls,2004,72
Alexandra,girls,2005,87
Alexandra,girls,2006,89
Alexandra,girls,2007,94
Alexandra,girls,2008,90
Alexandra,girls,2009,87
Alexandra,girls,2010,97
Alfie,boys,1997,92
Alfie,boys,1998,71
Alfie,boys,1999,64
Alfie,boys,2000,57
Alfie,boys,2001,54
Alfie,boys,2002,49
Alfie,boys,2003,17
Alfie,boys,2004,25
Alfie,boys,2005,23
Alfie,boys,2006,16
Alfie,boys,2007,10
Alfie,boys,2008,6
Alfie,boys,2009,4
Alfie,boys,2010,4
Alfie,boys,2011,4
Alfie,boys,2012,7
Alfie,boys,2013,11
Alfie,boys,2014,12
Alfie,boys,2015,14
Alfie,boys,2016,14
Alfie,boys,2017,12
Alfred,boys,1904,11
Alfred,boys,1914,14
Alfred,boys,1924,27
Alfred,boys,1934,49
Alfred,boys,1944,73
Alice,girls,1904,8
Alice,girls,1914,13
Alice,girls,1924,30
Alice,girls,1934,66
Alice,girls,1984,83
Alice,girls,1994,18
Alice,girls,1996,25
Alice,girls,1997,26
Alice,girls,1998,26
Alice,girls,1999,26
Alice,girls,2000,29
Alice,girls,2001,28
Alice,girls,2002,33
Alice,girls,2003,33
Alice,girls,2004,39
Alice,girls,2005,44
Alice,girls,2006,47
Alice,girls,2007,43
Alice,girls,2008,46
Alice,girls,2009,50
Alice,girls,2010,43
Alice,girls,2011,37
Alice,girls,2012,32
Alice,girls,2013,27
Alice,girls,2014,25
Alice,girls,2015,24
Alice,girls,2016,17
Alice,girls,2017,17
Alicia,girls,1996,98
Alicia,girls,1997,84
Alicia,girls,1998,82
Alicia,girls,1999,83
Alicia,girls,2000,90
Alicia,girls,2001,82
Alicia,girls,2002,62
Alicia,girls,2003,63
Alicia,girls,2004,60
Alicia,girls,2005,72
Alicia,girls,2006,87
Alicia,girls,2007,96
Alicia,girls,2008,95
Alisha,girls,1997,71
Alisha,girls,1998,74
Alisha,girls,1999,72
Alisha,girls,2000,84
Alisha,girls,2001,75
Alisha,girls,2002,63
Alisha,girls,2003,66
Alisha,girls,2004,62
Alisha,girls,2005,57
Alisha,girls,2006,57
Alisha,girls,2007,72
Alisha,girls,2008,75
Alisha,girls,2009,96
Alison,girls,1954,53
Alison,girls,1964,14
Alison,girls,1974,21
Alison,girls,1984,54
Allan,boys,1904,92
Allan,boys,1914,89
Allan,boys,1924,75
Allan,boys,1934,65
Allan,boys,1944,58
Allan,boys,1954,58
Allan,boys,1964,89
Alma,girls,1924,91
Amanda,girls,1954,85
Amanda,girls,1964,16
Amanda,girls,1974,11
Amanda,girls,1984,49
Amber,girls,1994,50
Amber,girls,1996,40
Amber,girls,1997,40
Amber,girls,1998,31
Amber,girls,1999,34
Amber,girls,2000,37
Amber,girls,2001,36
Amber,girls,2002,36
Amber,girls,2003,40
Amber,girls,2004,42
Amber,girls,2005,38
Amber,girls,2006,39
Amber,girls,2007,48
Amber,girls,2008,48
Amber,girls,2009,52
Amber,girls,2010,52
Amber,girls,2011,52
Amber,girls,2012,60
Amber,girls,2013,65
Amber,girls,2014,55
Amber,girls,2015,57
Amber,girls,2016,55
Amber,girls,2017,61
Amelia,girls,1904,85
Amelia,girls,1914,98
Amelia,girls,1994,75
Amelia,girls,1996,63
Amelia,girls,1997,48
Amelia,girls,1998,48
Amelia,girls,1999,37
Amelia,girls,2000,35
Amelia,girls,2001,32
Amelia,girls,2002,25
Amelia,girls,2003,21
Amelia,girls,2004,18
Amelia,girls,2005,15
Amelia,girls,2006,16
Amelia,girls,2007,10
Amelia,girls,2008,9
Amelia,girls,2009,9
Amelia,girls,2010,5
Amelia,girls,2011,1
Amelia,girls,2012,1
Amelia,girls,2013,1
Amelia,girls,2014,1
Amelia,girls,2015,1
Amelia,girls,2016,2
Amelia,girls,2017,2
Amelie,girls,2005,83
Amelie,girls,2006,78
Amelie,girls,2007,59
Amelie,girls,2008,57
Amelie,girls,2009,57
Amelie,girls,2010,55
Amelie,girls,2011,54
Amelie,girls,2012,51
Amelie,girls,2013,52
Amelie,girls,2014,63
Amelie,girls,2015,62
Amelie,girls,2016,64
Amelie,girls,2017,72
Amy,girls,1904,44
Amy,girls,1914,57
Amy,girls,1924,100
Amy,girls,1984,10
Amy,girls,1994,7
Amy,girls,1996,9
Amy,girls,1997,11
Amy,girls,1998,11
Amy,girls,1999,14
Amy,girls,2000,14
Amy,girls,2001,12
Amy,girls,2002,14
Amy,girls,2003,16
Amy,girls,2004,13
Amy,girls,2005,17
Amy,girls,2006,19
Amy,girls,2007,23
Amy,girls,2008,34
Amy,girls,2009,28
Amy,girls,2010,38
Amy,girls,2011,51
Amy,girls,2012,62
Amy,girls,2013,76
Amy,girls,2014,82
Andrea,girls,1954,99
Andrea,girls,1964,52
Andrea,girls,1974,36
Andrea,girls,1984,93
Andrew,boys,1904,71
Andrew,boys,1914,67
Andrew,boys,1924,73
Andrew,boys,1934,79
Andrew,boys,1944,45
Andrew,boys,1954,12
Andrew,boys,1964,3
Andrew,boys,1974,4
Andrew,boys,1984,7
Andrew,boys,1994,20
Andrew,boys,1996,29
Andrew,boys,1997,37
Andrew,boys,1998,42
Andrew,boys,1999,47
Andrew,boys,2000,53
Andrew,boys,2001,56
Andrew,boys,2002,66
Andrew,boys,2003,75
Andrew,boys,2004,79
Andrew,boys,2005,88
Andrew,boys,2006,96
Andrew,boys,2007,99
Angela,girls,1934,85
Angela,girls,1944,37
Angela,girls,1954,20
Angela,girls,1964,12
Angela,girls,1974,28
Angela,girls,1984,63
Anita,girls,1944,78
Anita,girls,1954,95
Anita,girls,1964,87
Anita,girls,1974,98
Ann,girls,1904,67
Ann,girls,1914,72
Ann,girls,1924,76
Ann,girls,1934,23
Ann,girls,1944,6
Ann,girls,1954,11
Ann,girls,1964,40
Ann,girls,1974,69
Anna,girls,1954,88
Anna,girls,1964,81
Anna,girls,1974,40
Anna,girls,1984,39
Anna,girls,1994,48
Anna,girls,1996,47
Anna,girls,1997,41
Anna,girls,1998,42
Anna,girls,1999,39
Anna,girls,2000,31
Anna,girls,2001,34
Anna,girls,2002,37
Anna,girls,2003,39
Anna,girls,2004,50
Anna,girls,2005,52
Anna,girls,2006,50
Anna,girls,2007,58
Anna,girls,2008,63
Anna,girls,2009,63
Anna,girls,2010,63
Anna,girls,2011,67
Anna,girls,2012,68
Anna,girls,2013,69
Anna,girls,2014,70
Anna,girls,2015,70
Anna,girls,2016,73
Anna,girls,2017,75
Annabelle,girls,2010,89
Annabelle,girls,2011,79
Annabelle,girls,2012,72
Annabelle,girls,2013,63
Annabelle,girls,2014,53
Annabelle,girls,2015,60
Annabelle,girls,2016,61
Annabelle,girls,2017,68
Anne,girls,1904,61
Anne,girls,1914,55
Anne,girls,1924,61
Anne,girls,1934,26
Anne,girls,1944,20
Anne,girls,1954,10
Anne,girls,1964,34
Anne,girls,1974,60
Annette,girls,1954,74
Annette,girls,1964,79
Annie,girls,1904,6
Annie,girls,1914,12
Annie,girls,1924,28
Annie,girls,1934,69
Anthony,boys,1904,91
Anthony,boys,1914,76
Anthony,boys,1924,49
Anthony,boys,1934,16
Anthony,boys,1944,6
Anthony,boys,1954,11
Anthony,boys,1964,14
Anthony,boys,1974,25
Anthony,boys,1984,24
Anthony,boys,1994,58
Anthony,boys,1996,65
Anthony,boys,1997,68
Anthony,boys,1998,74
Anthony,boys,1999,81
Anthony,boys,2000,83
Anthony,boys,2001,98
Anthony,boys,2002,93
Anthony,boys,2003,96
Antony,boys,1954,99
Antony,boys,1964,46
Antony,boys,1974,74
Antony,boys,1984,89
Arabella,girls,2015,95
Arabella,girls,2016,94
Arabella,girls,2017,83
Archibald,boys,1904,60
Archibald,boys,1914,88
Archie,boys,2000,81
Archie,boys,2001,60
Archie,boys,2002,55
Archie,boys,2003,50
Archie,boys,2004,45
Archie,boys,2005,38
Archie,boys,2006,40
Archie,boys,2007,33
Archie,boys,2008,31
Archie,boys,2009,20
Archie,boys,2010,24
Archie,boys,2011,24
Archie,boys,2012,23
Archie,boys,2013,16
Archie,boys,2014,17
Archie,boys,2015,19
Archie,boys,2016,18
Archie,boys,2017,18
Aria,girls,2015,100
Aria,girls,2016,67
Aria,girls,2017,47
Arlo,boys,2016,49
Arlo,boys,2017,42
Arnold,boys,1904,75
Arnold,boys,1914,75
Arnold,boys,1924,81
Arnold,boys,1934,98
Arthur,boys,1904,5
Arthur,boys,1914,6
Arthur,boys,1924,9
Arthur,boys,1934,25
Arthur,boys,1944,47
Arthur,boys,1954,72
Arthur,boys,2009,93
Arthur,boys,2010,82
Arthur,boys,2011,68
Arthur,boys,2012,52
Arthur,boys,2013,43
Arthur,boys,2014,41
Arthur,boys,2015,37
Arthur,boys,2016,30
Arthur,boys,2017,19
Ashleigh,girls,1994,55
Ashleigh,girls,1996,58
Ashleigh,girls,1997,68
Ashleigh,girls,1998,84
Ashleigh,girls,1999,95
Ashley,boys,1984,49
Ashley,boys,1994,33
Ashley,boys,1996,40
Ashley,boys,1997,46
Ashley,boys,1998,54
Ashley,boys,1999,68
Ashley,boys,2000,86
Ashley,boys,2001,95
Ashley,boys,2002,95
Ashton,boys,2006,84
Ashton,boys,2007,79
Ashton,boys,2008,75
Ashton,boys,2009,69
Ashton,boys,2010,77
Ashton,boys,2011,87
Audrey,girls,1914,86
Audrey,girls,1924,21
Audrey,girls,1934,15
Audrey,girls,1944,67
Audrey,girls,1954,100
Aurora,girls,2017,80
Austin,boys,2009,100
Austin,boys,2013,94
Austin,boys,2014,89
Austin,boys,2015,89
Austin,boys,2016,85
Austin,boys,2017,97
Ava,girls,2005,82
Ava,girls,2006,60
Ava,girls,2007,38
Ava,girls,2008,21
Ava,girls,2009,12
Ava,girls,2010,11
Ava,girls,2011,9
Ava,girls,2012,6
Ava,girls,2013,4
Ava,girls,2014,6
Ava,girls,2015,5
Ava,girls,2016,5
Ava,girls,2017,4
Bailey,boys,2000,74
Bailey,boys,2001,87
Bailey,boys,2002,78
Bailey,boys,2003,80
Bailey,boys,2004,68
Bailey,boys,2005,62
Bailey,boys,2006,71
Bailey,boys,2007,70
Bailey,boys,2008,76
Bailey,boys,2009,81
Bailey,boys,2010,79
Bailey,boys,2011,90
Bailey,boys,2012,98
Barbara,girls,1904,82
Barbara,girls,1914,53
Barbara,girls,1924,18
Barbara,girls,1934,7
Barbara,girls,1944,10
Barbara,girls,1954,14
Barbara,girls,1964,69
Barrie,boys,1934,92
Barrie,boys,1944,70
Barry,boys,1934,53
Barry,boys,1944,20
Barry,boys,1954,33
Barry,boys,1964,42
Barry,boys,1974,48
Barry,boys,1984,81
Basil,boys,1914,92
Basil,boys,1924,80
Beatrice,girls,1904,26
Beatrice,girls,1914,33
Beatrice,girls,1924,52
Beatrice,girls,2013,95
Beatrice,girls,2014,91
Beatrice,girls,2015,93
Beatrice,girls,2016,80
Beatrice,girls,2017,84
Bella,girls,2011,69
Bella,girls,2012,58
Bella,girls,2013,56
Bella,girls,2014,52
Bella,girls,2015,58
Bella,girls,2016,66
Bella,girls,2017,59
Ben,boys,1984,45
Ben,boys,1994,40
Ben,boys,1996,34
Ben,boys,1997,30
Ben,boys,1998,29
Ben,boys,1999,31
Ben,boys,2000,31
Ben,boys,2001,31
Ben,boys,2002,21
Ben,boys,2003,26
Ben,boys,2004,27
Ben,boys,2005,32
Ben,boys,2006,38
Ben,boys,2007,48
Ben,boys,2008,57
Ben,boys,2009,65
Ben,boys,2010,73
Ben,boys,2011,97
Benjamin,boys,1904,53
Benjamin,boys,1914,63
Benjamin,boys,1924,83
Benjamin,boys,1974,34
Benjamin,boys,1984,16
Benjamin,boys,1994,15
Benjamin,boys,1996,15
Benjamin,boys,1997,13
Benjamin,boys,1998,16
Benjamin,boys,1999,15
Benjamin,boys,2000,16
Benjamin,boys,2001,14
Benjamin,boys,2002,6
Benjamin,boys,2003,7
Benjamin,boys,2004,9
Benjamin,boys,2005,11
Benjamin,boys,2006,12
Benjamin,boys,2007,14
Benjamin,boys,2008,18
Benjamin,boys,2009,15
Benjamin,boys,2010,22
Benjamin,boys,2011,25
Benjamin,boys,2012,32
Benjamin,boys,2013,30
Benjamin,boys,2014,28
Benjamin,boys,2015,30
Benjamin,boys,2016,33
Benjamin,boys,2017,33
Bernard,boys,1904,45
Bernard,boys,1914,40
Bernard,boys,1924,42
Bernard,boys,1934,38
Bernard,boys,1944,37
Bernard,boys,1954,63
Bertha,girls,1904,65
Bertha,girls,1914,85
Bertie,boys,1904,69
Bertram,boys,1904,74
Bertram,boys,1914,77
Beryl,girls,1914,93
Beryl,girls,1924,39
Beryl,girls,1934,22
Beryl,girls,1944,46
Bessie,girls,1904,69
Bessie,girls,1914,74
Beth,girls,1994,76
Beth,girls,1996,83
Beth,girls,1997,96
Bethan,girls,1994,74
Bethan,girls,1996,72
Bethan,girls,1997,73
Bethan,girls,1998,80
Bethan,girls,1999,84
Bethan,girls,2000,88
Bethany,girls,1994,15
Bethany,girls,1996,13
Bethany,girls,1997,14
Bethany,girls,1998,14
Bethany,girls,1999,11
Bethany,girls,2000,13
Bethany,girls,2001,17
Bethany,girls,2002,17
Bethany,girls,2003,24
Bethany,girls,2004,28
Bethany,girls,2005,40
Bethany,girls,2006,43
Bethany,girls,2007,50
Bethany,girls,2008,55
Bethany,girls,2009,53
Bethany,girls,2010,59
Bethany,girls,2011,63
Bethany,girls,2012,73
Bethany,girls,2013,77
Bethany,girls,2014,86
Bethany,girls,2015,85
Betty,girls,1914,65
Betty,girls,1924,11
Betty,girls,1934,21
Betty,girls,1944,69
Beverley,girls,1954,75
Beverley,girls,1964,41
Beverley,girls,1974,90
Billy,boys,1994,78
Billy,boys,1996,71
Billy,boys,1997,70
Billy,boys,1998,68
Billy,boys,1999,71
Billy,boys,2000,76
Billy,boys,2001,78
Billy,boys,2002,81
Billy,boys,2003,84
Billy,boys,2004,71
Billy,boys,2005,71
Billy,boys,2006,82
Billy,boys,2007,89
Billy,boys,2008,98
Blake,boys,2008,92
Blake,boys,2011,79
Blake,boys,2012,66
Blake,boys,2013,56
Blake,boys,2014,57
Blake,boys,2015,62
Blake,boys,2016,73
Blake,boys,2017,84
Blanche,girls,1904,93
Bobby,boys,2010,83
Bobby,boys,2011,76
Bobby,boys,2012,57
Bobby,boys,2013,59
Bobby,boys,2014,71
Bobby,boys,2015,67
Bobby,boys,2016,90
Bobby,boys,2017,65
Bonnie,girls,2017,95
Bradley,boys,1984,92
Bradley,boys,1994,34
Bradley,boys,1996,31
Bradley,boys,1997,28
Bradley,boys,1998,33
Bradley,boys,1999,33
Bradley,boys,2000,34
Bradley,boys,2001,36
Bradley,boys,2002,39
Bradley,boys,2003,44
Bradley,boys,2004,42
Bradley,boys,2005,39
Bradley,boys,2006,51
Bradley,boys,2007,68
Bradley,boys,2008,81
Bradley,boys,2009,90
Bradley,boys,2010,100
Brandon,boys,1994,86
Brandon,boys,1996,53
Brandon,boys,1997,39
Brandon,boys,1998,36
Brandon,boys,1999,34
Brandon,boys,2000,35
Brandon,boys,2001,38
Brandon,boys,2002,37
Brandon,boys,2003,40
Brandon,boys,2004,44
Brandon,boys,2005,47
Brandon,boys,2006,53
Brandon,boys,2007,66
Brandon,boys,2008,70
Brandon,boys,2009,82
Brandon,boys,2010,92
Brenda,girls,1924,58
Brenda,girls,1934,16
Brenda,girls,1944,22
Brenda,girls,1954,52
Brett,boys,1974,92
Brian,boys,1924,66
Brian,boys,1934,4
Brian,boys,1944,7
Brian,boys,1954,17
Brian,boys,1964,31
Brian,boys,1974,51
Brian,boys,1984,87
Bridget,girls,1914,92
Bridget,girls,1924,86
Bridget,girls,1934,79
Bridget,girls,1944,87
Brooke,girls,2001,94
Brooke,girls,2003,93
Brooke,girls,2004,74
Brooke,girls,2005,71
Brooke,girls,2006,55
Brooke,girls,2007,53
Brooke,girls,2008,42
Brooke,girls,2009,39
Brooke,girls,2010,45
Brooke,girls,2011,50
Brooke,girls,2012,59
Brooke,girls,2013,67
Brooke,girls,2014,75
Bruce,boys,1944,92
Bruce,boys,1964,98
Bryan,boys,1934,58
Bryan,boys,1944,79
Bryan,boys,1954,80
Caitlin,girls,1994,98
Caitlin,girls,1996,66
Caitlin,girls,1997,46
Caitlin,girls,1998,28
Caitlin,girls,1999,25
Caitlin,girls,2000,24
Caitlin,girls,2001,21
Caitlin,girls,2002,23
Caitlin,girls,2003,22
Caitlin,girls,2004,25
Caitlin,girls,2005,26
Caitlin,girls,2006,35
Caitlin,girls,2007,34
Caitlin,girls,2008,44
Caitlin,girls,2009,58
Caitlin,girls,2010,66
Caitlin,girls,2011,86
Caitlin,girls,2012,97
Caleb,boys,2010,87
Caleb,boys,2011,89
Caleb,boys,2012,85
Caleb,boys,2013,88
Caleb,boys,2014,93
Caleb,boys,2015,99
Caleb,boys,2016,86
Caleb,boys,2017,77
Callum,boys,1994,31
Callum,boys,1996,20
Callum,boys,1997,14
Callum,boys,1998,8
Callum,boys,1999,9
Callum,boys,2000,10
Callum,boys,2001,15
Callum,boys,2002,16
Callum,boys,2003,19
Callum,boys,2004,18
Callum,boys,2005,14
Callum,boys,2006,13
Callum,boys,2007,23
Callum,boys,2008,27
Callum,boys,2009,28
Callum,boys,2010,40
Callum,boys,2011,46
Callum,boys,2012,51
Callum,boys,2013,73
Callum,boys,2014,82
Callum,boys,2015,83
Calum,boys,1996,91
Calum,boys,1997,94
Cameron,boys,1994,65
Cameron,boys,1996,42
Cameron,boys,1997,36
Cameron,boys,1998,28
Cameron,boys,1999,24
Cameron,boys,2000,24
Cameron,boys,2001,23
Cameron,boys,2002,27
Cameron,boys,2003,23
Cameron,boys,2004,29
Cameron,boys,2005,34
Cameron,boys,2006,30
Cameron,boys,2007,34
Cameron,boys,2008,46
Cameron,boys,2009,52
Cameron,boys,2010,61
Cameron,boys,2011,77
Cameron,boys,2012,77
Cameron,boys,2013,93
Carl,boys,1964,37
Carl,boys,1974,39
Carl,boys,1984,44
Carl,boys,1994,84
Carla,girls,1984,88
Carly,girls,1984,57
Carol,girls,1944,12
Carol,girls,1954,7
Carol,girls,1964,21
Carol,girls,1974,84
Carole,girls,1944,27
Carole,girls,1954,44
Carole,girls,1964,68
Caroline,girls,1904,81
Caroline,girls,1944,95
Caroline,girls,1954,62
Caroline,girls,1964,15
Caroline,girls,1974,19
Caroline,girls,1984,46
Carolyn,girls,1944,76
Carolyn,girls,1954,80
Carolyn,girls,1964,80
Carter,boys,2015,94
Carter,boys,2016,82
Carter,boys,2017,62
Catherine,girls,1904,34
Catherine,girls,1914,36
Catherine,girls,1924,37
Catherine,girls,1934,36
Catherine,girls,1944,42
Catherine,girls,1954,26
Catherine,girls,1964,19
Catherine,girls,1974,22
Catherine,girls,1984,37
Catherine,girls,1994,56
Catherine,girls,1996,68
Catherine,girls,1997,74
Catherine,girls,1998,85
Catherine,girls,1999,85
Catherine,girls,2000,96
Catherine,girls,2001,98
Cecil,boys,1904,34
Cecil,boys,1914,46
Cecil,boys,1924,60
Cecil,boys,1934,94
Cerys,girls,1999,97
Cerys,girls,2000,91
Cerys,girls,2001,99
Cerys,girls,2003,95
Cerys,girls,2004,95
Chantelle,girls,1994,83
Chantelle,girls,1996,89
Chantelle,girls,1997,92
Chantelle,girls,1998,100
Charlene,girls,1984,72
Charles,boys,1904,7
Charles,boys,1914,9
Charles,boys,1924,14
Charles,boys,1934,29
Charles,boys,1944,38
Charles,boys,1954,38
Charles,boys,1964,56
Charles,boys,1974,70
Charles,boys,1984,69
Charles,boys,1994,44
Charles,boys,1996,44
Charles,boys,1997,42
Charles,boys,1998,41
Charles,boys,1999,41
Charles,boys,2000,44
Charles,boys,2001,50
Charles,boys,2002,48
Charles,boys,2003,48
Charles,boys,2004,49
Charles,boys,2005,49
Charles,boys,2006,50
Charles,boys,2007,54
Charles,boys,2008,56
Charles,boys,2009,58
Charles,boys,2010,62
Charles,boys,2011,60
Charles,boys,2012,62
Charles,boys,2013,61
Charles,boys,2014,63
Charles,boys,2015,66
Charles,boys,2016,72
Charles,boys,2017,73
Charlie,boys,1994,59
Charlie,boys,1996,38
Charlie,boys,1997,40
Charlie,boys,1998,35
Charlie,boys,1999,32
Charlie,girls,1999,88
Charlie,boys,2000,33
Charlie,girls,2000,92
Charlie,boys,2001,32
Charlie,girls,2001,91
Charlie,boys,2002,29
Charlie,girls,2002,91
Charlie,boys,2003,24
Charlie,girls,2003,88
Charlie,boys,2004,15
Charlie,girls,2004,93
Charlie,boys,2005,12
Charlie,boys,2006,10
Charlie,boys,2007,7
Charlie,boys,2008,7
Charlie,boys,2009,7
Charlie,boys,2010,5
Charlie,boys,2011,5
Charlie,boys,2012,4
Charlie,boys,2013,5
Charlie,boys,2014,5
Charlie,boys,2015,6
Charlie,boys,2016,7
Charlie,boys,2017,9
Charlotte,girls,1904,75
Charlotte,girls,1914,96
Charlotte,girls,1974,41
Charlotte,girls,1984,22
Charlotte,girls,1994,4
Charlotte,girls,1996,7
Charlotte,girls,1997,7
Charlotte,girls,1998,6
Charlotte,girls,1999,6
Charlotte,girls,2000,5
Charlotte,girls,2001,6
Charlotte,girls,2002,7
Charlotte,girls,2003,9
Charlotte,girls,2004,8
Charlotte,girls,2005,9
Charlotte,girls,2006,12
Charlotte,girls,2007,12
Charlotte,girls,2008,13
Charlotte,girls,2009,14
Charlotte,girls,2010,20
Charlotte,girls,2011,21
Charlotte,girls,2012,20
Charlotte,girls,2013,21
Charlotte,girls,2014,23
Charlotte,girls,2015,25
Charlotte,girls,2016,12
Charlotte,girls,2017,12
Chelsea,girls,1994,38
