Year_Period,Start Date,End Date,Days In Period,Journey Type,Number Of Journeys (m)
10/11_10,12-Dec-2010,08-Jan-2011,28,DLR,4.847
10/11_10,12-Dec-2010,08-Jan-2011,28,Overground,3.482651646
10/11_10,12-Dec-2010,08-Jan-2011,28,Tram,1.8491465
10/11_10,12-Dec-2010,08-Jan-2011,28,Underground,72.52297907
10/11_11,09-Jan-2011,05-Feb-2011,28,Bus,183.0263399
10/11_11,09-Jan-2011,05-Feb-2011,28,DLR,6.253352442
10/11_11,09-Jan-2011,05-Feb-2011,28,Overground,5.243922841
10/11_11,09-Jan-2011,05-Feb-2011,28,Tram,2.140724
10/11_11,09-Jan-2011,05-Feb-2011,28,Underground,84.43794176
10/11_12,06-Feb-2011,05-Mar-2011,28,Bus,177.1822043
10/11_12,06-Feb-2011,05-Mar-2011,28,DLR,6.478
10/11_12,06-Feb-2011,05-Mar-2011,28,Overground,5.154636957
10/11_12,06-Feb-2011,05-Mar-2011,28,Tram,2.2221135
10/11_12,06-Feb-2011,05-Mar-2011,28,Underground,87.77823237
10/11_13,06-Mar-2011,31-Mar-2011,26,Bus,173.9412484
10/11_13,06-Mar-2011,31-Mar-2011,26,DLR,6.039
10/11_13,06-Mar-2011,31-Mar-2011,26,Overground,5.840221006
10/11_13,06-Mar-2011,31-Mar-2011,26,Tram,2.129084
10/11_13,06-Mar-2011,31-Mar-2011,26,Underground,83.47486002
11/12_01,01-Apr-2011,30-Apr-2011,30,Bus,183.7890695
11/12_01,01-Apr-2011,30-Apr-2011,30,DLR,6.415
11/12_01,01-Apr-2011,30-Apr-2011,30,Overground,6.255826688
11/12_01,01-Apr-2011,30-Apr-2011,30,Tram,2.112539
11/12_01,01-Apr-2011,30-Apr-2011,30,Underground,91.22177178
11/12_02,01-May-2011,28-May-2011,28,Bus,186.1431198
11/12_02,01-May-2011,28-May-2011,28,DLR,6.325
11/12_02,01-May-2011,28-May-2011,28,Overground,6.435434169
11/12_02,01-May-2011,28-May-2011,28,Tram,2.243446
11/12_02,01-May-2011,28-May-2011,28,Underground,87.77794338
11/12_03,29-May-2011,25-Jun-2011,28,Bus,181.6502126
11/12_03,29-May-2011,25-Jun-2011,28,DLR,6.085939
11/12_03,29-May-2011,25-Jun-2011,28,Overground,6.939514058
11/12_03,29-May-2011,25-Jun-2011,28,Tram,2.207762
11/12_03,29-May-2011,25-Jun-2011,28,Underground,88.90345682
11/12_04,26-Jun-2011,23-Jul-2011,28,Bus,186.6689899
11/12_04,26-Jun-2011,23-Jul-2011,28,DLR,6.413
11/12_04,26-Jun-2011,23-Jul-2011,28,Overground,7.583551011
11/12_04,26-Jun-2011,23-Jul-2011,28,Tram,2.282373
11/12_04,26-Jun-2011,23-Jul-2011,28,Underground,92.49330154
11/12_05,24-Jul-2011,20-Aug-2011,28,Bus,161.0650796
11/12_05,24-Jul-2011,20-Aug-2011,28,DLR,6.172
11/12_05,24-Jul-2011,20-Aug-2011,28,Overground,7.652665925
11/12_05,24-Jul-2011,20-Aug-2011,28,Tram,1.925193
11/12_05,24-Jul-2011,20-Aug-2011,28,Underground,85.5390092
11/12_06,21-Aug-2011,17-Sep-2011,28,Bus,173.899762
11/12_06,21-Aug-2011,17-Sep-2011,28,DLR,6.434
11/12_06,21-Aug-2011,17-Sep-2011,28,Overground,7.681396324
11/12_06,21-Aug-2011,17-Sep-2011,28,Tram,2.149924
11/12_06,21-Aug-2011,17-Sep-2011,28,Underground,85.2846178
11/12_07,18-Sep-2011,15-Oct-2011,28,Bus,193.4086629
11/12_07,18-Sep-2011,15-Oct-2011,28,DLR,7.451
11/12_07,18-Sep-2011,15-Oct-2011,28,Overground,8.698969452
11/12_07,18-Sep-2011,15-Oct-2011,28,Tram,2.364217
11/12_07,18-Sep-2011,15-Oct-2011,28,Underground,93.13557313
11/12_08,16-Oct-2011,12-Nov-2011,28,Bus,185.1585965
11/12_08,16-Oct-2011,12-Nov-2011,28,DLR,7.284
11/12_08,16-Oct-2011,12-Nov-2011,28,Overground,8.802090147
11/12_08,16-Oct-2011,12-Nov-2011,28,Tram,2.308021
11/12_08,16-Oct-2011,12-Nov-2011,28,Underground,95.84763471
11/12_09,13-Nov-2011,10-Dec-2011,28,Bus,189.4425409
11/12_09,13-Nov-2011,10-Dec-2011,28,DLR,7.105
11/12_09,13-Nov-2011,10-Dec-2011,28,Overground,9.017742087
11/12_09,13-Nov-2011,10-Dec-2011,28,Tram,2.396722
11/12_09,13-Nov-2011,10-Dec-2011,28,Underground,97.08867289
11/12_10,11-Dec-2011,07-Jan-2012,28,Bus,151.1920286
11/12_10,11-Dec-2011,07-Jan-2012,28,DLR,5.238
11/12_10,11-Dec-2011,07-Jan-2012,28,Overground,6.882365476
11/12_10,11-Dec-2011,07-Jan-2012,28,Tram,1.92691
11/12_10,11-Dec-2011,07-Jan-2012,28,Underground,79.26297107
11/12_11,08-Jan-2012,04-Feb-2012,28,Bus,181.3792522
11/12_11,08-Jan-2012,04-Feb-2012,28,DLR,6.898
11/12_11,08-Jan-2012,04-Feb-2012,28,Overground,8.701779664
11/12_11,08-Jan-2012,04-Feb-2012,28,Tram,2.249438
11/12_11,08-Jan-2012,04-Feb-2012,28,Underground,89.80748698
11/12_12,05-Feb-2012,03-Mar-2012,28,Bus,179.4957134
11/12_12,05-Feb-2012,03-Mar-2012,28,DLR,7.009
11/12_12,05-Feb-2012,03-Mar-2012,28,Overground,8.816425055
11/12_12,05-Feb-2012,03-Mar-2012,28,Tram,2.028529
11/12_12,05-Feb-2012,03-Mar-2012,28,Underground,91.45527621
11/12_13,04-Mar-2012,31-Mar-2012,28,Bus,191.1803453
11/12_13,04-Mar-2012,31-Mar-2012,28,DLR,7.28549
11/12_13,04-Mar-2012,31-Mar-2012,28,Overground,9.098568908
11/12_13,04-Mar-2012,31-Mar-2012,28,Tram,2.347108
11/12_13,04-Mar-2012,31-Mar-2012,28,Underground,92.69410954
12/13_01,01-Apr-2012,28-Apr-2012,28,Bus,171.8478123
12/13_01,01-Apr-2012,28-Apr-2012,28,DLR,6.973632
12/13_01,01-Apr-2012,28-Apr-2012,28,Overground,8.530067297
12/13_01,01-Apr-2012,28-Apr-2012,28,Tram,2.148610908
12/13_01,01-Apr-2012,28-Apr-2012,28,Underground,88.66567538
12/13_02,29-Apr-2012,26-May-2012,28,Bus,189.2119656
12/13_02,29-Apr-2012,26-May-2012,28,DLR,7.357288
12/13_02,29-Apr-2012,26-May-2012,28,Overground,8.870131388
12/13_02,29-Apr-2012,26-May-2012,28,Tram,2.338405044
12/13_02,29-Apr-2012,26-May-2012,28,Underground,92.60653428
12/13_03,27-May-2012,23-Jun-2012,28,Bus,176.5380988
12/13_03,27-May-2012,23-Jun-2012,28,DLR,6.955807
12/13_03,27-May-2012,23-Jun-2012,28,Overground,8.568230412
12/13_03,27-May-2012,23-Jun-2012,28,Tram,2.177143285
12/13_03,27-May-2012,23-Jun-2012,28,Underground,89.68556428
12/13_04,24-Jun-2012,21-Jul-2012,28,Bus,189.9110592
12/13_04,24-Jun-2012,21-Jul-2012,28,DLR,7.923954
12/13_04,24-Jun-2012,21-Jul-2012,28,Emirates Airline,0.236025
12/13_04,24-Jun-2012,21-Jul-2012,28,Overground,8.871851218
12/13_04,24-Jun-2012,21-Jul-2012,28,Tram,2.489121454
12/13_04,24-Jun-2012,21-Jul-2012,28,Underground,96.91161194
12/13_05,22-Jul-2012,18-Aug-2012,28,Bus,167.1383355
12/13_05,22-Jul-2012,18-Aug-2012,28,DLR,10.636562
12/13_05,22-Jul-2012,18-Aug-2012,28,Emirates Airline,0.534218
12/13_05,22-Jul-2012,18-Aug-2012,28,Overground,10.50640562
12/13_05,22-Jul-2012,18-Aug-2012,28,Tram,2.328187675
12/13_05,22-Jul-2012,18-Aug-2012,28,Underground,102.9924911
12/13_06,19-Aug-2012,15-Sep-2012,28,Bus,177.0473123
12/13_06,19-Aug-2012,15-Sep-2012,28,DLR,8.667859
12/13_06,19-Aug-2012,15-Sep-2012,28,Emirates Airline,0.381347
12/13_06,19-Aug-2012,15-Sep-2012,28,Overground,9.825229929
12/13_06,19-Aug-2012,15-Sep-2012,28,Tram,2.350059961
12/13_06,19-Aug-2012,15-Sep-2012,28,Underground,93.96062143
12/13_07,16-Sep-2012,13-Oct-2012,28,Bus,194.2151059
12/13_07,16-Sep-2012,13-Oct-2012,28,DLR,7.705303
12/13_07,16-Sep-2012,13-Oct-2012,28,Emirates Airline,0.163217
12/13_07,16-Sep-2012,13-Oct-2012,28,Overground,9.666574601
12/13_07,16-Sep-2012,13-Oct-2012,28,Tram,2.497070196
12/13_07,16-Sep-2012,13-Oct-2012,28,Underground,98.17491386
12/13_08,14-Oct-2012,10-Nov-2012,28,Bus,184.6723651
12/13_08,14-Oct-2012,10-Nov-2012,28,DLR,7.964772
12/13_08,14-Oct-2012,10-Nov-2012,28,Emirates Airline,0.181075
12/13_08,14-Oct-2012,10-Nov-2012,28,Overground,9.847806267
12/13_08,14-Oct-2012,10-Nov-2012,28,Tram,2.1722911
12/13_08,14-Oct-2012,10-Nov-2012,28,Underground,100.4284137
12/13_09,11-Nov-2012,08-Dec-2012,28,Bus,187.603801
12/13_09,11-Nov-2012,08-Dec-2012,28,DLR,7.677249
12/13_09,11-Nov-2012,08-Dec-2012,28,Emirates Airline,0.119806
12/13_09,11-Nov-2012,08-Dec-2012,28,Overground,9.991859874
12/13_09,11-Nov-2012,08-Dec-2012,28,Tram,2.4633864
12/13_09,11-Nov-2012,08-Dec-2012,28,Underground,101.9099212
12/13_10,09-Dec-2012,05-Jan-2013,28,Bus,151.9363269
12/13_10,09-Dec-2012,05-Jan-2013,28,DLR,5.744542
12/13_10,09-Dec-2012,05-Jan-2013,28,Emirates Airline,0.11049
12/13_10,09-Dec-2012,05-Jan-2013,28,Overground,8.214637796
12/13_10,09-Dec-2012,05-Jan-2013,28,Tram,2.038857573
12/13_10,09-Dec-2012,05-Jan-2013,28,Underground,78.98283756
12/13_11,06-Jan-2013,02-Feb-2013,28,Bus,178.1221944
12/13_11,06-Jan-2013,02-Feb-2013,28,DLR,7.250798
12/13_11,06-Jan-2013,02-Feb-2013,28,Emirates Airline,0.072604
12/13_11,06-Jan-2013,02-Feb-2013,28,Overground,10.18613218
12/13_11,06-Jan-2013,02-Feb-2013,28,Tram,2.312969946
12/13_11,06-Jan-2013,02-Feb-2013,28,Underground,91.72007793
12/13_12,03-Feb-2013,02-Mar-2013,28,Bus,180.2517954
12/13_12,03-Feb-2013,02-Mar-2013,28,DLR,7.573856
12/13_12,03-Feb-2013,02-Mar-2013,28,Emirates Airline,0.11707
12/13_12,03-Feb-2013,02-Mar-2013,28,Overground,10.73786676
12/13_12,03-Feb-2013,02-Mar-2013,28,Tram,2.357240795
12/13_12,03-Feb-2013,02-Mar-2013,28,Underground,96.67883842
12/13_13,03-Mar-2013,31-Mar-2013,29,Bus,186.5040642
12/13_13,03-Mar-2013,31-Mar-2013,29,DLR,7.601268
12/13_13,03-Mar-2013,31-Mar-2013,29,Emirates Airline,0.071531
12/13_13,03-Mar-2013,31-Mar-2013,29,Overground,10.76740216
12/13_13,03-Mar-2013,31-Mar-2013,29,Tram,2.395583543
12/13_13,03-Mar-2013,31-Mar-2013,29,Underground,96.61151883
13/14_01,01-Apr-2013,27-Apr-2013,27,Bus,171.634596
13/14_01,01-Apr-2013,27-Apr-2013,27,DLR,7.635204
13/14_01,01-Apr-2013,27-Apr-2013,27,Emirates Airline,0.138309
13/14_01,01-Apr-2013,27-Apr-2013,27,Overground,10.27484354
13/14_01,01-Apr-2013,27-Apr-2013,27,Tram,2.2857799
13/14_01,01-Apr-2013,27-Apr-2013,27,Underground,92.10754741
13/14_02,28-Apr-2013,25-May-2013,28,Bus,188.7783616
13/14_02,28-Apr-2013,25-May-2013,28,DLR,7.897413
13/14_02,28-Apr-2013,25-May-2013,28,Emirates Airline,0.128717
13/14_02,28-Apr-2013,25-May-2013,28,Overground,10.33791163
13/14_02,28-Apr-2013,25-May-2013,28,Tram,2.471114322
13/14_02,28-Apr-2013,25-May-2013,28,Underground,97.16726105
13/14_03,26-May-2013,22-Jun-2013,28,Bus,183.498908
13/14_03,26-May-2013,22-Jun-2013,28,DLR,7.675261
13/14_03,26-May-2013,22-Jun-2013,28,Emirates Airline,0.141628
13/14_03,26-May-2013,22-Jun-2013,28,Overground,10.90388008
13/14_03,26-May-2013,22-Jun-2013,28,Tram,2.384661963
13/14_03,26-May-2013,22-Jun-2013,28,Underground,95.86114084
13/14_04,23-Jun-2013,20-Jul-2013,28,Bus,190.1784043
13/14_04,23-Jun-2013,20-Jul-2013,28,DLR,8.011266
13/14_04,23-Jun-2013,20-Jul-2013,28,Emirates Airline,0.151723
13/14_04,23-Jun-2013,20-Jul-2013,28,Overground,11.32033596
13/14_04,23-Jun-2013,20-Jul-2013,28,Tram,2.520668741
13/14_04,23-Jun-2013,20-Jul-2013,28,Underground,100.8328472
13/14_05,21-Jul-2013,17-Aug-2013,28,Bus,166.3236541
13/14_05,21-Jul-2013,17-Aug-2013,28,DLR,7.533787
13/14_05,21-Jul-2013,17-Aug-2013,28,Emirates Airline,0.194817
13/14_05,21-Jul-2013,17-Aug-2013,28,Overground,10.57159315
13/14_05,21-Jul-2013,17-Aug-2013,28,Tram,2.241317567
13/14_05,21-Jul-2013,17-Aug-2013,28,Underground,94.09931685
13/14_06,18-Aug-2013,14-Sep-2013,28,Bus,173.6793093
13/14_06,18-Aug-2013,14-Sep-2013,28,DLR,7.193315
13/14_06,18-Aug-2013,14-Sep-2013,28,Emirates Airline,0.168135
13/14_06,18-Aug-2013,14-Sep-2013,28,Overground,10.35787157
13/14_06,18-Aug-2013,14-Sep-2013,28,Tram,2.035954184
13/14_06,18-Aug-2013,14-Sep-2013,28,Underground,90.9637581
13/14_07,15-Sep-2013,12-Oct-2013,28,Bus,194.5059853
13/14_07,15-Sep-2013,12-Oct-2013,28,DLR,7.933893
13/14_07,15-Sep-2013,12-Oct-2013,28,Emirates Airline,0.104226
13/14_07,15-Sep-2013,12-Oct-2013,28,Overground,11.21835925
13/14_07,15-Sep-2013,12-Oct-2013,28,Tram,2.590109907
13/14_07,15-Sep-2013,12-Oct-2013,28,Underground,101.4474843
13/14_08,13-Oct-2013,09-Nov-2013,28,Bus,186.3485597
13/14_08,13-Oct-2013,09-Nov-2013,28,DLR,8.247655
13/14_08,13-Oct-2013,09-Nov-2013,28,Emirates Airline,0.099083
13/14_08,13-Oct-2013,09-Nov-2013,28,Overground,9.58901815
13/14_08,13-Oct-2013,09-Nov-2013,28,Tram,2.444683228
13/14_08,13-Oct-2013,09-Nov-2013,28,Underground,103.7253126
13/14_09,10-Nov-2013,07-Dec-2013,28,Bus,193.2191911
13/14_09,10-Nov-2013,07-Dec-2013,28,DLR,8.227135
13/14_09,10-Nov-2013,07-Dec-2013,28,Emirates Airline,0.076424
13/14_09,10-Nov-2013,07-Dec-2013,28,Overground,10.62870273
13/14_09,10-Nov-2013,07-Dec-2013,28,Tram,2.568597062
13/14_09,10-Nov-2013,07-Dec-2013,28,Underground,106.3380388
13/14_10,08-Dec-2013,04-Jan-2014,28,Bus,155.1304078
13/14_10,08-Dec-2013,04-Jan-2014,28,DLR,6.452387
13/14_10,08-Dec-2013,04-Jan-2014,28,Emirates Airline,0.068595
13/14_10,08-Dec-2013,04-Jan-2014,28,Overground,8.142000786
13/14_10,08-Dec-2013,04-Jan-2014,28,Tram,2.033851329
13/14_10,08-Dec-2013,04-Jan-2014,28,Underground,83.90747525
13/14_11,05-Jan-2014,01-Feb-2014,28,Bus,186.6478788
13/14_11,05-Jan-2014,01-Feb-2014,28,DLR,7.775382
13/14_11,05-Jan-2014,01-Feb-2014,28,Emirates Airline,0.067098
13/14_11,05-Jan-2014,01-Feb-2014,28,Overground,10.30713502
13/14_11,05-Jan-2014,01-Feb-2014,28,Tram,2.447911409
13/14_11,05-Jan-2014,01-Feb-2014,28,Underground,96.81866576
13/14_12,02-Feb-2014,01-Mar-2014,28,Bus,185.6287836
13/14_12,02-Feb-2014,01-Mar-2014,28,DLR,8.276009
13/14_12,02-Feb-2014,01-Mar-2014,28,Emirates Airline,0.084601
13/14_12,02-Feb-2014,01-Mar-2014,28,Overground,10.80797722
13/14_12,02-Feb-2014,01-Mar-2014,28,Tram,2.433560379
13/14_12,02-Feb-2014,01-Mar-2014,28,Underground,94.30084282
13/14_13,02-Mar-2014,31-Mar-2014,30,Bus,206.8533317
13/14_13,02-Mar-2014,31-Mar-2014,30,DLR,8.276009
13/14_13,02-Mar-2014,31-Mar-2014,30,Emirates Airline,0.089491
13/14_13,02-Mar-2014,31-Mar-2014,30,Overground,11.2579516
13/14_13,02-Mar-2014,31-Mar-2014,30,Tram,2.765871109
13/14_13,02-Mar-2014,31-Mar-2014,30,Underground,107.0254069
14/15_01,01-Apr-2014,26-Apr-2014,26,Bus,164.1128984
14/15_01,01-Apr-2014,26-Apr-2014,26,DLR,7.561717
14/15_01,01-Apr-2014,26-Apr-2014,26,Emirates Airline,0.144542
14/15_01,01-Apr-2014,26-Apr-2014,26,Overground,9.721181807
14/15_01,01-Apr-2014,26-Apr-2014,26,TfL Rail,2.854854521
14/15_01,01-Apr-2014,26-Apr-2014,26,Tram,2.242393829
14/15_01,01-Apr-2014,26-Apr-2014,26,Underground,88.79575396
14/15_02,27-Apr-2014,24-May-2014,28,Bus,192.7652362
14/15_02,27-Apr-2014,24-May-2014,28,DLR,8.326196
14/15_02,27-Apr-2014,24-May-2014,28,Emirates Airline,0.107946
14/15_02,27-Apr-2014,24-May-2014,28,Overground,10.53527559
14/15_02,27-Apr-2014,24-May-2014,28,Tram,2.358107152
14/15_02,27-Apr-2014,24-May-2014,28,Underground,92.19550744
14/15_03,25-May-2014,21-Jun-2014,28,Bus,188.0825198
14/15_03,25-May-2014,21-Jun-2014,28,DLR,8.279265
14/15_03,25-May-2014,21-Jun-2014,28,Emirates Airline,0.133305
14/15_03,25-May-2014,21-Jun-2014,28,Overground,10.49466896
14/15_03,25-May-2014,21-Jun-2014,28,Tram,2.288241128
14/15_03,25-May-2014,21-Jun-2014,28,Underground,98.21307747
14/15_04,22-Jun-2014,19-Jul-2014,28,Bus,191.1015715
14/15_04,22-Jun-2014,19-Jul-2014,28,DLR,8.252254
14/15_04,22-Jun-2014,19-Jul-2014,28,Emirates Airline,0.124303
14/15_04,22-Jun-2014,19-Jul-2014,28,Overground,10.7756373
14/15_04,22-Jun-2014,19-Jul-2014,28,Tram,2.472438453
14/15_04,22-Jun-2014,19-Jul-2014,28,Underground,102.6174037
14/15_05,20-Jul-2014,16-Aug-2014,28,Bus,169.2446588
14/15_05,20-Jul-2014,16-Aug-2014,28,DLR,8.154088
14/15_05,20-Jul-2014,16-Aug-2014,28,Emirates Airline,0.178233
14/15_05,20-Jul-2014,16-Aug-2014,28,Overground,10.64618227
14/15_05,20-Jul-2014,16-Aug-2014,28,Tram,1.966043618
14/15_05,20-Jul-2014,16-Aug-2014,28,Underground,97.27515758
14/15_06,17-Aug-2014,13-Sep-2014,28,Bus,176.5021254
14/15_06,17-Aug-2014,13-Sep-2014,28,DLR,8.154088
14/15_06,17-Aug-2014,13-Sep-2014,28,Emirates Airline,0.170343
14/15_06,17-Aug-2014,13-Sep-2014,28,Overground,10.81955554
14/15_06,17-Aug-2014,13-Sep-2014,28,Tram,2.257142926
14/15_06,17-Aug-2014,13-Sep-2014,28,Underground,93.17249178
14/15_07,14-Sep-2014,11-Oct-2014,28,Bus,198.7598134
14/15_07,14-Sep-2014,11-Oct-2014,28,DLR,8.69208
14/15_07,14-Sep-2014,11-Oct-2014,28,Emirates Airline,0.112802
14/15_07,14-Sep-2014,11-Oct-2014,28,Overground,10.84366212
14/15_07,14-Sep-2014,11-Oct-2014,28,Tram,2.638905613
14/15_07,14-Sep-2014,11-Oct-2014,28,Underground,104.0980606
14/15_08,12-Oct-2014,08-Nov-2014,28,Bus,190.1546904
14/15_08,12-Oct-2014,08-Nov-2014,28,DLR,9.161407
14/15_08,12-Oct-2014,08-Nov-2014,28,Emirates Airline,0.127104
14/15_08,12-Oct-2014,08-Nov-2014,28,Overground,11.04538765
14/15_08,12-Oct-2014,08-Nov-2014,28,Tram,2.408685204
14/15_08,12-Oct-2014,08-Nov-2014,28,Underground,108.604873
14/15_09,09-Nov-2014,06-Dec-2014,28,Bus,195.6391849
14/15_09,09-Nov-2014,06-Dec-2014,28,DLR,9.189163
14/15_09,09-Nov-2014,06-Dec-2014,28,Emirates Airline,0.090387
14/15_09,09-Nov-2014,06-Dec-2014,28,Overground,11.23038825
14/15_09,09-Nov-2014,06-Dec-2014,28,Tram,2.597320062
14/15_09,09-Nov-2014,06-Dec-2014,28,Underground,111.1512779
14/15_10,07-Dec-2014,03-Jan-2015,28,Bus,156.8042458
14/15_10,07-Dec-2014,03-Jan-2015,28,DLR,6.920918
14/15_10,07-Dec-2014,03-Jan-2015,28,Emirates Airline,0.093527
14/15_10,07-Dec-2014,03-Jan-2015,28,Overground,8.668505227
14/15_10,07-Dec-2014,03-Jan-2015,28,Tram,2.084920346
14/15_10,07-Dec-2014,03-Jan-2015,28,Underground,87.01990433
14/15_11,04-Jan-2015,31-Jan-2015,28,Bus,178.2268004
14/15_11,04-Jan-2015,31-Jan-2015,28,DLR,8.564776
14/15_11,04-Jan-2015,31-Jan-2015,28,Emirates Airline,0.074935
14/15_11,04-Jan-2015,31-Jan-2015,28,Overground,11.35479264
14/15_11,04-Jan-2015,31-Jan-2015,28,Tram,2.437836606
14/15_11,04-Jan-2015,31-Jan-2015,28,Underground,100.2104666
14/15_12,01-Feb-2015,28-Feb-2015,28,Bus,176.2994552
14/15_12,01-Feb-2015,28-Feb-2015,28,DLR,9.025282136
14/15_12,01-Feb-2015,28-Feb-2015,28,Emirates Airline,0.115311
14/15_12,01-Feb-2015,28-Feb-2015,28,Overground,11.08739821
14/15_12,01-Feb-2015,28-Feb-2015,28,Tram,2.448465498
14/15_12,01-Feb-2015,28-Feb-2015,28,Underground,105.7199185
14/15_13,01-Mar-2015,31-Mar-2015,31,Bus,207.5099392
14/15_13,01-Mar-2015,31-Mar-2015,31,DLR,10.00850628
14/15_13,01-Mar-2015,31-Mar-2015,31,Emirates Airline,0.071941
14/15_13,01-Mar-2015,31-Mar-2015,31,Overground,12.62492939
14/15_13,01-Mar-2015,31-Mar-2015,31,Tram,2.536398771
14/15_13,01-Mar-2015,31-Mar-2015,31,Underground,116.3103823
15/16_01,01-Apr-2015,02-May-2015,26,Bus,203.3982894
15/16_01,01-Apr-2015,02-May-2015,26,DLR,10.239446
15/16_01,01-Apr-2015,02-May-2015,26,Emirates Airline,0.163774
15/16_01,01-Apr-2015,02-May-2015,26,Overground,13.32389054
15/16_01,01-Apr-2015,02-May-2015,26,Tram,2.085206
15/16_01,01-Apr-2015,02-May-2015,26,Underground,113.6154159
15/16_02,03-May-2015,30-May-2015,28,Bus,180.4511754
15/16_02,03-May-2015,30-May-2015,28,DLR,8.907715131
15/16_02,03-May-2015,30-May-2015,28,Emirates Airline,0.145261
15/16_02,03-May-2015,30-May-2015,28,Overground,11.81718347
15/16_02,03-May-2015,30-May-2015,28,Tram,2.009069
15/16_02,03-May-2015,30-May-2015,28,Underground,102.0286834
15/16_03,31-May-2015,27-Jun-2015,28,Bus,189.8925395
15/16_03,31-May-2015,27-Jun-2015,28,DLR,9.053334173
15/16_03,31-May-2015,27-Jun-2015,28,Emirates Airline,0.12034
15/16_03,31-May-2015,27-Jun-2015,28,Overground,14.68160573
15/16_03,31-May-2015,27-Jun-2015,28,TfL Rail,3.619042039
15/16_03,31-May-2015,27-Jun-2015,28,Tram,2.111567
15/16_03,31-May-2015,27-Jun-2015,28,Underground,105.8522637
15/16_04,28-Jun-2015,25-Jul-2015,28,Bus,182.5099453
15/16_04,28-Jun-2015,25-Jul-2015,28,DLR,9.036094237
15/16_04,28-Jun-2015,25-Jul-2015,28,Emirates Airline,0.146784
15/16_04,28-Jun-2015,25-Jul-2015,28,Overground,14.86933322
15/16_04,28-Jun-2015,25-Jul-2015,28,TfL Rail,3.774568028
15/16_04,28-Jun-2015,25-Jul-2015,28,Tram,2.174068
15/16_04,28-Jun-2015,25-Jul-2015,28,Underground,101.2696439
15/16_05,26-Jul-2015,22-Aug-2015,28,Bus,162.2927649
15/16_05,26-Jul-2015,22-Aug-2015,28,DLR,8.900876849
15/16_05,26-Jul-2015,22-Aug-2015,28,Emirates Airline,0.192611
15/16_05,26-Jul-2015,22-Aug-2015,28,Overground,13.76391107
15/16_05,26-Jul-2015,22-Aug-2015,28,TfL Rail,3.670933403
15/16_05,26-Jul-2015,22-Aug-2015,28,Tram,1.846514
15/16_05,26-Jul-2015,22-Aug-2015,28,Underground,94.61934685
15/16_06,23-Aug-2015,19-Sep-2015,28,Bus,175.0026654
15/16_06,23-Aug-2015,19-Sep-2015,28,DLR,8.696843339
