Region,Country ,Gender,Year,Lifespan
Asia & Oceania,Singapore,Men,2030,79.57
Asia & Oceania,Singapore,Women,2010,81.54
Asia & Oceania,Singapore,Women,2030,84.81
Eastern Europe,Slovakia,Men,2010,71.62
Eastern Europe,Slovakia,Men,2030,76.98
Eastern Europe,Slovakia,Women,2010,79.25
Eastern Europe,Slovakia,Women,2030,82.92
Eastern Europe,Slovenia,Men,2010,75.88
Eastern Europe,Slovenia,Men,2030,82.26
Eastern Europe,Slovenia,Women,2010,82.68
Eastern Europe,Slovenia,Women,2030,87.42
Asia & Oceania,South Korea,Men,2010,77.11
Asia & Oceania,South Korea,Men,2030,84.07
Asia & Oceania,South Korea,Women,2010,84.23
Asia & Oceania,South Korea,Women,2030,90.82
Western Europe,Spain,Men,2010,78.66
Western Europe,Spain,Men,2030,83.47
Western Europe,Spain,Women,2010,84.83
Western Europe,Spain,Women,2030,88.07
Western Europe,Sweden,Men,2010,79.55
Western Europe,Sweden,Men,2030,82.52
Western Europe,Sweden,Women,2010,83.49
Western Europe,Sweden,Women,2030,85.98
Western Europe,Switzerland,Men,2010,80.01
Western Europe,Switzerland,Men,2030,83.95
Western Europe,Switzerland,Women,2010,84.59
Western Europe,Switzerland,Women,2030,87.7
Western Europe,United Kingdom,Men,2010,78.34
Western Europe,United Kingdom,Men,2030,82.47
Western Europe,United Kingdom,Women,2010,82.32
Western Europe,United Kingdom,Women,2030,85.25
Americas,United States of America,Men,2010,76.52
Americas,United States of America,Men,2030,79.51
Americas,United States of America,Women,2010,81.24
Americas,United States of America,Women,2030,83.32
